"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s011","11","2","Her wings carried her into the warm air.","Ihre Flügel trugen sie in die warme Luft.","Hook: wing → Flügel (think flight). trugen: Präteritum of tragen.","Two-way preposition: motion or place: The same preposition takes accusative for motion towards, dative for position. in die Luft (where to) vs in der Luft (where).","","de.case.two-way-wo-wohin","B1"
"s012","12","2","The sun was shining, and the world was wide.","Die Sonne schien, und die Welt war weit.","Hooks: sun → Sonne, world → Welt, wide → weit.","","","","A2"
"s013","13","3","Maja saw the flowers and the green meadows.","Maja sah die Blumen und die grünen Wiesen.","Hook: bloom → Blume. die Wiese = meadow.","Adjective ending after an article: An adjective in front of a noun always takes an ending. After ein/eine the ending carries the gender information.","","de.adj.attributive-weak","A2"
"s014","14","3","Everything smelled sweet and new.","Alles roch süß und neu.","roch: Präteritum of riechen. Hooks: sweet → süß, new → neu.","Strong verb in the simple past: The vowel changes instead of adding -te. These have to be recognised, not derived.","","de.praeteritum.strong","A2"
"s015","15","3","Kassandra warned her about the enemies of the bees.","Kassandra warnte sie vor den Feinden der Bienen.","warnen vor + dative. Hook: fiend → Feind.","Dative after a preposition: Some prepositions always take dative. The article changes, not the noun.","","de.case.dat-after-prep","B1"
"s016","16","3","Fear the hornets most of all, she said.","Fürchte die Hornissen am meisten, sagte sie.","Imperative fürchte! Hook: hornet → Hornisse.","Imperative: The du-form drops the pronoun and usually the -st ending; the verb opens the sentence.","","de.imperative","B1"
"s017","17","3","The hornets are the strongest robbers.","Die Hornissen sind die stärksten Räuber.","Hook: robber → Räuber. Superlative: stärkst-.","Comparative and superlative: -er for more, -st for most, plus the adjective ending. Short adjectives often take an umlaut.","","de.comparative","A2"
"s018","18","3","Maja listened, but her heart wanted something else.","Maja hörte zu, aber ihr Herz wollte etwas anderes.","zuhören: separable — hörte … zu. Hook: heart → Herz.","Separable verb, prefix split off: In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","Maja|hörte|zu,|aber ihr Herz|wollte|etwas anderes.","de.sep.prefix-split","B1"
"s019","19","4","She did not want to carry honey her whole life.","Sie wollte nicht ihr ganzes Leben lang Honig tragen.","das ganze Leben lang = one's whole life long.","Modal verb + infinitive at the end: The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","","de.modal.infinitive-final","B1"
"s020","20","4","She wanted to see the big wide world.","Sie wollte die große weite Welt sehen.","Fixed phrase: die große weite Welt.","Modal verb + infinitive at the end: The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","","de.modal.infinitive-final","A2"
"s021","21","4","So Maja did not fly back to the hive.","So flog Maja nicht zum Stock zurück.","zurückfliegen: separable — flog … zurück.","Separable verb, prefix split off: In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.

Verb in second position: When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","So|flog|Maja|nicht zum Stock|zurück.","de.sep.prefix-split|de.wordorder.verb-second","A2"
"s022","22","4","She flew over gardens and shining waters.","Sie flog über Gärten und glänzende Wasser.","Hooks: garden → Garten, water → Wasser.","","","","A2"
"s023","23","4","Freedom made her happy and a little afraid.","Die Freiheit machte sie glücklich und ein wenig ängstlich.","Hook: free → frei; -heit builds the noun.","","","","B1"
"s024","24","4","In the evening she was tired from flying.","Am Abend war sie müde vom Fliegen.","vom Fliegen: verb used as a noun (das Fliegen).","Dative after a preposition: Some prepositions always take dative. The article changes, not the noun.","","de.case.dat-after-prep","A2"
"s025","25","5","She slept in a big blue flower.","Sie schlief in einer großen blauen Blume.","schlief: Präteritum of schlafen. Hooks: sleep → schlafen, blue → blau.","Strong verb in the simple past: The vowel changes instead of adding -te. These have to be recognised, not derived.

Dative after a preposition: Some prepositions always take dative. The article changes, not the noun.","","de.praeteritum.strong|de.case.dat-after-prep","A2"
"s026","26","5","The night was cool, but the flower was soft.","Die Nacht war kühl, aber die Blume war weich.","Hooks: night → Nacht, cool → kühl.","","","","A2"
"s027","27","5","In the morning the sun woke her.","Am Morgen weckte sie die Sonne.","wecken = to wake someone. Watch the word order: subject after verb.","Verb in second position: When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","Am Morgen|weckte|sie|die Sonne.","de.wordorder.verb-second","B1"
"s028","28","5","A drop of dew was hanging on a leaf.","Ein Tropfen Tau hing an einem Blatt.","Hook: dew → Tau (sound). hing: Präteritum of hängen.","Strong verb in the simple past: The vowel changes instead of adding -te. These have to be recognised, not derived.","","de.praeteritum.strong","B1"
"s029","29","5","Maja drank and washed her face.","Maja trank und wusch sich das Gesicht.","trank, wusch: Präteritum of trinken, waschen.","Reflexive with dative sich: When the sentence already has an accusative object, sich becomes dative: she washed the face to herself.","Maja trank|und|wusch|sich|das Gesicht.","de.reflexive.dative","A2"
"s030","30","5","The world is beautiful, she thought.","Die Welt ist schön, dachte sie.","dachte: Präteritum of denken. Hook: think → denken.","Strong verb in the simple past: The vowel changes instead of adding -te. These have to be recognised, not derived.","","de.praeteritum.strong","A2"
"s031","31","6","I want to know everything, she said to herself.","Ich will alles wissen, sagte sie zu sich selbst.","wissen = to know facts (not kennen).","Modal verb + infinitive at the end: The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","","de.modal.infinitive-final","A2"
"s032","32","6","Every day brought a new adventure.","Jeder Tag brachte ein neues Abenteuer.","brachte: Präteritum of bringen. Hook: bring → bringen.","Strong verb in the simple past: The vowel changes instead of adding -te. These have to be recognised, not derived.","","de.praeteritum.strong","A2"
"s033","33","6","But sometimes she thought of old Kassandra.","Aber manchmal dachte sie an die alte Kassandra.","denken an + accusative = to think of.","Two-way preposition: motion or place: The same preposition takes accusative for motion towards, dative for position. in die Luft (where to) vs in der Luft (where).","","de.case.two-way-wo-wohin","B1"
"s034","34","6","Home stays in the heart, even far away.","Die Heimat bleibt im Herzen, auch in der Ferne.","die Heimat: home(land) — a very German word.","","","","B1"
"s035","35","6","Maja was small, but she was brave.","Maja war klein, aber sie war mutig.","Hook: mood → Mut; mutig = full of courage.","","","","A2"
"s036","36","6","Her story was only just beginning.","Ihre Geschichte fing gerade erst an.","anfangen: separable — fing … an. gerade erst = only just.","Separable verb, prefix split off: In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","Ihre Geschichte|fing|gerade erst|an.","de.sep.prefix-split","B1"
