"english","target"
"[Perfekt – sentence] I'd been sitting crooked on the stool the whole time.","Ich hab die ganze Zeit schräg auf dem Hocker gehangen."
"[Perfekt – sentence] On the motorway I still saw him hopping into the bushes on one leg.","Auf der Autobahn hab ich ihn noch gesehen, wie er auf einem Bein ins Gebüsch gehüpft ist."
"[Perfekt – sentence] The happiness, it turned out, was called Valium.","Das Glück, stellt sich raus, heißt Valium."
"[Perfekt – sentence] I always imagined she could see us.","Ich hab mir immer vorgestellt, dass sie uns sehen kann."
"[Perfekt – sentence] I haven't thought about her for quite a while.","Ich hab schon ziemlich lange nicht mehr an sie gedacht."
"[Perfekt – sentence] He opened the green folder.","Er hat den grünen Pappordner aufgeklappt."
"[Perfekt – sentence] She came from Lebanon.","Sie ist aus dem Libanon gekommen."
"[Perfekt – sentence] He fell off the chair.","Er ist vom Stuhl gefallen."
"[Perfekt – sentence] She had already hinted at something like that.","So was Ähnliches hatte sie schon mal angedeutet."
"[Trennbar – infinitive] to start / begin","anfangen"
"[Trennbar – infinitive] to bring along","mitbringen"
"[Trennbar – infinitive] to come along","mitkommen"
"[Trennbar – infinitive] to wake up","aufwachen"
"[Trennbar – infinitive] to get up","aufstehen"
"[Trennbar – infinitive] to imagine","sich vorstellen"
"[Trennbar – infinitive] to find out","herausfinden"
"[Trennbar – infinitive] to turn out","sich herausstellen"
"[Trennbar – infinitive] to look at / watch","angucken / ansehen"
"[Trennbar – infinitive] to reprimand","zurechtweisen"
"[Trennbar – infinitive] to interfere / step in","sich einmischen"
"[Trennbar – infinitive] to come out","rauskommen"
"[Trennbar – infinitive] to scratch around","herumkratzen"
"[Trennbar – infinitive] to feel around","herumtasten"
"[Trennbar – infinitive] to laugh oneself to death","sich totlachen"
"[Trennbar – infinitive] to piss oneself","sich einpissen"
"[Trennbar – infinitive] to fall sideways / tip over","seitlich runterfallen"
"[Trennbar – infinitive] to write down","aufschreiben"
"[Trennbar – infinitive] to turn off / switch off","ausmachen"
"[Trennbar – infinitive] to look away","wegschauen"
"[Trennbar – present] Then the uniformed man steps in.","Dann mischt sich der Uniformierte ein."
"[Trennbar – present] He reprimands the doctor.","Er weist den Arzt zurecht."
"[Trennbar – present] It takes a few seconds before any words come out.","Es dauert ein paar Sekunden, bis Worte rauskommen."
"[Trennbar – present] She invents a new name for me every day.","Sie denkt sich jeden Tag einen neuen Namen für mich aus."
"[Trennbar – present] He opens the green folder.","Er klappt den grünen Pappordner auf."
"[Trennbar – present] She always pokes her head around the corner first.","Sie streckt immer zuerst den Kopf um die Ecke."
"[Trennbar – present] The paint is flaking off the stomach.","Vom Magen blättert die Farbe ab."
"[Trennbar – zu + Inf.] to try to look (aussehen)","versuchen auszusehen"
"[Trennbar – zu + Inf.] to start / begin (anfangen)","anfangen anzufangen"
"[Trennbar – zu + Inf.] not to bring it up (anfangen)","gar nicht damit anzufangen"
"[Trennbar – zu + Inf.] to imagine (vorstellen)","sich vorzustellen"
"[Trennbar – zu + Inf.] to find out (herausfinden)","herauszufinden"
"[Trennbar – zu + Inf.] to write down (aufschreiben)","aufzuschreiben"
"[Trennbar – zu + Inf.] to call back (zurückrufen)","zurückzurufen"
"[Trennbar – Partizip II] aufwachen → woke up (sein)","aufgewacht"
"[Trennbar – Partizip II] aufstehen → got up (sein)","aufgestanden"
"[Trennbar – Partizip II] ankommen → arrived (sein)","angekommen"
"[Trennbar – Partizip II] sich vorstellen → imagined (haben)","sich vorgestellt"
"[Trennbar – Partizip II] sich herausstellen → turned out (haben)","sich herausgestellt"
"[Trennbar – Partizip II] herausfinden → found out (haben)","herausgefunden"
"[Trennbar – Partizip II] ausmachen → turned off (haben)","ausgemacht"
"[Trennbar – Partizip II] angucken → looked at (haben)","angeguckt"
"[Trennbar – Partizip II] sich einmischen → stepped in (haben)","sich eingemischt"
"[Trennbar – Partizip II] aufschreiben → written down (haben)","aufgeschrieben"
"[weil – verb-final] I'm not in Berlin, because I'm here.","Ich bin nicht in Berlin, weil ich hier bin."
"[weil – verb-final] He winks back, because the man helped him.","Er zwinkert zurück, weil der Mann ihm geholfen hat."
"[weil – verb-final] She always comes, because she has no visitors.","Sie kommt immer, weil ich keine Besucher kriege."
"[weil – verb-final] I can't explain it, because I don't understand it.","Ich kann es nicht erklären, weil ich es nicht verstehe."
"[weil – verb-final] He doesn't ask, because it's logically better not to start.","Er fragt nicht, weil es logisch besser ist, gar nicht damit anzufangen."
"[weil – verb-final] She always asks, because she is interested.","Sie fragt immer, weil sie interessiert ist."
"[weil – colloquial V2] Because: they didn't see him.","Weil, sie haben ihn nicht gesehen."
"[weil – colloquial V2] Because: I can't explain it myself.","Weil, ich kann es mir nämlich nicht erklären."
"[weil – colloquial V2] Because: I basically get no visitors.","Weil, ich kriege ja sonst praktisch keinen Besuch."
"[weil – colloquial V2] Because: the man helped me.","Weil, der Mann hat mir geholfen."
"[weil – both forms] standard: because he is stressed.","weil er Stress hat.  (verb-final ✓)"
"[weil – both forms] colloquial: because he is stressed.","Weil, er hat Stress.  (verb-second – spoken German)"
"[weil – vs. denn] 'denn' (because) always takes V2 – no difference in meaning.","Denn er hat Stress. (verb-second, always standard)"
"[als vs. wenn] 'als' = when (single completed past event)","Als → einmalige Handlung in der Vergangenheit"
"[als vs. wenn] 'wenn' = when / if (repeated or present/future)","Wenn → wiederholte Handlung oder Gegenwart / Zukunft"
"[als vs. wenn] 'wenn' = whenever (with 'immer')","immer wenn → whenever"
"[als – sentence] When the older one said «fourteen», I pissed myself.","Als der Ältere «vierzehn» gesagt hat, hab ich mir in die Hose gepisst."
"[als – sentence] When she comes into my room, she always pokes her head around the corner first.","Als sie in mein Zimmer kommt, streckt sie immer zuerst den Kopf um die Ecke."
"[als – sentence] When I pulled up my trouser leg, I felt dizzy.","Als ich das Hosenbein hochgemacht hatte, wurde mir schwindlig."
"[als – sentence] When he could limp again, the doctor took him to his office.","Als er wieder humpeln konnte, holte ihn der Arzt in sein Zimmer."
"[wenn – sentence] That's what my dad always says when he's stressed.","Das sagt mein Vater immer, wenn er Stress hat."
"[wenn – sentence] She always says it when she's done.","Sie sagt das immer, wenn sie fertig ist."
"[wenn – sentence] If I ask the younger one, he'll laugh.","Wenn ich den Jüngeren frage, lacht er."
"[wenn – sentence] Whenever she finishes, she smiles.","Immer wenn sie fertig ist, lächelt sie."
"[wenn – sentence] If you don't want to answer, you don't have to.","Wenn du nicht antworten willst, musst du nicht."
"[als vs. wenn – comparison] When I was fourteen (once, past) → als","Als ich vierzehn war, ..."
"[als vs. wenn – comparison] When I am tired (general/repeated) → wenn","Wenn ich müde bin, ..."
"[als vs. wenn – comparison] When it rained yesterday (once) → als","Als es gestern regnete, ..."
"[als vs. wenn – comparison] Whenever it rains (repeated) → wenn","Wenn es regnet, ..."
"[Impersonal – mir] I am dizzy (lit. to me is dizzy)","mir ist schwindlig"
"[Impersonal – mir] I was dizzy","mir war schwindlig"
"[Impersonal – mir] I feel sick (lit. to me becomes sick)","mir wird übel"
"[Impersonal – mir] I feel hot","mir ist heiß"
"[Impersonal – mir] I feel cold","mir ist kalt"
"[Impersonal – mir] I feel well","mir geht es gut"
"[Impersonal – mir] I don't feel well","mir geht es nicht gut"
"[Impersonal – mir] I find it pleasant (lit. to me is pleasant)","mir ist es angenehm"
"[Impersonal – es] there's a bang / it crashes","es knallt"
"[Impersonal – es] it takes (time)","es dauert"
"[Impersonal – es] it smells of something","es riecht nach etwas"
"[Impersonal – es] it's raining","es regnet"
"[Impersonal – es] it hurts","es tut weh"
"[Impersonal – es] it's getting dark","es wird dunkel"
"[Impersonal – es] it turns out (that)","es stellt sich heraus, dass"
"[Impersonal – es] it's boring","es ist langweilig"
"[Impersonal – man] one / you (general)","man"
"[Impersonal – man] You can't get far on one leg.","Mit einem Bein kommt man nicht weit."
"[Impersonal – man] You do nothing all day.","Man macht den ganzen Tag nichts."
"[Impersonal – man] How do you say that in German?","Wie sagt man das auf Deutsch?"
"[Impersonal – man] You can see everything through the coat.","Man kann alles durch den Kittel sehen."
"[Impersonal – man] One can't explain everything.","Man kann nicht alles erklären."
"[Impersonal – man] You keep your mouth shut.","Man hält die Klappe."
"[Impersonal – weh tun] it hurts","es tut weh"
"[Impersonal – weh tun] it hurts me","es tut mir weh"
"[Impersonal – weh tun] it hurts him","es tut ihm weh"
"[Impersonal – weh tun] that hurts her too","das tut ihr auch weh"
"[Impersonal – weh tun] changing the bandage hurts quite a lot","Das Verbandwechseln tut ziemlich weh."
"[Colloquial – dropped -e] I have (spoken)","ich hab  (= ich habe)"
"[Colloquial – dropped -e] I try (spoken)","ich versuch  (= ich versuche)"
"[Colloquial – dropped -e] I say (spoken)","ich sag  (= ich sage)"
"[Colloquial – dropped -e] I know (spoken)","ich weiß  (no change – already standard)"
"[Colloquial – dropped -e] I look (spoken)","ich guck  (= ich gucke)"
"[Colloquial – dropped -e] I think (spoken)","ich denk  (= ich denke)"
"[Colloquial – contraction] I try it","ich versuch's  (= versuche es)"
"[Colloquial – contraction] I do it (spoken)","ich mach's  (= mache es)"
"[Colloquial – contraction] they find it out","sie erfahren's  (= erfahren es)"
"[Colloquial – contraction] I don't understand it","ich versteh's nicht  (= verstehe es)"
"[Colloquial – contraction] even though I don't understand it","obwohl ich's nicht verstehe"
"[Colloquial – contraction] I'll try it later again","ich versuch's später nochmal"
"[Colloquial – weil V2] Because I can't explain it.","Weil, ich kann es mir nicht erklären."
"[Colloquial – weil V2] Because the man helped me.","Weil, der Mann hat mir geholfen."
"[Colloquial – vocab] to keep one's mouth shut","Klappe halten"
"[Colloquial – vocab] it doesn't matter / same to me","mir ist alles egal"
"[Colloquial – vocab] to be slow on the uptake","einer steht auf der Leitung"
"[Colloquial – vocab] to make a fool of oneself","sich zum Obst machen"
"[Colloquial – vocab] what's done is done","was passiert ist, ist passiert"
"[Colloquial – vocab] to say it straight / speak plainly","Klartext reden"
"[Colloquial – vocab] to crack up laughing","sich kaputtlachen"
"[Colloquial – vocab] after all / the thing is","nämlich"
"[Colloquial – vocab] by the way","übrigens"
"[Colloquial – vocab] good grief / for heaven's sake","Himmel"
"[Colloquial – vocab] I bet...","ich wette, ..."
"[Colloquial – vocab] I've got it now","ich hab's begriffen"
"[Colloquial – vocab] just asking / out of interest","nur interessehalber"
"[Colloquial – vocab] between ourselves","unter uns"
"[Colloquial – from text] Maik Klingenberg, the hero. (ironic)","Maik Klingenberg, der Held."
"[Colloquial – from text] Not exactly the greatest thing.","Nicht gerade der ganz große Bringer."
"[Colloquial – from text] That's for sure.","Das mit Sicherheit."
"[Colloquial – from text] You can torture me for all I care.","Da können sie mich foltern."
"[Colloquial – from text] I've understood now.","Ich hab's jetzt begriffen."
"[Colloquial – from text] A good word. I know it from the crime show.","Gutes Wort. Kenn ich aus dem Tatort."
