"lexeme_id","english","target","article","pos","sense","level","rank","tags"
"de.lex.an-das-ans","onto the → ans","an + das → ans","","phrase","","","",""
"de.lex.an-dem","on the / at the","an dem","","function","","","",""
"de.lex.an-dem-am","at the → am","an + dem → am","","phrase","","","",""
"de.lex.analyse","analysis","Analyse","die","noun","","","",""
"de.lex.analysieren","to analyze","analysieren","","verb","","","",""
"de.lex.anbieten","to offer","anbieten","","verb","","","",""
"de.lex.ander","other / another","ander","","word","","","",""
"de.lex.andererseits","on the other hand","andererseits","","word","","","",""
"de.lex.anders","other / different","anders","","word","","","",""
"de.lex.anfang","beginning","Anfang","der","noun","","","",""
"de.lex.anfangen","to begin","anfangen","","verb","","","",""
"de.lex.anfrage","the request","Anfrage","die","noun","","","",""
"de.lex.angebot","offer","Angebot","das","noun","","","",""
"de.lex.angehen","to switch on","angehen","","verb","","A0","",""
"de.lex.angestellte","employee (f)","Angestellte","die","noun","","","",""
"de.lex.angestellter","employee (m)","Angestellter","der","noun","","","",""
"de.lex.angst","fear","Angst","die","noun","","","",""
"de.lex.angst-haben-vor.be-afraid","to be afraid","Angst haben vor","","phrase","be afraid","","",""
"de.lex.angst-haben-vor.be-afraid-of","to be afraid of","Angst haben vor","","phrase","be afraid of","","",""
"de.lex.anhaben","to be wearing","anhaben","","phrase","","","",""
"de.lex.anhang","attachment","Anhang","der","noun","","","",""
"de.lex.anker","anchor","Anker","der","noun","","","",""
"de.lex.ankommen","to arrive","ankommen","","verb","","","",""
"de.lex.anmeldung","registration","Anmeldung","die","noun","","","",""
"de.lex.anprobieren","to try on","anprobieren","","verb","","","",""
"de.lex.anrufen","to call (phone)","anrufen","","verb","","","",""
"de.lex.anscheinend","Apparently...","Anscheinend...","","noun","","","",""
"de.lex.anschluss","connection","Anschluss","der","noun","","","",""
"de.lex.ansehen","to look at","ansehen","","verb","","","",""
"de.lex.ansicht","view","Ansicht","die","noun","","","",""
"de.lex.antibiotikum","antibiotic","Antibiotikum","das","noun","","","",""
"de.lex.antwort.answer","answer","Antwort","die","noun","answer","","",""
"de.lex.antwort.response","the response","Antwort","die","noun","response","","",""
"de.lex.antworten","to answer","antworten","","verb","","","",""
"de.lex.anwaeltin","lawyer (f)","Anwältin","die","noun","","","",""
"de.lex.anwalt","lawyer (m)","Anwalt","der","noun","","","",""
"de.lex.anweisung","the instruction","Anweisung","die","noun","","","",""
"de.lex.anzahlung","deposit","Anzahlung","die","noun","","","",""
"de.lex.anziehen","to put on (clothes)","anziehen","","verb","","","",""
"de.lex.anzug","suit","Anzug","der","noun","","","",""
"de.lex.apfel","apple","Apfel","der","noun","","","",""
"de.lex.apotheke","pharmacy","Apotheke","die","noun","","","",""
"de.lex.apotheker","pharmacist","Apotheker","der","noun","","","",""
"de.lex.app","app","App","die","noun","","","",""
"de.lex.april","April","April","der","noun","","","",""
"de.lex.arbeit","work","Arbeit","die","noun","","","",""
"de.lex.arbeiten","to work","arbeiten","","verb","","","",""
"de.lex.arbeiten-arbeit-arbeiter","to work → work → worker","arbeiten → Arbeit → Arbeiter","","phrase","","","",""
"de.lex.arbeitslos","unemployed","arbeitslos","","word","","","",""
"de.lex.arbeitszeit","working hours","Arbeitszeit","die","noun","","","",""
"de.lex.architekt","architect","Architekt","der","noun","","","",""
"de.lex.arm.arm","arm","Arm","der","noun","arm","","",""
"de.lex.arm.poor","poor","arm","","word","poor","","",""
"de.lex.armut","poverty","Armut","die","noun","","","",""
"de.lex.arrogant","arrogant","arrogant","","word","","","",""
"de.lex.art","kind / type / species","Art","die","noun","","","",""
"de.lex.artenvielfalt","biodiversity","Artenvielfalt","die","noun","","","",""
"de.lex.artikel","article","Artikel","der","noun","","","",""
"de.lex.arzt","doctor","Arzt","der","noun","","","",""
"de.lex.arztpraxis","doctor's office","Arztpraxis","die","noun","","","",""
"de.lex.asche","ash","Asche","die","noun","","","",""
"de.lex.ast","branch","Ast","der","noun","","","",""
"de.lex.atem","breath","Atem","der","noun","","","",""
"de.lex.atmen","to breathe","atmen","","verb","","","",""
"de.lex.atom","atom","Atom","das","noun","","","",""
"de.lex.auch","also / too / even","auch","","function","","","",""
"de.lex.auf.into","on / onto / into","auf","","function","into","","",""
"de.lex.auf.open","up (direction / open)","auf","","word","open)","","",""
"de.lex.auf-akkusativ","on + Akkusativ (movement)","auf (Akkusativ)","","phrase","","","",""
"de.lex.auf-dativ","on + Dativ (location)","auf (Dativ)","","phrase","","","",""
"de.lex.auf-dem-land","in the countryside","auf dem Land","","phrase","","","",""
"de.lex.auf-den-ersten-blick","at first glance","auf den ersten Blick","","phrase","","","",""
"de.lex.auf-der-anderen-strassenseite","across the street","auf der anderen Straßenseite","","phrase","","","",""
"de.lex.auf-der-linken-seite","on the left side","auf der linken Seite","","phrase","","","",""
"de.lex.auf-der-rechten-seite","on the right side","auf der rechten Seite","","phrase","","","",""
"de.lex.auf-derselben-wellenlaenge-sein","to be on the same page","auf derselben Wellenlänge sein","","phrase","","","",""
"de.lex.auf-duennem-eis-stehen","to be on thin ice","auf dünnem Eis stehen","","phrase","","","",""
"de.lex.auf-einmal","suddenly / all at once","auf einmal","","phrase","","","",""
"de.lex.auf-jeden-fall.definitely","Definitely.","Auf jeden Fall.","","phrase","definitely","","",""
"de.lex.auf-jeden-fall.in-any-case","In any case.","Auf jeden Fall.","","phrase","in any case","","",""
"de.lex.auf-lager","in stock","auf Lager","","phrase","","","",""
"de.lex.auf-lange-sicht","in the long run","auf lange Sicht","","phrase","","","",""
"de.lex.auf-wiedersehen","Goodbye!","Auf Wiedersehen!","","phrase","","","",""
"de.lex.aufenthaltserlaubnis","residence permit","Aufenthaltserlaubnis","die","noun","","","",""
"de.lex.aufgabe","task","Aufgabe","die","noun","","","",""
"de.lex.aufgeben","to give up","aufgeben","","verb","","","",""
"de.lex.aufgeschlossen","open-minded","aufgeschlossen","","verb","","","",""
"de.lex.aufhoeren","to stop / to quit","aufhören","","verb","","","",""
"de.lex.aufhoeren-kuendigen","to quit","aufhören / kündigen","","phrase","","","",""
"de.lex.aufladen","to charge (phone)","aufladen","","verb","","","",""
"de.lex.aufmachen","to open up","aufmachen","","verb","","","",""
"de.lex.aufnehmen","to record","aufnehmen","","verb","","","",""
"de.lex.aufnehmen-absorbieren","to absorb","aufnehmen / absorbieren","","phrase","","","",""
"de.lex.aufpassen","to watch out / to pay attention","aufpassen","","verb","","","",""
"de.lex.aufpassen-achtgeben","to pay attention","aufpassen / achtgeben","","phrase","","","",""
"de.lex.aufraeumen","to clean up","aufräumen","","verb","","","",""
"de.lex.aufsatz","essay","Aufsatz","der","noun","","","",""
"de.lex.aufschreiben","to write down","aufschreiben","","verb","","","",""
"de.lex.aufstehen.get-up","to stand up","aufstehen","","verb","get up","","",""
"de.lex.aufstehen.get-up-2","to get up","aufstehen","","verb","get up","","",""
"de.lex.aufwachen","to wake up","aufwachen","","verb","","","",""
"de.lex.aufzug","elevator","Aufzug","der","noun","","","",""
"de.lex.auge","eye","Auge","das","noun","","","",""
"de.lex.august","August","August","der","noun","","","",""
"de.lex.aus.from","out / from","aus","","word","from","","",""
"de.lex.aus.made-of","made of / out of","aus","","function","made of","","",""
"de.lex.aus-diesem-grund","for this reason","aus diesem Grund","","phrase","","","",""
"de.lex.aus-einer-muecke-einen-elefanten-machen","to make a mountain out of a molehill","aus einer Mücke einen Elefanten machen","","phrase","","","",""
"de.lex.auschecken","to check out (hotel)","auschecken","","verb","","","",""
"de.lex.ausdruck","expression","Ausdruck","der","noun","","","",""
"de.lex.auseinanderfallen","to fall apart","auseinanderfallen","","verb","","","",""
"de.lex.ausfuellen","to fill in / complete","ausfüllen","","verb","","","",""
"de.lex.ausgeben","to spend (money)","ausgeben","","verb","","","",""
"de.lex.ausgehen","to go out","ausgehen","","verb","","","",""
"de.lex.ausgewogene-ernaehrung","balanced diet","ausgewogene Ernährung","die","phrase","","","",""
"de.lex.ausmachen","to agree / arrange","ausmachen","","verb","","","",""
"de.lex.ausnahme","the exception","Ausnahme","die","noun","","","",""
"de.lex.ausschalten","to switch off","ausschalten","","verb","","","",""
"de.lex.ausschalten-ausmachen","to turn off","ausschalten / ausmachen","","phrase","","","",""
"de.lex.aussehen","to look / to appear","aussehen","","verb","","","",""
"de.lex.ausser","except (Dativ)","außer","","word","","","",""
"de.lex.ausserdem","moreover","außerdem","","word","","","",""
"de.lex.aussprache","pronunciation","Aussprache","die","noun","","","",""
"de.lex.aussteigen","to get out (vehicle)","aussteigen","","verb","","","",""
"de.lex.ausstossen-emittieren","to emit","ausstoßen / emittieren","","phrase","","","",""
"de.lex.ausverkauf-sale","sale (reduced price)","Ausverkauf / Sale","der","phrase","","","",""
"de.lex.ausverkauft","out of stock","ausverkauft","","word","","","",""
"de.lex.auswerten-bewerten","to evaluate","auswerten / bewerten","","phrase","","","",""
"de.lex.ausziehen","to take off (clothes)","ausziehen","","verb","","","",""
"de.lex.auto","car","Auto","das","noun","","","",""
"de.lex.autobahn","highway","Autobahn","die","noun","","","",""
"de.lex.automatisieren","to automate","automatisieren","","verb","","","",""
"de.lex.automatisierung","automation","Automatisierung","die","noun","","","",""
"de.lex.baby","baby","Baby","das","noun","","","",""
"de.lex.backen.bake","to bake","backen","","verb","bake","","",""
"de.lex.backen.baking","baking","Backen","das","noun","baking","","",""
"de.lex.bad","bath","Bad","das","noun","","","",""
"de.lex.badeanzug","swimsuit","Badeanzug","der","noun","","","",""
"de.lex.badezimmer","bathroom","Badezimmer","das","noun","","","",""
"de.lex.baecker","baker","Bäcker","der","noun","","","",""
"de.lex.baeckerei","bakery","Bäckerei","die","noun","","","",""
"de.lex.baer","bear","Bär","der","noun","","","",""
"de.lex.bahnfahrkarte","train ticket","Bahnfahrkarte","die","noun","","","",""
"de.lex.bahnhof.station","station","Bahnhof","der","noun","station","","",""
"de.lex.bahnhof.train-station","train station","Bahnhof","der","noun","train station","","",""
"de.lex.bahnsteig","platform","Bahnsteig","der","noun","","","",""
"de.lex.bakterien","bacteria","Bakterien","die","noun","","","",""
"de.lex.bald","soon","bald","","word","","","",""
"de.lex.balkon","balcony","Balkon","der","noun","","","",""
"de.lex.banane","banana","Banane","die","noun","","","",""
"de.lex.band","ribbon / bond","Band","das","noun","","","",""
"de.lex.bank","bank","Bank","die","noun","","","",""
"de.lex.bankkonto","bank account","Bankkonto","das","noun","","","",""
"de.lex.bar","bar","Bar","die","noun","","","",""
"de.lex.bargeld","cash","Bargeld","das","noun","","","",""
"de.lex.bart","beard","Bart","der","noun","","","",""
"de.lex.basketball","basketball","Basketball","der","noun","","","",""
"de.lex.batterie","battery","Batterie","die","noun","","","",""
"de.lex.bauch.belly","belly","Bauch","der","noun","belly","","",""
"de.lex.bauch.stomach","stomach","Bauch","der","noun","stomach","","",""
"de.lex.bauchschmerzen","stomachache","Bauchschmerzen","die","noun","","","",""
"de.lex.bauen","to build","bauen","","verb","","","",""
"de.lex.bauer","farmer","Bauer","der","noun","","","",""
"de.lex.bauernhof","farm","Bauernhof","der","noun","","","",""
"de.lex.baum","tree","Baum","der","noun","","","",""
"de.lex.baumwolle","cotton","Baumwolle","die","noun","","","",""
"de.lex.beamer","video projector","Beamer","der","noun","","","",""
"de.lex.bearbeiten","to edit","bearbeiten","","verb","","","",""
"de.lex.bedeuten","to mean","bedeuten","","verb","","","",""
"de.lex.bedeutsam","significant","bedeutsam","","word","","","",""
"de.lex.bedingung","the condition","Bedingung","die","noun","","","",""
"de.lex.beenden-fertig-sein","to finish","beenden / fertig sein","","phrase","","","",""
"de.lex.beere","berry","Beere","die","noun","","","",""
"de.lex.befriedigend","grade C / satisfactory","befriedigend","","word","","","",""
"de.lex.begegnen","to meet / encounter","begegnen","","verb","","","",""
"de.lex.begeisterung","enthusiasm","Begeisterung","die","noun","","","",""
"de.lex.beginnen","to begin","beginnen","","verb","","","",""
"de.lex.beginnen-anfangen","to begin","beginnen / anfangen","","phrase","","","",""
"de.lex.beginnen-begonnen","to begin → begun","beginnen → begonnen","","phrase","","","",""
"de.lex.begruessen","to greet","begrüßen","","verb","","","",""
"de.lex.behalten","to keep","behalten","","verb","","","",""
"de.lex.behandlung","treatment","Behandlung","die","noun","","","",""
"de.lex.bei","at / by (Dativ)","bei","","word","","","",""
"de.lex.bei-dem-beim","at the → beim","bei + dem → beim","","phrase","","","",""
"de.lex.beide","both","beide","","word","","","",""
"de.lex.bein","leg","Bein","das","noun","","","",""
"de.lex.beispiel","example","Beispiel","das","noun","","","",""
"de.lex.beissen","to bite","beißen","","verb","","","",""
"de.lex.beitrag","post (social media)","Beitrag","der","noun","","","",""
"de.lex.bekannt-gegeben-werden","to be announced","bekannt gegeben werden","","phrase","","","",""
"de.lex.bekommen","to get/receive","bekommen","","verb","","","",""
"de.lex.bekommen-erhalten","to receive","bekommen / erhalten","","phrase","","","",""
"de.lex.beliebt","popular","beliebt","","word","","","",""
"de.lex.bemerken","to notice","bemerken","","verb","","","",""
"de.lex.benachrichtigung","notification","Benachrichtigung","die","noun","","","",""
"de.lex.benutzen-verwenden","to use","benutzen / verwenden","","phrase","","","",""
"de.lex.benutzername","username","Benutzername","der","noun","","","",""
"de.lex.benutzt-werden","to be used","benutzt werden","","phrase","","","",""
"de.lex.bequem","comfortable","bequem","","word","","","",""
"de.lex.berechnen","to calculate","berechnen","","verb","","","",""
"de.lex.berg","mountain","Berg","der","noun","","","",""
"de.lex.berggipfel","mountain top","Berggipfel","der","noun","","","",""
"de.lex.bericht","report","Bericht","der","noun","","","",""
"de.lex.berlin","Berlin","Berlin","","noun","","","",""
"de.lex.beruehmt","famous","berühmt","","word","","","",""
"de.lex.berufsschule","vocational school","Berufsschule","die","noun","","","",""
"de.lex.berufung-einlegen","to appeal","Berufung einlegen","","phrase","","","",""
"de.lex.beschaeftigt","busy","beschäftigt","","word","","","",""
"de.lex.bescheiden","modest","bescheiden","","verb","","","",""
"de.lex.beschwerde","complaint","Beschwerde","die","noun","","","",""
"de.lex.besichtigung","sightseeing","Besichtigung","die","noun","","","",""
"de.lex.besitzer","owner","Besitzer","der","noun","","A0","",""
"de.lex.besonders.especially","especially","besonders","","word","especially","","",""
"de.lex.besonders.special","special","besonders","","word","special","","",""
"de.lex.besonders-insbesondere","particularly","besonders / insbesondere","","phrase","","","",""
"de.lex.besorgnis","anxiety","Besorgnis","die","noun","","","",""
"de.lex.besser","better","besser","","word","","","",""
"de.lex.besser-als-erwartet","better than expected","besser als erwartet","","phrase","","","",""
"de.lex.besser-spaet-als-nie","better late than never","besser spät als nie","","phrase","","","",""
"de.lex.besser-werden-sich-erholen","to get better","besser werden / sich erholen","","phrase","","","",""
"de.lex.bestaetigen","to confirm","bestätigen","","verb","","","",""
"de.lex.bestaetigung","confirmation","Bestätigung","die","noun","","","",""
"de.lex.beste-gruesse","Best regards,","Beste Grüße,","","phrase","","","",""
"de.lex.bestellen","to order","bestellen","","verb","","","",""
"de.lex.bestellung","the order","Bestellung","die","noun","","","",""
"de.lex.besuchen","to visit","besuchen","","verb","","","",""
"de.lex.beton","concrete","Beton","der","noun","","","",""
"de.lex.betreffzeile","subject line","Betreffzeile","die","noun","","","",""
"de.lex.betriebssystem","operating system","Betriebssystem","das","noun","","","",""
"de.lex.bett","bed","Bett","das","noun","","","",""
"de.lex.bevor-ich-antworte","before I answer","bevor ich antworte","","phrase","","","",""
"de.lex.bevor-ich-rausgehe-schaue-ich-das-wetter-an","Before I go out, I check the weather.","Bevor ich rausgehe, schaue ich das Wetter an.","","phrase","","","",""
"de.lex.bewegen","to move","bewegen","","verb","","","",""
"de.lex.bewegung","the movement","Bewegung","die","noun","","","",""
"de.lex.bewerbung","application","Bewerbung","die","noun","","","",""
"de.lex.bewertung.rating","rating","Bewertung","die","noun","rating","","",""
"de.lex.bewertung.review","review","Bewertung","die","noun","review","","",""
"de.lex.bezahlen","to pay","bezahlen","","verb","","","",""
"de.lex.beziehung","the relationship","Beziehung","die","noun","","","",""
"de.lex.biber","beaver","Biber","der","noun","","","",""
"de.lex.bibliothek","library","Bibliothek","die","noun","","","",""
"de.lex.biegen-sie-links-ab","Turn left.","Biegen Sie links ab.","","phrase","","","",""
"de.lex.biegen-sie-rechts-ab","Turn right.","Biegen Sie rechts ab.","","phrase","","","",""
"de.lex.biene","bee","Biene","die","noun","","","",""
"de.lex.bienenstock","the beehive","Bienenstock","der","noun","","","",""
"de.lex.bier","beer","Bier","das","noun","","","",""
"de.lex.bieten-sie-einen-studentenrabatt-an","Do you offer a student discount?","Bieten Sie einen Studentenrabatt an?","","phrase","","","",""
"de.lex.bildschirm","screen","Bildschirm","der","noun","","","",""
"de.lex.bildung","education","Bildung","die","noun","","","",""
"de.lex.billig","cheap","billig","","word","","","",""
"de.lex.billion","trillion","Billion","die","noun","","","",""
"de.lex.binden","to bind / to tie","binden","","verb","","","",""
"de.lex.biologie","biology","Biologie","die","noun","","","",""
"de.lex.birne","pear","Birne","die","noun","","","",""
"de.lex.bis","until","bis","","word","","","",""
"de.lex.bis-bald","See you soon!","Bis bald!","","phrase","","","",""
"de.lex.bis-freitag","until Friday","bis Freitag","","phrase","","","",""
"de.lex.bis-in-die-nacht-arbeiten","to burn the midnight oil","bis in die Nacht arbeiten","","phrase","","","",""
"de.lex.bis-jetzt","up until now","bis jetzt","","phrase","","","",""
"de.lex.bis-spaeter","See you later!","Bis später!","","phrase","","","",""
"de.lex.bis-ueber-beide-ohren-verliebt-sein","to be head over heels in love","bis über beide Ohren verliebt sein","","phrase","","","",""
"de.lex.bis-zum-naechsten-mal","See you next time!","Bis zum nächsten Mal!","","phrase","","","",""
"de.lex.bist-du-fertig","Are you ready?","Bist du fertig?","","phrase","","","",""
"de.lex.bitte","Please.","Bitte.","","noun","","","",""
"de.lex.bitte-fuellen-sie-das-formular-aus","Please fill in the form! (Sie)","Bitte füllen Sie das Formular aus!","","phrase","","","",""
"de.lex.bitte-sehr-gern-geschehen","You're welcome.","Bitte sehr. / Gern geschehen.","","phrase","","","",""
"de.lex.bitte-setzen-sie-sich","Please sit down! (Sie)","Bitte setzen Sie sich!","","phrase","","","",""
"de.lex.bitte-sprechen-sie-langsam","Please speak slowly! (Sie)","Bitte sprechen Sie langsam!","","phrase","","","",""
"de.lex.bitte-unterschreiben-sie-hier","Please sign here! (Sie)","Bitte unterschreiben Sie hier!","","phrase","","","",""
"de.lex.bitte-warten-sie","Please wait! (Sie)","Bitte warten Sie!","","phrase","","","",""
"de.lex.bitten-um","to ask for","bitten um","","phrase","","","",""
"de.lex.blank","shiny / bright","blank","","word","","","",""
"de.lex.blase","bladder / bubble / blister","Blase","die","noun","","","",""
"de.lex.blasen","to blow","blasen","","verb","","","",""
"de.lex.blasse-haut","pale skin","blasse Haut","","phrase","","","",""
"de.lex.blatt","leaf","Blatt","das","noun","","","",""
"de.lex.blau","blue","blau","","word","","","",""
"de.lex.blaue-augen","blue eyes","blaue Augen","","phrase","","","",""
"de.lex.bleiben","to stay","bleiben","","verb","","","",""
"de.lex.bleiben-geblieben","to stay → stayed","bleiben → geblieben","","phrase","","","",""
"de.lex.bleistift","pencil","Bleistift","der","noun","","","",""
"de.lex.blind","blind","blind","","word","","","",""
"de.lex.blitz","lightning","Blitz","der","noun","","","",""
"de.lex.blockieren","to block","blockieren","","verb","","","",""
"de.lex.blonde-haare","blonde hair","blonde Haare","","phrase","","","",""
"de.lex.blume","flower","Blume","die","noun","","","",""
"de.lex.blut","blood","Blut","das","noun","","","",""
"de.lex.blutdruck","blood pressure","Blutdruck","der","noun","","","",""
"de.lex.boden.bottom","the bottom","Boden","der","noun","bottom","","",""
"de.lex.boden.floor","floor","Boden","der","noun","floor","","",""
"de.lex.boerse","stock market","Börse","die","noun","","","",""
"de.lex.bogen.arch","arch","Bogen","der","noun","arch","","",""
"de.lex.bogen.bow-curve","bow (curve / weapon)","Bogen","der","noun","bow (curve","","",""
"de.lex.bohne","bean","Bohne","die","noun","","","",""
"de.lex.bohren","to drill / to bore","bohren","","verb","","","",""
"de.lex.bohrer","drill","Bohrer","der","noun","","","",""
"de.lex.boot","boat","Boot","das","noun","","","",""
"de.lex.bordkarte","boarding pass","Bordkarte","die","noun","","","",""
"de.lex.borgen","to borrow","borgen","","verb","","","",""
"de.lex.botschaft","embassy","Botschaft","die","noun","","","",""
"de.lex.boxen","boxing","Boxen","das","noun","","","",""
"de.lex.brandneu","brand new","brandneu","","word","","","",""
"de.lex.braten","to roast / to fry","braten","","verb","","","",""
"de.lex.bratwurst","bratwurst","Bratwurst","die","noun","","","",""
"de.lex.brauchen","to need","brauchen","","verb","","","",""
"de.lex.brauen","to brew","brauen","","verb","","","",""
"de.lex.braun","brown","braun","","word","","","",""
"de.lex.braune-augen","brown eyes","braune Augen","","phrase","","","",""
"de.lex.braune-haare","brown hair","braune Haare","","phrase","","","",""
"de.lex.braut","bride","Braut","die","noun","","","",""
"de.lex.brav","well-behaved / good","brav","","word","","","",""
"de.lex.brechen","to break","brechen","","verb","","","",""
"de.lex.brechen-gebrochen","to break → broken","brechen → gebrochen","","phrase","","","",""
"de.lex.breit","wide","breit","","word","","","",""
"de.lex.brennen","to burn","brennen","","verb","","","",""
"de.lex.brettspiel","board game","Brettspiel","das","noun","","","",""
"de.lex.brezel","pretzel","Brezel","die","noun","","","",""
"de.lex.brief","letter (mail)","Brief","der","noun","","","",""
"de.lex.briefmarke","stamp","Briefmarke","die","noun","","","",""
"de.lex.briefumschlag","envelope","Briefumschlag","der","noun","","","",""
"de.lex.brille","glasses","Brille","die","noun","","","",""
"de.lex.bring-es","Bring it! (du)","Bring es!","","phrase","","","",""
"de.lex.bringen","to bring","bringen","","verb","","","",""
"de.lex.bringen-gebracht","to bring → brought","bringen → gebracht","","phrase","","","",""
"de.lex.broetchen","roll","Brötchen","das","noun","","","",""
"de.lex.brokkoli","broccoli","Brokkoli","der","noun","","","",""
"de.lex.brot","bread","Brot","das","noun","","","",""
"de.lex.bruder","brother","Bruder","der","noun","","","",""
"de.lex.bruecke","bridge","Brücke","die","noun","","","",""
"de.lex.brunnen","fountain","Brunnen","der","noun","","","",""
"de.lex.brust","chest","Brust","die","noun","","","",""
"de.lex.buch","book","Buch","das","noun","","","",""
"de.lex.buchhalter","accountant","Buchhalter","der","noun","","","",""
"de.lex.buchhandlung","bookstore","Buchhandlung","die","noun","","","",""
"de.lex.budget","budget","Budget","das","noun","","","",""
"de.lex.budgetieren","to budget","budgetieren","","verb","","","",""
"de.lex.buergersteig","sidewalk","Bürgersteig","der","noun","","","",""
"de.lex.buero","office","Büro","das","noun","","","",""
"de.lex.buerste","brush","Bürste","die","noun","","","",""
"de.lex.bus","bus","Bus","der","noun","","","",""
"de.lex.busch","bush","Busch","der","noun","","","",""
"de.lex.bushaltestelle","bus stop","Bushaltestelle","die","noun","","","",""
"de.lex.butter","butter","Butter","die","noun","","","",""
