english,target,article,plural,type,register,tags,note,alternatives,article_prompt
compromise,Kompromiss,der,Kompromisse,noun,neutral,"abstract,work,B1",,,TRUE
feedback,Feedback,das,,noun,neutral,"abstract,work,B1",Usually uncountable.,,TRUE
support,Unterstützung,die,,noun,neutral,"abstract,work,B1",Usually uncountable.,,TRUE
help,Hilfe,die,,noun,neutral,"abstract,basics,A1",Usually uncountable.,,TRUE
opportunity,Gelegenheit,die,Gelegenheiten,noun,neutral,"abstract,communication,B1",,,TRUE
approach,Ansatz,der,Ansätze,noun,neutral,"abstract,work,B1",,,TRUE
difference,Unterschied,der,Unterschiede,noun,neutral,"abstract,basics,A2",,,TRUE
similarity,Gemeinsamkeit,die,Gemeinsamkeiten,noun,neutral,"abstract,communication,B1",,,TRUE
detail,Detail,das,Details,noun,neutral,"abstract,work,A2",,,TRUE
overview,Überblick,der,Überblicke,noun,neutral,"abstract,work,B1",,,TRUE
example,Beispiel,das,Beispiele,noun,neutral,"abstract,basics,A2",,,TRUE
context,Kontext,der,Kontexte,noun,neutral,"abstract,work,B1",,,TRUE
meaning,Bedeutung,die,Bedeutungen,noun,neutral,"abstract,basics,A2",,,TRUE
value,Wert,der,Werte,noun,neutral,"abstract,work,B1",,,TRUE
quality,Qualität,die,Qualitäten,noun,neutral,"abstract,work,B1",,,TRUE
quantity,Menge,die,Mengen,noun,neutral,"abstract,basics,A2",,,TRUE
need,Bedarf,der,Bedarfe,noun,neutral,"abstract,work,B1",'Bedürfnis' is also used for personal needs.,,TRUE
information,Information,die,Informationen,noun,neutral,"abstract,basics,A2",,,TRUE
data,Daten,die,,noun,neutral,"abstract,work,A2",Always plural in German.,,TRUE
document,Dokument,das,Dokumente,noun,neutral,"abstract,work,A2",,,TRUE
message,Nachricht,die,Nachrichten,noun,neutral,"communication,basics,A2",,,TRUE
email,E-Mail,die,E-Mails,noun,neutral,"communication,work,A1",Die E-Mail — feminine.,,TRUE
subject line,Betreff,der,,noun,neutral,"communication,work,B1",Usually used in singular.,,TRUE
attachment,Anhang,der,Anhänge,noun,neutral,"communication,work,B1",,,TRUE
file,Datei,die,Dateien,noun,neutral,"work,digital,A2",,,TRUE
folder,Ordner,der,Ordner,noun,neutral,"work,digital,A2",Plural same as singular.,,TRUE
version,Version,die,Versionen,noun,neutral,"work,digital,B1",,,TRUE
update,Update,das,Updates,noun,neutral,"work,digital,B1",,,TRUE
export,Export,der,Exporte,noun,neutral,"work,digital,B1",,,TRUE
import,Import,der,Importe,noun,neutral,"work,digital,B1",,,TRUE
format,Format,das,Formate,noun,neutral,"work,digital,A2",,,TRUE
model (BIM),Modell,das,Modelle,noun,neutral,"bim,work,A2",,,TRUE
parameter,Parameter,der,Parameter,noun,neutral,"bim,work,B1",Plural same as singular.,,TRUE
layer,Ebene,die,Ebenen,noun,neutral,"bim,work,B1",Also means 'level' or 'plane'.,,TRUE
element,Element,das,Elemente,noun,neutral,"bim,work,A2",,,TRUE
component,Bauteil,das,Bauteile,noun,neutral,"bim,architecture,B1",,,TRUE
storey / floor,Geschoss,das,Geschosse,noun,neutral,"bim,architecture,B1",Erdgeschoss = ground floor.,,TRUE
drawing,Zeichnung,die,Zeichnungen,noun,neutral,"bim,architecture,A2",,,TRUE
plan (architectural),Grundriss,der,Grundrisse,noun,neutral,"bim,architecture,B1",Specifically a floor plan.,,TRUE
section (architectural),Schnitt,der,Schnitte,noun,neutral,"bim,architecture,B1",,,TRUE
elevation,Ansicht,die,Ansichten,noun,neutral,"bim,architecture,B1",Also means 'view' or 'opinion'.,,TRUE
detail drawing,Detailzeichnung,die,Detailzeichnungen,noun,neutral,"bim,architecture,B1",,,TRUE
coordination,Koordination,die,Koordinationen,noun,neutral,"bim,work,B1",,,TRUE
clash,Kollision,die,Kollisionen,noun,neutral,"bim,work,B1",In BIM context: model clash.,,TRUE
interface,Schnittstelle,die,Schnittstellen,noun,neutral,"bim,work,B1",Also used in IT.,,TRUE
workflow,Workflow,der,Workflows,noun,neutral,"bim,work,B1",,,TRUE
deadline,Frist,die,Fristen,noun,neutral,"work,B1","Also: Deadline (das, anglicism).",,TRUE
milestone,Meilenstein,der,Meilensteine,noun,neutral,"work,B1",,,TRUE
meeting,Besprechung,die,Besprechungen,noun,neutral,"work,B1",More formal than 'Meeting'.,Meeting,TRUE
protocol / minutes,Protokoll,das,Protokolle,noun,neutral,"work,B1",,,TRUE
report,Bericht,der,Berichte,noun,neutral,"work,A2",,,TRUE
presentation,Präsentation,die,Präsentationen,noun,neutral,"work,A2",,,TRUE
contract,Vertrag,der,Verträge,noun,neutral,"work,B1",,,TRUE
invoice,Rechnung,die,Rechnungen,noun,neutral,"work,A2",Also: restaurant bill.,,TRUE
budget,Budget,das,Budgets,noun,neutral,"work,B1",,,TRUE
project,Projekt,das,Projekte,noun,neutral,"work,A2",,,TRUE
phase,Phase,die,Phasen,noun,neutral,"work,bim,A2",,,TRUE
process,Prozess,der,Prozesse,noun,neutral,"work,B1",,,TRUE
procedure,Vorgehensweise,die,Vorgehensweisen,noun,neutral,"work,B2",,,TRUE
structure,Struktur,die,Strukturen,noun,neutral,"work,bim,B1",,,TRUE
system,System,das,Systeme,noun,neutral,"work,bim,A2",,,TRUE
network,Netzwerk,das,Netzwerke,noun,neutral,"work,digital,B1",,,TRUE
platform,Plattform,die,Plattformen,noun,neutral,"work,digital,B1",,,TRUE
tool,Werkzeug,das,Werkzeuge,noun,neutral,"work,basics,A2",,,TRUE
software,Software,die,,noun,neutral,"work,digital,A2",Usually uncountable.,,TRUE
program,Programm,das,Programme,noun,neutral,"work,digital,A2",,,TRUE
interface (UI),Benutzeroberfläche,die,Benutzeroberflächen,noun,neutral,"work,digital,B2",,,TRUE
server,Server,der,Server,noun,neutral,"work,digital,B1",Plural same as singular.,,TRUE
cloud (digital),Cloud,die,,noun,neutral,"work,digital,A2",,,TRUE
database,Datenbank,die,Datenbanken,noun,neutral,"work,digital,B1",,,TRUE
person,Person,die,Personen,noun,neutral,"people,basics,A1",,,TRUE
man,Mann,der,Männer,noun,neutral,"people,basics,A1",,,TRUE
woman,Frau,die,Frauen,noun,neutral,"people,basics,A1",Also: 'Mrs'.,,TRUE
child,Kind,das,Kinder,noun,neutral,"people,basics,A1",,,TRUE
boy,Junge,der,Jungen,noun,neutral,"people,basics,A1",,,TRUE
girl,Mädchen,das,Mädchen,noun,neutral,"people,basics,A1",Neuter despite referring to a female. Plural same as singular.,,TRUE
friend,Freund / Freundin,der,Freunde,noun,neutral,"people,basics,A1",Also: boyfriend / girlfriend depending on context.,,TRUE
partner,Partner / Partnerin,der,Partner,noun,neutral,"people,relationships,A2",Plural same as singular for masculine.,,TRUE
husband,Ehemann,der,Ehemänner,noun,neutral,"people,relationships,A2",,,TRUE
wife,Ehefrau,die,Ehefrauen,noun,neutral,"people,relationships,A2",,,TRUE
colleague,Kollege / Kollegin,der,Kollegen,noun,neutral,"people,work,A2",,,TRUE
boss,Chef / Chefin,der,Chefs,noun,neutral,"people,work,A2",,,TRUE
employee,Mitarbeiter / Mitarbeiterin,der,Mitarbeiter,noun,neutral,"people,work,A2",Plural same as singular.,,TRUE
customer,Kunde / Kundin,der,Kunden,noun,neutral,"people,work,A2",,,TRUE
client,Auftraggeber / Auftraggeberin,der,Auftraggeber,noun,neutral,"people,work,B1",More specific than Kunde.,,TRUE
neighbour,Nachbar / Nachbarin,der,Nachbarn,noun,neutral,"people,basics,A2",,,TRUE
stranger,fremde Person,die,fremde Personen,noun,neutral,"people,B1",Common gender-neutral phrasing; avoids der/die ambiguity.,,TRUE
family,Familie,die,Familien,noun,neutral,"people,basics,A1",,,TRUE
parent,Elternteil,das,Elternteile,noun,neutral,"people,basics,A2",'Eltern' (plural only) = parents.,,TRUE
father,Vater,der,Väter,noun,neutral,"people,basics,A1",,,TRUE
mother,Mutter,die,Mütter,noun,neutral,"people,basics,A1",,,TRUE
brother,Bruder,der,Brüder,noun,neutral,"people,basics,A1",,,TRUE
sister,Schwester,die,Schwestern,noun,neutral,"people,basics,A1",,,TRUE
house,Haus,das,Häuser,noun,neutral,"home,basics,A1",,,TRUE
apartment,Wohnung,die,Wohnungen,noun,neutral,"home,basics,A1",,,TRUE
room,Zimmer,das,Zimmer,noun,neutral,"home,basics,A1",Plural same as singular.,,TRUE
kitchen,Küche,die,Küchen,noun,neutral,"home,basics,A1",,,TRUE
bathroom,Bad,das,Bäder,noun,neutral,"home,basics,A1",,,TRUE
bedroom,Schlafzimmer,das,Schlafzimmer,noun,neutral,"home,basics,A1",Plural same as singular.,,TRUE
living room,Wohnzimmer,das,Wohnzimmer,noun,neutral,"home,basics,A1",Plural same as singular.,,TRUE
hallway,Flur,der,Flure,noun,neutral,"home,basics,A2",,,TRUE
balcony,Balkon,der,Balkone,noun,neutral,"home,A2",Also: Balkons (less formal).,,TRUE
cellar,Keller,der,Keller,noun,neutral,"home,A2",Plural same as singular.,,TRUE
attic,Dachboden,der,Dachböden,noun,neutral,"home,A2",,,TRUE
garden,Garten,der,Gärten,noun,neutral,"home,basics,A1",,,TRUE
floor (level),Etage,die,Etagen,noun,neutral,"home,basics,A2",,Stockwerk,TRUE
staircase,Treppe,die,Treppen,noun,neutral,"home,architecture,A2",,,TRUE
lift / elevator,Aufzug,der,Aufzüge,noun,neutral,"home,travel,A2",,,TRUE
entrance,Eingang,der,Eingänge,noun,neutral,"home,architecture,A2",,,TRUE
exit,Ausgang,der,Ausgänge,noun,neutral,"home,transport,A2",,,TRUE
door,Tür,die,Türen,noun,neutral,"home,basics,A1",,,TRUE
window,Fenster,das,Fenster,noun,neutral,"home,basics,A1",Plural same as singular.,,TRUE
wall,Wand,die,Wände,noun,neutral,"home,architecture,A2",Interior wall. 'Mauer' = exterior/free-standing wall.,,TRUE
ceiling,Decke,die,Decken,noun,neutral,"home,architecture,A2",Also means 'blanket'.,,TRUE
floor (surface),Boden,der,Böden,noun,neutral,"home,architecture,A1",Also: ground.,,TRUE
roof,Dach,das,Dächer,noun,neutral,"home,architecture,A2",,,TRUE
step / stair,Stufe,die,Stufen,noun,neutral,"home,architecture,A2",,,TRUE
railing,Geländer,das,Geländer,noun,neutral,"home,architecture,B1",Plural same as singular.,,TRUE
column / pillar,Stütze,die,Stützen,noun,neutral,"bim,architecture,B1",,,TRUE
beam,Träger,der,Träger,noun,neutral,"bim,architecture,B1",Plural same as singular.,,TRUE
slab / ceiling structure,Deckenplatte,die,Deckenplatten,noun,neutral,"bim,architecture,B2",,,TRUE
facade,Fassade,die,Fassaden,noun,neutral,"bim,architecture,B1",,,TRUE
opening,Öffnung,die,Öffnungen,noun,neutral,"bim,architecture,B1",,,TRUE
shaft,Schacht,der,Schächte,noun,neutral,"bim,architecture,B2",,,TRUE
corridor / hallway,Korridor,der,Korridore,noun,neutral,"bim,architecture,B1",,,TRUE
stairwell,Treppenhaus,das,Treppenhäuser,noun,neutral,"home,architecture,B1",,,TRUE
garage,Garage,die,Garagen,noun,neutral,"home,A2",,,TRUE
key,Schlüssel,der,Schlüssel,noun,neutral,"home,basics,A1",Plural same as singular.,,TRUE
lock,Schloss,das,Schlösser,noun,neutral,"home,basics,A2",Also: castle.,,TRUE
furniture,Möbel,die,,noun,neutral,"home,basics,A2",Always plural.,,TRUE
table,Tisch,der,Tische,noun,neutral,"home,basics,A1",,,TRUE
chair,Stuhl,der,Stühle,noun,neutral,"home,basics,A1",,,TRUE
sofa,Sofa,das,Sofas,noun,neutral,"home,basics,A1",,,TRUE
bed,Bett,das,Betten,noun,neutral,"home,basics,A1",,,TRUE
shelf,Regal,das,Regale,noun,neutral,"home,basics,A2",,,TRUE
wardrobe,Kleiderschrank,der,Kleiderschränke,noun,neutral,"home,basics,A2",,,TRUE
desk,Schreibtisch,der,Schreibtische,noun,neutral,"home,work,A2",,,TRUE
lamp,Lampe,die,Lampen,noun,neutral,"home,basics,A1",,,TRUE
carpet / rug,Teppich,der,Teppiche,noun,neutral,"home,basics,A2",,,TRUE
curtain,Vorhang,der,Vorhänge,noun,neutral,"home,A2",,,TRUE
mirror,Spiegel,der,Spiegel,noun,neutral,"home,basics,A2",Plural same as singular.,,TRUE
refrigerator,Kühlschrank,der,Kühlschränke,noun,neutral,"home,basics,A2",,,TRUE
oven,Ofen,der,Öfen,noun,neutral,"home,basics,A2",Also: heating stove.,,TRUE
washing machine,Waschmaschine,die,Waschmaschinen,noun,neutral,"home,A2",,,TRUE
dishwasher,Spülmaschine,die,Spülmaschinen,noun,neutral,"home,A2",,,TRUE
heating,Heizung,die,Heizungen,noun,neutral,"home,A2",,,TRUE
air conditioning,Klimaanlage,die,Klimaanlagen,noun,neutral,"home,travel,A2",,,TRUE
towel,Handtuch,das,Handtücher,noun,neutral,"home,travel,A2",,,TRUE
shower,Dusche,die,Duschen,noun,neutral,"home,travel,A2",,,TRUE
bathtub,Badewanne,die,Badewannen,noun,neutral,"home,A2",,,TRUE
toilet,Toilette,die,Toiletten,noun,neutral,"home,basics,A1",,,TRUE
sink,Waschbecken,das,Waschbecken,noun,neutral,"home,basics,A2",Plural same as singular.,,TRUE
tap / faucet,Wasserhahn,der,Wasserhähne,noun,neutral,"home,A2",,,TRUE
water,Wasser,das,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
coffee,Kaffee,der,Kaffees,noun,neutral,"food,basics,A1",,,TRUE
tea,Tee,der,Tees,noun,neutral,"food,basics,A1",,,TRUE
beer,Bier,das,Biere,noun,neutral,"food,basics,A1",,,TRUE
wine,Wein,der,Weine,noun,neutral,"food,basics,A1",,,TRUE
juice,Saft,der,Säfte,noun,neutral,"food,basics,A1",,,TRUE
milk,Milch,die,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
bread,Brot,das,Brote,noun,neutral,"food,basics,A1",,,TRUE
roll (bread),Brötchen,das,Brötchen,noun,neutral,"food,basics,A1",Plural same as singular.,,TRUE
butter,Butter,die,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
cheese,Käse,der,Käse,noun,neutral,"food,basics,A1",Plural same as singular.,,TRUE
egg,Ei,das,Eier,noun,neutral,"food,basics,A1",,,TRUE
meat,Fleisch,das,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
chicken,Hähnchen,das,Hähnchen,noun,neutral,"food,restaurant,A2",Plural same as singular. Also: Huhn (the bird).,,TRUE
beef,Rindfleisch,das,,noun,neutral,"food,restaurant,B1",Usually uncountable.,,TRUE
pork,Schweinefleisch,das,,noun,neutral,"food,restaurant,B1",Usually uncountable.,,TRUE
fish,Fisch,der,Fische,noun,neutral,"food,basics,A1",,,TRUE
vegetable,Gemüse,das,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
salad,Salat,der,Salate,noun,neutral,"food,restaurant,A1",,,TRUE
soup,Suppe,die,Suppen,noun,neutral,"food,restaurant,A1",,,TRUE
pasta,Nudeln,die,,noun,neutral,"food,basics,A1",Usually plural.,,TRUE
rice,Reis,der,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
fruit,Obst,das,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
apple,Apfel,der,Äpfel,noun,neutral,"food,basics,A1",,,TRUE
banana,Banane,die,Bananen,noun,neutral,"food,basics,A1",,,TRUE
potato,Kartoffel,die,Kartoffeln,noun,neutral,"food,basics,A1",,,TRUE
tomato,Tomate,die,Tomaten,noun,neutral,"food,basics,A1",,,TRUE
onion,Zwiebel,die,Zwiebeln,noun,neutral,"food,basics,A1",,,TRUE
garlic,Knoblauch,der,,noun,neutral,"food,cooking,A2",Usually uncountable.,,TRUE
salt,Salz,das,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
pepper,Pfeffer,der,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
sugar,Zucker,der,,noun,neutral,"food,basics,A1",Usually uncountable.,,TRUE
oil,Öl,das,Öle,noun,neutral,"food,cooking,A2",,,TRUE
sauce,Soße,die,Soßen,noun,neutral,"food,restaurant,A2",,,TRUE
dessert,Nachspeise,die,Nachspeisen,noun,neutral,"food,restaurant,A2",,,TRUE
cake,Kuchen,der,Kuchen,noun,neutral,"food,basics,A1",Plural same as singular.,,TRUE
chocolate,Schokolade,die,Schokoladen,noun,neutral,"food,basics,A1",,,TRUE
ice cream,Eis,das,,noun,neutral,"food,basics,A1",Usually uncountable. Also: ice.,,TRUE
menu,Speisekarte,die,Speisekarten,noun,neutral,"food,restaurant,A1",,,TRUE
dish / meal,Gericht,das,Gerichte,noun,neutral,"food,restaurant,A2",,,TRUE
portion,Portion,die,Portionen,noun,neutral,"food,restaurant,A2",,,TRUE
tip (gratuity),Trinkgeld,das,Trinkgelder,noun,neutral,"food,restaurant,B1",,,TRUE
reservation,Reservierung,die,Reservierungen,noun,neutral,"food,hotel,A2",,,TRUE
city,Stadt,die,Städte,noun,neutral,"city,basics,A1",,,TRUE
village,Dorf,das,Dörfer,noun,neutral,"city,basics,A2",,,TRUE
street,Straße,die,Straßen,noun,neutral,"city,basics,A1",,,TRUE
square (town),Platz,der,Plätze,noun,neutral,"city,basics,A2",Also: seat / space.,,TRUE
bridge,Brücke,die,Brücken,noun,neutral,"city,basics,A2",,,TRUE
park,Park,der,Parks,noun,neutral,"city,basics,A1",,,TRUE
church,Kirche,die,Kirchen,noun,neutral,"city,basics,A1",,,TRUE
museum,Museum,das,Museen,noun,neutral,"city,basics,A2",,,TRUE
hospital,Krankenhaus,das,Krankenhäuser,noun,neutral,"city,health,A2",,,TRUE
pharmacy,Apotheke,die,Apotheken,noun,neutral,"city,health,A1",,,TRUE
school,Schule,die,Schulen,noun,neutral,"city,basics,A1",,,TRUE
university,Universität,die,Universitäten,noun,neutral,"city,basics,A2",,,TRUE
office,Büro,das,Büros,noun,neutral,"city,work,A2",,,TRUE
factory,Fabrik,die,Fabriken,noun,neutral,"city,work,B1",,,TRUE
shop,Geschäft,das,Geschäfte,noun,neutral,"city,shopping,A1",,,TRUE
supermarket,Supermarkt,der,Supermärkte,noun,neutral,"city,shopping,A1",,,TRUE
bakery,Bäckerei,die,Bäckereien,noun,neutral,"city,food,A1",,,TRUE
bank,Bank,die,Banken,noun,neutral,"city,basics,A1",Also: bench (feminine same).,,TRUE
post office,Post,die,,noun,neutral,"city,basics,A1",Also: mail.,,TRUE
hotel,Hotel,das,Hotels,noun,neutral,"city,travel,A1",,,TRUE
restaurant,Restaurant,das,Restaurants,noun,neutral,"city,food,A1",,,TRUE
café,Café,das,Cafés,noun,neutral,"city,food,A1",,,TRUE
bar,Bar,die,Bars,noun,neutral,"city,food,A2",,,TRUE
station (train),Bahnhof,der,Bahnhöfe,noun,neutral,"city,transport,A1",,,TRUE
platform (train),Gleis,das,Gleise,noun,neutral,"city,transport,A1",,,TRUE
airport,Flughafen,der,Flughäfen,noun,neutral,"city,transport,A1",,,TRUE
bus stop,Bushaltestelle,die,Bushaltestellen,noun,neutral,"city,transport,A1",,,TRUE
tram stop,Straßenbahnhaltestelle,die,Straßenbahnhaltestellen,noun,neutral,"city,transport,A2",,,TRUE
car park,Parkplatz,der,Parkplätze,noun,neutral,"city,transport,A2",,,TRUE
traffic light,Ampel,die,Ampeln,noun,neutral,"city,transport,A2",,,TRUE
crossroads,Kreuzung,die,Kreuzungen,noun,neutral,"city,transport,A2",,,TRUE
corner,Ecke,die,Ecken,noun,neutral,"city,basics,A2",,,TRUE
roundabout,Kreisverkehr,der,Kreisverkehre,noun,neutral,"city,transport,B1",,,TRUE
pavement / footpath,Bürgersteig,der,Bürgersteige,noun,neutral,"city,transport,B1",,,TRUE
building,Gebäude,das,Gebäude,noun,neutral,"city,architecture,A2",Plural same as singular.,,TRUE
construction site,Baustelle,die,Baustellen,noun,neutral,"city,bim,B1",,,TRUE
car,Auto,das,Autos,noun,neutral,"transport,basics,A1",,,TRUE
bus,Bus,der,Busse,noun,neutral,"transport,basics,A1",,,TRUE
train,Zug,der,Züge,noun,neutral,"transport,basics,A1",,,TRUE
tram,Straßenbahn,die,Straßenbahnen,noun,neutral,"transport,basics,A1",,,TRUE
underground,U-Bahn,die,U-Bahnen,noun,neutral,"transport,basics,A1",Short for Untergrundbahn.,,TRUE
taxi,Taxi,das,Taxis,noun,neutral,"transport,basics,A1",,,TRUE
bicycle,Fahrrad,das,Fahrräder,noun,neutral,"transport,basics,A1",,,TRUE
motorbike,Motorrad,das,Motorräder,noun,neutral,"transport,A2",,,TRUE
plane,Flugzeug,das,Flugzeuge,noun,neutral,"transport,travel,A1",,,TRUE
ship,Schiff,das,Schiffe,noun,neutral,"transport,travel,A2",,,TRUE
ticket,Fahrkarte,die,Fahrkarten,noun,neutral,"transport,basics,A1",,,TRUE
timetable,Fahrplan,der,Fahrpläne,noun,neutral,"transport,A1",,,TRUE
delay,Verspätung,die,Verspätungen,noun,neutral,"transport,basics,A2",,,TRUE
connection,Anschluss,der,Anschlüsse,noun,neutral,"transport,B1",,,TRUE
departure,Abfahrt,die,Abfahrten,noun,neutral,"transport,A2",'Abflug' for flight departures.,,TRUE
arrival,Ankunft,die,Ankünfte,noun,neutral,"transport,A2",,,TRUE
journey / trip,Reise,die,Reisen,noun,neutral,"transport,travel,A1",,,TRUE
trip (short),Ausflug,der,Ausflüge,noun,neutral,"transport,travel,A2",,,TRUE
luggage,Gepäck,das,,noun,neutral,"transport,travel,A2",Usually uncountable.,,TRUE
suitcase,Koffer,der,Koffer,noun,neutral,"transport,travel,A2",Plural same as singular.,,TRUE
boarding pass,Bordkarte,die,Bordkarten,noun,neutral,"transport,travel,A2",,,TRUE
passport,Reisepass,der,Reisepässe,noun,neutral,"transport,travel,A2",,,TRUE
visa,Visum,das,Visa,noun,neutral,"transport,travel,B1",,,TRUE
flight,Flug,der,Flüge,noun,neutral,"transport,travel,A1",,,TRUE
gate,Gate,das,Gates,noun,neutral,"transport,travel,A2",,,TRUE
check-in,Check-in,der,,noun,neutral,"transport,travel,A2",,,TRUE
seat,Sitz,der,Sitze,noun,neutral,"transport,travel,A2",,,TRUE
window seat,Fensterplatz,der,Fensterplätze,noun,neutral,"transport,travel,B1",,,TRUE
day,Tag,der,Tage,noun,neutral,"time,basics,A1",,,TRUE
week,Woche,die,Wochen,noun,neutral,"time,basics,A1",,,TRUE
month,Monat,der,Monate,noun,neutral,"time,basics,A1",,,TRUE
year,Jahr,das,Jahre,noun,neutral,"time,basics,A1",,,TRUE
hour,Stunde,die,Stunden,noun,neutral,"time,basics,A1",,,TRUE
minute,Minute,die,Minuten,noun,neutral,"time,basics,A1",,,TRUE
second,Sekunde,die,Sekunden,noun,neutral,"time,basics,A2",,,TRUE
morning,Morgen,der,Morgen,noun,neutral,"time,basics,A1",Plural same as singular.,,TRUE
afternoon,Nachmittag,der,Nachmittage,noun,neutral,"time,basics,A1",,,TRUE
evening,Abend,der,Abende,noun,neutral,"time,basics,A1",,,TRUE
night,Nacht,die,Nächte,noun,neutral,"time,basics,A1",,,TRUE
midday,Mittag,der,Mittage,noun,neutral,"time,basics,A1",,,TRUE
midnight,Mitternacht,die,,noun,neutral,"time,basics,A2",Usually uncountable.,,TRUE
weekend,Wochenende,das,Wochenenden,noun,neutral,"time,basics,A1",,,TRUE
holiday,Urlaub,der,Urlaube,noun,neutral,"time,travel,A1",,,TRUE
public holiday,Feiertag,der,Feiertage,noun,neutral,"time,basics,A2",,,TRUE
appointment,Termin,der,Termine,noun,neutral,"time,work,A2",,,TRUE
schedule,Zeitplan,der,Zeitpläne,noun,neutral,"time,work,B1",,,TRUE
calendar,Kalender,der,Kalender,noun,neutral,"time,work,A2",Plural same as singular.,,TRUE
date,Datum,das,Daten,noun,neutral,"time,basics,A2",'Daten' also = data — context distinguishes them.,,TRUE
beginning,Anfang,der,Anfänge,noun,neutral,"time,basics,A2",,,TRUE
