"english","target","article","hint"
"no","nein","",""
"maybe","vielleicht","",""
"I do not understand.","Ich verstehe nicht.","",""
"Could you repeat that, please?","Könnten Sie das bitte wiederholen?","",""
"Do you speak English?","Sprechen Sie Englisch?","",""
"I speak a little German.","Ich spreche ein bisschen Deutsch.","",""
"I am learning German.","Ich lerne Deutsch.","",""
"I am from Hungary.","Ich komme aus Ungarn.","",""
"My name is Oliver.","Ich heiße Oliver.","",""
"Nice to meet you.","Freut mich.","",""
"How are you?","Wie geht es Ihnen?","",""
"I am fine, thanks.","Mir geht es gut, danke.","",""
"Where is the station?","Wo ist der Bahnhof?","",""
"Where is the toilet?","Wo ist die Toilette?","",""
"Where is the exit?","Wo ist der Ausgang?","",""
"Where is the entrance?","Wo ist der Eingang?","",""
"I am looking for this address.","Ich suche diese Adresse.","",""
"Can you help me?","Können Sie mir helfen?","",""
"How much does it cost?","Wie viel kostet das?","",""
"Can I pay by card?","Kann ich mit Karte zahlen?","",""
"Can I pay in cash?","Kann ich bar zahlen?","",""
"I would like a coffee.","Ich hätte gern einen Kaffee.","",""
"I would like a beer.","Ich hätte gern ein Bier.","",""
"A table for two, please.","Einen Tisch für zwei, bitte.","",""
"The bill, please.","Die Rechnung, bitte.","",""
"Is this free?","Ist das frei?","",""
"I have a reservation.","Ich habe eine Reservierung.","",""
"I need a ticket.","Ich brauche eine Fahrkarte.","",""
"One ticket to Berlin, please.","Eine Fahrkarte nach Berlin, bitte.","",""
"When does the train leave?","Wann fährt der Zug ab?","",""
"When does it arrive?","Wann kommt er an?","",""
"I am lost.","Ich habe mich verlaufen.","",""
"I need a doctor.","Ich brauche einen Arzt.","",""
"I do not feel well.","Mir geht es nicht gut.","",""
"It hurts here.","Es tut hier weh.","",""
"I am allergic to this.","Ich bin dagegen allergisch.","",""
"I need water.","Ich brauche Wasser.","",""
"left","links","",""
"right","rechts","",""
"straight ahead","geradeaus","",""
"nearby","in der Nähe","",""
"today","heute","",""
"tomorrow","morgen","",""
"yesterday","gestern","",""
"now","jetzt","",""
"later","später","",""
"I am in a hurry.","Ich habe es eilig.","",""
"I have time.","Ich habe Zeit.","",""
"No problem.","Kein Problem.","",""
"That is okay.","Das ist in Ordnung.","",""
"I am sorry.","Es tut mir leid.","",""
"to be","sein","","e.g. I am tired. → Ich bin müde."
"to have","haben","","e.g. I have time. → Ich habe Zeit."
"to become / to get","werden","","e.g. It is getting better. → Es wird besser."
"to go","gehen","","e.g. I am going home. → Ich gehe nach Hause."
"to come","kommen","","e.g. Are you coming with me? → Kommst du mit?"
"to do / to make","machen","","e.g. What are you doing? → Was machst du?"
"to say","sagen","","e.g. What did you say? → Was hast du gesagt?"
"to speak","sprechen","","e.g. We need to talk. → Wir müssen [German]."
"to ask","fragen","","e.g. Can I ask you something? → Kann ich dich etwas [German]?"
"to answer","antworten","","e.g. I will answer later. → Ich antworte später."
"to think","denken","","e.g. I think about it. → Ich denke darüber nach."
"to know","wissen","","e.g. I do not know. → Ich weiß es nicht."
"to know a person / place","kennen","","e.g. I know him. → Ich kenne ihn."
"to understand","verstehen","","e.g. I understand you. → Ich verstehe dich."
"to mean","meinen","","e.g. What do you mean? → Was meinst du?"
"to want","wollen","","e.g. I do not want to force anything. → Ich will nichts erzwingen."
"would like","möchten","","e.g. I would like to understand it. → Ich möchte es verstehen."
"can / to be able to","können","","e.g. I can do it. → Ich kann das machen."
"must / have to","müssen","","e.g. We have to clarify this. → Wir [German] das klären."
"should / supposed to","sollen","","e.g. What should I do? → Was soll ich tun?"
"may / to be allowed to","dürfen","","e.g. May I ask? → Darf ich fragen?"
"to need","brauchen","","e.g. I need clarity. → Ich brauche Klarheit."
"to stay / remain","bleiben","","e.g. Stay here. → Bleib hier."
"to let / leave","lassen","","e.g. Let it be for now. → Lass es erst mal."
"to give","geben","","e.g. Give me a moment. → Gib mir einen Moment."
"to take","nehmen","","e.g. I will take this one. → Ich nehme das."
"to find","finden","","e.g. I find it difficult. → Ich finde es schwierig."
"to feel","fühlen","","e.g. I feel safe. → Ich fühle mich sicher."
"to notice","merken","","e.g. I notice that something is wrong. → Ich merke, dass etwas nicht stimmt."
"to see","sehen","","e.g. I see what you mean. → Ich sehe, was du meinst."
"to hear","hören","","e.g. I heard that differently. → Ich habe das anders gehört."
"to believe / think","glauben","","e.g. I believe you. → Ich glaube dir."
"to hope","hoffen","","e.g. I hope so. → Ich hoffe es."
"to fear / be afraid","sich fürchten","","e.g. I am not afraid of you. → Ich fürchte mich nicht vor dir."
"to be afraid","Angst haben vor","","vor + dative e.g. I am afraid of losing this. → Ich habe Angst davor, das zu verlieren."
"to wait for","warten auf","","auf + accusative e.g. I am waiting for you. → Ich warte auf dich."
"to think about","nachdenken über","","über + accusative e.g. I am thinking about it. → Ich denke darüber nach."
"to talk about","sprechen über","","über + accusative e.g. We should talk about it. → Wir sollten darüber sprechen."
"to decide","entscheiden","","e.g. I do not want to decide now. → Ich möchte jetzt nicht [German]."
"to clarify","klären","","e.g. Let us clarify this calmly. → Lass uns das in Ruhe [German]."
"to explain","erklären","","e.g. Can you explain it to me? → Kannst du mir das [German]?"
"to try","versuchen","","e.g. I am trying to understand it. → Ich versuche, es zu verstehen."
"to change","ändern","","e.g. That changes the situation. → Das ändert die Situation."
"to happen","passieren","","e.g. What happened? → Was ist passiert?"
"to work / function","funktionieren","","e.g. This does not work like this. → Das funktioniert so nicht."
"to need to be","müssen sein","","e.g. It has to be clear. → Es muss klar sein."
"to make sense","Sinn ergeben","","e.g. That makes sense. → Das ergibt Sinn."
"to fall back into","zurückfallen in","","in + accusative e.g. I do not want to fall back into the same dynamic. → Ich möchte nicht i…"
"That depends. (phrase)","Das kommt darauf an.","",""
"Let’s see.","Mal sehen.","",""
"No idea.","Keine Ahnung.","",""
"That makes sense.","Das ergibt Sinn.","",""
"That does not make sense.","Das ergibt keinen Sinn.","",""
"I see what you mean.","Ich verstehe, was du meinst.","",""
"I see it differently.","Ich sehe das anders.","",""
"That sounds good.","Das klingt gut.","",""
"That sounds difficult.","Das klingt schwierig.","",""
"Exactly.","Genau.","",""
"Not exactly.","Nicht ganz.","",""
"More or less.","Mehr oder weniger.","",""
"In any case.","Auf jeden Fall.","",""
"Anyway.","Jedenfalls.","",""
"By the way.","Übrigens.","",""
"Actually...","Eigentlich ...","",""
"To be honest...","Ehrlich gesagt ...","",""
"Honestly?","Ganz ehrlich?","",""
"I mean...","Ich meine ...","",""
"How should I put it?","Wie soll ich sagen?","",""
"It is hard to say.","Das ist schwer zu sagen.","",""
"It is not that simple.","So einfach ist das nicht.","",""
"That is the point.","Darum geht es.","",""
"That is not the point.","Darum geht es nicht.","",""
"That is the problem.","Das ist das Problem.","",""
"Not necessarily.","Nicht unbedingt.","",""
"Probably.","Wahrscheinlich.","",""
"Apparently.","Anscheinend.","",""
"Of course.","Natürlich.","",""
"Unfortunately.","Leider.","",""
"Luckily.","Zum Glück.","",""
"No worries.","Mach dir keine Sorgen.","",""
"Take your time.","Lass dir Zeit.","",""
"One moment.","Einen Moment.","",""
"Wait a second.","Warte kurz.","",""
"I will be right back.","Ich bin gleich zurück.","",""
"I do not want to overthink it.","Ich will mir da nicht zu viele Gedanken machen.","",""
"Do not get me wrong.","Versteh mich nicht falsch.","",""
"That came across wrong.","Das kam falsch rüber.","",""
"I did not mean it like that.","So habe ich das nicht gemeint.","",""
"I need to think about it.","Ich muss darüber nachdenken.","",""
"Let us not make it too complicated.","Lass es uns nicht zu kompliziert machen.","",""
"It is fine for now.","Für den Moment ist es okay.","",""
"We will manage somehow.","Wir kriegen das schon hin.","",""
"It will be alright.","Das wird schon.","",""
"I am not in the mood.","Ich habe gerade keine Lust.","",""
"I am tired.","Ich bin müde.","",""
"I am exhausted.","Ich bin erschöpft.","",""
"I need some air.","Ich brauche kurz frische Luft.","",""
"Let’s take a break.","Lass uns eine Pause machen.","",""
"because I do not know","weil ich es nicht weiß","","Verb goes to end after weil."
"because it is important","weil es wichtig ist","",""
"because I need clarity","weil ich Klarheit brauche","","Related noun article: die."
"that I do not understand it","dass ich es nicht verstehe","","Verb goes to end after dass."
"that we should talk","dass wir sprechen sollten","",""
"if you have time","wenn du Zeit hast","","Related noun article: die."
"if something is wrong","wenn etwas nicht stimmt","",""
"although I understand it","obwohl ich es verstehe","",""
"although it hurts","obwohl es weh tut","",""
"before I answer","bevor ich antworte","",""
"after we talk","nachdem wir sprechen","",""
"so that it is clear","damit es klar ist","",""
"whether it works","ob es funktioniert","",""
"what happened","was passiert ist","",""
"why it hurts","warum es weh tut","",""
"how I should say it","wie ich es sagen soll","",""
"I have to go.","Ich muss gehen.","",""
"I can stay.","Ich kann bleiben.","",""
"I want to understand it.","Ich will es verstehen.","",""
"I would like to ask something.","Ich möchte etwas fragen.","",""
"I should not react now.","Ich sollte jetzt nicht reagieren.","",""
"May I ask you something?","Darf ich dich etwas fragen?","",""
"I am thinking about it.","Ich denke darüber nach.","","über + accusative; da-compound darüber"
"I am waiting for you.","Ich warte auf dich.","","auf + accusative"
"I am talking about it.","Ich spreche darüber.","","über + accusative; darüber"
"I am afraid of it.","Ich habe Angst davor.","","vor + dative; davor Related noun article: die."
"I am looking forward to it.","Ich freue mich darauf.","","auf + accusative; darauf"
"It depends on it.","Es hängt davon ab.","","von + dative; davon"
"I agree with you.","Ich stimme dir zu.","","dative object"
"I believe you.","Ich glaube dir.","","dative object"
"I understand you.","Ich verstehe dich.","","accusative object"
"I miss you.","Du fehlst mir.","","Literally: you are missing to me."
"I like that.","Das gefällt mir.","",""
"I feel good.","Mir geht es gut.","",""
"I am calling you.","Ich rufe dich an.","","anrufen is separable"
"I will come along.","Ich komme mit.","","mitkommen is separable"
"I will come back.","Ich komme zurück.","","zurückkommen is separable"
"I am starting now.","Ich fange jetzt an.","","anfangen is separable"
"I am stopping now.","Ich höre jetzt auf.","","aufhören is separable"
"I have misunderstood that.","Ich habe das missverstanden.","","Perfect tense with haben"
"I came back late.","Ich bin spät zurückgekommen.","","Movement/change of location often uses sein."
"I would say that ...","Ich würde sagen, dass ...","","Konjunktiv II polite/softening."
"I would rather not do that.","Das würde ich lieber nicht machen.","",""
