english,target,article,plural,type,level,tags,hint,alternatives,article_prompt,source_id,source
I should,ich sollte,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
I might be allowed to,ich dürfte,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
could you,könntest du,,,grammar_form,B1,grammar;konjunktiv2;polite,Polite request form.,,,,
would have said,hätte gesagt,,,grammar_form,B1,grammar;konjunktiv2;past,Past hypothetical: hätte plus participle.,,,,
would have gone,wäre gegangen,,,grammar_form,B1,grammar;konjunktiv2;past,Movement verb: wäre plus participle.,,,,
should have called,hätte rufen müssen,,,grammar_form,B2,grammar;konjunktiv2;past;modal,Unfulfilled duty in the past.,,,,
should not have relied on,hätte sich nicht verlassen dürfen,,,grammar_form,B2,grammar;konjunktiv2;past;modal,Past prohibition with double infinitive.,,,,
I would prefer to stay,ich würde lieber bleiben,,,grammar_form,B1,grammar;konjunktiv2,würde plus infinitive.,,,,
I would feel sick,mir würde übel,,,grammar_form,B1,grammar;konjunktiv2;impersonal,Dative feeling phrase in Konjunktiv II.,,,,
seen,gesehen,,,grammar_form,A1,grammar;perfekt;haben,Irregular Partizip II with haben.,,,,
said,gesagt,,,grammar_form,A1,grammar;perfekt;haben,Regular Partizip II with haben.,,,,
thought,gedacht,,,grammar_form,A2,grammar;perfekt;haben,Irregular Partizip II with haben.,,,,
hung / sat hanging,gehangen,,,grammar_form,B1,grammar;perfekt;haben,Intransitive hängen uses gehangen.,,,,
known,gewusst,,,grammar_form,A2,grammar;perfekt;haben,Irregular Partizip II with haben.,,,,
found,gefunden,,,grammar_form,A2,grammar;perfekt;haben,Irregular Partizip II with haben.,,,,
hopped,gehüpft,,,grammar_form,A2,grammar;perfekt;sein,Movement verb: Perfekt uses sein.,,,,
fallen,gefallen,,,grammar_form,A2,grammar;perfekt;sein,Movement verb: Perfekt uses sein.,,,,
come,gekommen,,,grammar_form,A1,grammar;perfekt;sein,Movement verb: Perfekt uses sein.,,,,
gone,gegangen,,,grammar_form,A1,grammar;perfekt;sein,Movement verb: Perfekt uses sein.,,,,
imagined / introduced,vorgestellt,,,grammar_form,A2,grammar;perfekt;haben,Separable participle: prefix plus ge.,,,,
woken up,aufgewacht,,,grammar_form,A2,grammar;perfekt;sein,Change of state: Perfekt uses sein.,,,,
got up,aufgestanden,,,grammar_form,A2,grammar;perfekt;sein,Movement verb: Perfekt uses sein.,,,,
fallen asleep,eingeschlafen,,,grammar_form,A2,grammar;perfekt;sein,Change of state: Perfekt uses sein.,,,,
stayed,geblieben,,,grammar_form,A2,grammar;perfekt;sein,Exception: bleiben uses sein.,,,,
happened,passiert,,,grammar_form,A2,grammar;perfekt;sein,Exception: passieren uses sein.,,,,
opened,aufgemacht,,,grammar_form,A2,grammar;perfekt;haben,Separable participle: prefix plus ge.,,,,
folded open,aufgeklappt,,,grammar_form,B1,grammar;perfekt;haben,Separable participle: prefix plus ge.,,,,
helped,geholfen,,,grammar_form,A2,grammar;perfekt;haben,Irregular Partizip II with haben.,,,,
understood,verstanden,,,grammar_form,A2,grammar;perfekt;haben,No ge- with inseparable ver-.,,,,
tried,versucht,,,grammar_form,A2,grammar;perfekt;haben,No ge- with inseparable ver-.,,,,
become,geworden,,,grammar_form,A2,grammar;perfekt;sein,Change of state: Perfekt uses sein.,,,,
has seen,hat gesehen,,,grammar_form,A1,grammar;perfekt;auxiliary,Perfekt with haben.,,,,
has gone,ist gegangen,,,grammar_form,A1,grammar;perfekt;auxiliary,Perfekt with sein for movement.,,,,
has woken up,ist aufgewacht,,,grammar_form,A2,grammar;perfekt;auxiliary,Perfekt with sein for change.,,,,
has stayed,ist geblieben,,,grammar_form,A2,grammar;perfekt;auxiliary,bleiben takes sein in Perfekt.,,,,
has imagined,hat sich vorgestellt,,,grammar_form,A2,grammar;perfekt;auxiliary,Reflexive verb: Perfekt uses haben.,,,,
has helped,hat geholfen,,,grammar_form,A2,grammar;perfekt;auxiliary,Perfekt with haben.,,,,
to wake up,aufwachen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to get up,aufstehen,,,verb,A1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to imagine,sich vorstellen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to turn out,sich herausstellen,,,verb,B1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to find out,herausfinden,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to interfere / step in,sich einmischen,,,verb,B1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to reprimand,zurechtweisen,,,verb,B2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to come out,rauskommen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to laugh oneself to death,sich totlachen,,,verb,B1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to switch off / arrange,ausmachen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to begin,anfangen,,,verb,A1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to arrive,ankommen,,,verb,A1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to look at,ansehen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to write down,aufschreiben,,,verb,A1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to go out,ausgehen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to fall asleep,einschlafen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to come along,mitkommen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to bring along,mitbringen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to check / look up,nachschauen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to prepare,vorbereiten,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to go away,weggehen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to come back,zurückkommen,,,verb,A1,grammar;separable,Separable verb: prefix moves to the end.,,,,
to call back,zurückrufen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to go outside,rausgehen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
to come in,reinkommen,,,verb,A2,grammar;separable,Separable verb: prefix moves to the end.,,,,
opens up,macht ... auf,,,grammar_form,A2,grammar;separable;pattern,Main clause: prefix moves to the end.,aufmachen,,,
interferes / steps in,mischt sich ... ein,,,grammar_form,B1,grammar;separable;pattern,Main clause: prefix moves to the end.,sich einmischen,,,
invents,denkt sich ... aus,,,grammar_form,B1,grammar;separable;pattern,Main clause: prefix moves to the end.,sich ausdenken,,,
to look like,auszusehen,,,grammar_form,B1,grammar;separable;pattern,zu sits between prefix and stem.,aussehen,,,
to begin,anzufangen,,,grammar_form,B1,grammar;separable;pattern,zu sits between prefix and stem.,anfangen,,,
because,weil,,,conjunction,A2,grammar;conjunction;word_order,Standard clause sends the verb to the end.,,,,
because,denn,,,conjunction,A2,grammar;conjunction;word_order,Always keeps verb-second word order.,,,,
when: one past event,als,,,conjunction,A2,grammar;conjunction;time,Use for one completed past event.,,,,
when / if,wenn,,,conjunction,A2,grammar;conjunction;time,Use for repeated present or future events.,,,,
although,obwohl,,,conjunction,B1,grammar;conjunction;word_order,Subordinate clause sends the verb to the end.,,,,
because he is tired: spoken,"weil, er ist müde",,,grammar_form,B1,grammar;conjunction;colloquial,Common in speech but avoid in formal writing.,weil er ist müde,,,
because he is tired: standard,weil er müde ist,,,grammar_form,A2,grammar;conjunction;word_order,Standard subordinate word order.,,,,
I am dizzy,mir ist schwindlig,,,expression,B1,grammar;impersonal,Dative feeling phrase: mir ist.,,,,
I was dizzy,mir war schwindlig,,,expression,B1,grammar;impersonal,Past dative feeling phrase.,,,,
I feel sick,mir wird übel,,,expression,B1,grammar;impersonal,Dative change phrase: mir wird.,,,,
I am hot,mir ist heiß,,,expression,A2,grammar;impersonal,Dative feeling phrase: mir ist.,,,,
that hurts me,das tut mir weh,,,expression,A2,grammar;impersonal,Fixed phrase with dative mir.,,,,
it hurts,es tut weh,,,expression,A2,grammar;impersonal,Impersonal es phrase.,,,,
it takes,es dauert,,,grammar_form,A2,grammar;impersonal,Dummy subject es.,,,,
there is a bang,es knallt,,,grammar_form,B1,grammar;impersonal,Dummy subject for an event.,,,,
it smells,es riecht,,,grammar_form,A2,grammar;impersonal,Dummy subject es.,,,,
how do you say that,wie sagt man das,,,expression,A2,grammar;impersonal,man means people in general.,,,,
to me,mir,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to you,dir,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to him,ihm,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to her,ihr,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to us,uns,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to you all,euch,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to them,ihnen,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
to you formally,Ihnen,,,pronoun,A2,grammar;dative;pronoun,Dative pronoun form.,,,,
one / people in general,man,,,pronoun,A2,grammar;impersonal;pronoun,Takes third-person singular verbs.,,,,
I have,ich hab,,,grammar_form,A2,tschick;colloquial;spoken,Spoken form without final -e.,ich habe,,,
I say,ich sag,,,grammar_form,A2,tschick;colloquial;spoken,Spoken form without final -e.,ich sage,,,
I look for,ich such,,,grammar_form,A2,tschick;colloquial;spoken,Spoken form without final -e.,ich suche,,,
I think,ich denk,,,grammar_form,A2,tschick;colloquial;spoken,Spoken form without final -e.,ich denke,,,
I look,ich guck,,,grammar_form,A2,tschick;colloquial;spoken,Spoken form without final -e.,ich gucke,,,
try it,versuch's,,,expression,A2,tschick;colloquial;contraction,Informal contraction with es.,versuche es,,,
do it,mach's,,,expression,A2,tschick;colloquial;contraction,Informal contraction with es.,mache es,,,
I understood it,ich hab's begriffen,,,expression,B1,tschick;colloquial;contraction,Informal contraction with es.,ich habe es begriffen,,,
I do not understand it,ich versteh's nicht,,,expression,B1,tschick;colloquial;contraction,Informal contraction with es.,ich verstehe es nicht,,,
they do not find out,sie erfahren's nicht,,,expression,B1,tschick;colloquial;contraction,Informal contraction with es.,sie erfahren es nicht,,,
keep your mouth shut,Klappe halten,,,expression,B1,tschick;colloquial;expression,Strong informal expression.,,,,
I do not care,mir ist alles egal,,,expression,A2,tschick;colloquial;expression,Dative feeling phrase with egal.,,,,
not exactly great,nicht gerade der große Bringer,,,expression,B2,tschick;colloquial;expression,Colloquial negative evaluation.,,,,
make a fool of oneself,sich zum Obst machen,,,expression,B2,tschick;colloquial;expression,Fixed colloquial expression.,,,,
what is done is done,"was passiert ist, ist passiert",,,expression,B1,tschick;colloquial;expression,Fixed formula about the past.,,,,
be slow on the uptake,auf der Leitung stehen,,,expression,B2,tschick;colloquial;expression,Idiomatic expression.,,,,
speak plainly,Klartext reden,,,expression,B1,tschick;colloquial;expression,Fixed expression for direct speech.,,,,
crack up laughing,sich kaputtlachen,,,expression,B1,tschick;colloquial;expression,Colloquial reflexive verb.,,,,
you see / the thing is,nämlich,,,adverb,B1,tschick;colloquial;discourse,Usually explains what was just said.,,,,
by the way,übrigens,,,adverb,A2,tschick;colloquial;discourse,Introduces extra information.,,,,
for sure,mit Sicherheit,,,phrase,B1,tschick;colloquial;certainty,Fixed phrase meaning definitely.,,,,
anyway / after all,eh,,,adverb,B1,tschick;colloquial;spoken,Common spoken particle.,,,,
