"english","target"
"He touches his nose with two fingers and looks at me.","Er fasst mit zwei Fingern an seine Nase und sieht mich an."
"I blow my nose, he smiles pleasantly.","Ich schnäuze mir die Nase, er lächelt freundlich."
"Looks like I can forget about the torture.","Das mit der Folter kann ich mir wohl abschminken."
"But where do I put the tissue now?","Aber wohin jetzt mit dem Taschentuch?"
"I look around on the floor for somewhere to put it.","Ich schaue suchend auf dem Boden herum."
"The whole station is covered in grey linoleum, exactly the same as in the corridors leading to our gym.","Die ganze Station ist mit grauem Linoleum ausgelegt, genau das gleiche wie in den Gängen zu unserer Turnhalle."
"It smells a bit like it too.","Es riecht auch ein bisschen so."
"Piss, sweat and linoleum.","Pisse, Schweiß und Linoleum."
"I see Wolkow, our PE teacher, bouncing through the corridors in his tracksuit, seventy years old, built like a tank: Come on, lads! Let's go, let's go!","Ich sehe Wolkow, unseren Sportlehrer, im Trainingsanzug durch die Gänge federn, siebzig Jahre, durchtrainiert: Auf geht's, Jungs! Hopp, hopp!"
"The sound of his squelching footsteps on the floor, distant giggling from the girls' changing room and Wolkow's glance in that direction.","Das Geräusch seiner schmatzenden Schritte auf dem Boden, fernes Gekicher aus der Mädchenumkleide und Wolkows Blick dorthin."
"I see the high windows, the benches, the rings hanging from the ceiling that nobody ever used.","Ich sehe die hohen Fenster, die Bänke, die Ringe an der Decke, an denen nie geturnt wurde."
"I see Natalie and Lena and Kimberley coming in through the side entrance of the hall.","Ich sehe Natalie und Lena und Kimberley durch den Seiteneingang der Halle kommen."
"And Tatjana in her green tracksuit.","Und Tatjana in ihrem grünen Trainingsanzug."
"I see her blurry reflection on the gym floor, the sparkly trousers the girls all wear now, the tops.","Ich sehe ihr verschwommenes Spiegelbild auf dem Hallenboden, die Glitzerhosen, die die Mädchen jetzt immer tragen, die Oberteile."
"And lately half of them do PE in thick woolly jumpers, and at least three always have a doctor's note.","Und dass neuerdings die Hälfte von ihnen in dicken Wollpullovern turnt, und mindestens drei haben immer ein Attest vom Arzt."
"Hagecius Grammar School, Berlin, eighth grade.","Hagecius-Gymnasium Berlin, achte Klasse."
"«I thought fifteen?» I say, and the police officer shakes his head.","«Ich dachte, fünfzehn?», sage ich, und der Polizist schüttelt den Kopf."
"«No, fourteen. Fourteen. What's with the coffee, Horst?»","«Nee, vierzehn. Vierzehn. Was ist mit dem Kaffee, Horst?»"
"«Coffee's broken», says Horst.","«Kaffee ist kaputt», sagt Horst."
"I would like to speak to my lawyer.","Ich möchte meinen Anwalt sprechen."
"That's probably the sentence I should be saying right now.","Das wäre der Satz, den ich jetzt wahrscheinlich sagen müsste."
"It's the right sentence for the right situation, as everyone knows from TV.","Das ist der richtige Satz in der richtigen Situation, wie jeder aus dem Fernsehen weiß."
"But it's easy enough to say: I would like to speak to my lawyer.","Aber das sagt sich so leicht: Ich möchte meinen Anwalt sprechen."
"They'd probably laugh themselves to death.","Würden die sich wahrscheinlich totlachen."
"The problem is: I have no idea what that sentence actually means.","Das Problem ist: Ich habe keine Ahnung, was dieser Satz bedeutet."
"If I say I'd like to speak to my lawyer, and they ask «Who do you want to speak to? Your lawyer?» – what am I supposed to say?","Wenn ich sage, ich möchte meinen Anwalt sprechen, und sie fragen: «Wen möchtest du sprechen? Deinen Anwalt?» – was soll ich dann antworten?"
"I've never seen a lawyer in my life, and I don't know what I'd need one for.","Ich hab in meinem Leben noch keinen Anwalt gesehen, und ich weiß auch nicht, wozu ich einen brauche."
"I don't even know if a solicitor is the same as a lawyer.","Ich weiß nicht mal, ob Rechtsanwalt dasselbe ist wie Anwalt."
"Something like a judge, I suppose, except he's on my side and knows more about laws than I do.","So was Ähnliches wie ein Richter, nehme ich an, nur dass er auf meiner Seite steht und mehr Ahnung von Gesetzen hat als ich."
"But practically everyone in this room knows more about laws than I do.","Aber mehr Ahnung von Gesetzen als ich hat hier praktisch jeder, der im Raum ist."
"And I could obviously ask them.","Und die könnte ich natürlich fragen."
"But I bet if I ask the younger one whether I might need some kind of lawyer right now, he'll turn to his colleague and shout: «Hey, Horst! Horschi! Come over here! Our hero here wants to know if he needs a lawyer! Get a load of this. Bleeding all over the floor, pissing himself like a world champion and – wants to speak to his lawyer!»","Aber ich wette, wenn ich den Jüngeren frage, ob ich jetzt so eine Art Anwalt brauchen könnte, dann dreht der sich zu seinem Kollegen um und ruft: «Hey, Horst! Horschti! Komm mal her! Unser Held hier will wissen, ob er einen Anwalt braucht! Guck dir das an. Blutet den ganzen Boden voll, pisst sich in die Hosen wie ein Weltmeister und – will seinen Anwalt sprechen!»"
"They'd obviously crack up laughing.","Da lachen die sich natürlich kaputt."
"And I think I'm having a bad enough time already without making a complete idiot of myself.","Und ich finde, es geht mir schlecht genug, ich muss mich nicht auch noch zum Obst machen."
"What happened has happened.","Was passiert ist, ist passiert."
"Nothing more is coming.","Mehr kommt jetzt nicht."
"Even a lawyer can't change anything now.","Da kann auch der Anwalt nichts mehr ändern."
"Because only a madman would try to deny that we screwed up.","Weil, dass wir Mist gebaut haben, könnte nur ein Geisteskranker abzustreiten versuchen."
"What am I supposed to say?","Was soll ich sagen?"
"That I spent the whole week lying by the pool at home, ask the cleaner?","Dass ich die ganze Woche zu Hause am Pool gelegen hab, fragen Sie die Putzfrau?"
"That the pig carcasses fell from the sky like rain?","Dass die Schweinehälften wie Regen vom Himmel gefallen sind?"
"There's really not much more I can do now.","Viel kann ich jetzt wirklich nicht mehr tun."
"I could pray towards Mecca and crap myself, otherwise there aren't many options left.","Ich könnte noch gen Mekka beten und mir in die Hosen kacken, sonst sind nicht mehr viele Optionen offen."
"The younger one, who actually looks quite nice, shakes his head and repeats: «Fifteen is nonsense. Fourteen. At fourteen you're criminally responsible.»","Der Jüngere, der eigentlich ganz nett aussieht, schüttelt den Kopf und wiederholt: «Fünfzehn ist Quatsch. Vierzehn. Mit vierzehn bist du strafmündig.»"
"I'm probably supposed to feel guilty now, and remorseful and everything, but honestly I don't feel anything at all.","Wahrscheinlich sollte ich jetzt Schuldgefühle haben und Reue und alles, aber, ehrlich gesagt, ich fühle überhaupt nichts."
"I'm just incredibly dizzy.","Mir ist einfach nur wahnsinnig schwindlig."
"I scratch the bottom of my calf.","Ich kratze mich unten an meiner Wade."
"Except where my calf used to be, there's nothing there now.","Nur da, wo früher meine Wade war, ist jetzt nichts mehr."
"A purple streak of slime sticks to my hand.","Ein violetter Streifen Schleim bleibt an meiner Hand kleben."
"That's not my blood, I said earlier when they asked me.","Das ist nicht mein Blut, hatte ich vorhin gesagt, als sie mich gefragt hatten."
"There was plenty of other slime on the road to worry about, and I really thought it wasn't my blood.","Lag ja genug anderer Schleim auf der Straße, um den man sich kümmern konnte, und ich dachte wirklich, dass das nicht mein Blut ist."
"But if that's not my blood, then where is my calf now, I wonder?","Aber wenn das nicht mein Blut ist, wo ist denn jetzt meine Wade, frage ich mich?"
"I pull up my trouser leg and look underneath.","Ich ziehe das Hosenbein hoch und gucke drunter."
"Then I have exactly one second to be surprised.","Dann habe ich noch genau eine Sekunde, um mich zu wundern."
"If I had to see this in a film, I'd definitely feel sick, I think, and in fact I do feel sick now, here at the motorway police station, which is somehow reassuring.","Wenn ich das im Film sehen müsste, würde mir mit Sicherheit übel, denke ich, und tatsächlich wird mir jetzt übel, auf dieser Station der Autobahnpolizei, was ja auch irgendwie beruhigend ist."
"For a brief moment I still see my reflection on the linoleum coming towards me, and then there's a bang, and I'm gone.","Für einen kurzen Moment sehe ich noch mein Spiegelbild auf dem Linoleum auf mich zukommen, und dann knallt es, und ich bin weg."
"The doctor opens and closes his mouth like a carp.","Der Arzt macht den Mund auf und zu wie ein Karpfen."
"It takes a few seconds before any words come out.","Es dauert ein paar Sekunden, bis Worte rauskommen."
"The doctor is shouting.","Der Arzt schreit."
"Why is the doctor shouting now?","Warum schreit denn jetzt der Arzt?"
"He's shouting at the small woman.","Er schreit die kleine Frau an."
"Then the uniformed man steps in, a blue uniform.","Dann mischt sich der Uniformierte ein, eine blaue Uniform."
"A police officer I don't know yet.","Ein Polizist, den ich noch nicht kenne."
"He reprimands the doctor.","Er weist den Arzt zurecht."
"How do I even know that's a doctor?","Woher weiß ich überhaupt, dass das ein Arzt ist?"
"He's wearing a white coat.","Er trägt einen weißen Kittel."
"So he could also be a baker.","Könnte also auch ein Bäcker sein."
"But in his coat pocket he has a metal torch and one of those listening things.","Aber in der Kitteltasche hat er eine Metalltaschenlampe und so ein Horchding."
"What would a baker want with the listening thing, listening to rolls?","Was soll ein Bäcker mit dem Horchding, Brötchen abhorchen?"
"Must be a doctor.","Wird schon ein Arzt sein."
"And this doctor is now pointing at my head and yelling.","Und dieser Arzt zeigt jetzt auf meinen Kopf und brüllt."
"I feel around under the duvet to find my legs.","Ich taste unter der Bettdecke herum, wo meine Beine sind."
"They're bare.","Sie sind nackt."
"They don't feel pissy or bloody anymore either.","Fühlen sich auch nicht mehr bepisst an oder blutig."
"Where on earth am I?","Wo bin ich denn hier?"
"I'm lying on my back.","Ich liege auf dem Rücken."
"Everything above is yellow.","Oben ist alles gelb."
"Looking sideways: large, dark windows.","Blick zur Seite: große, dunkle Fenster."
"Other side: white plastic curtain.","Andere Seite: weißer Plastikvorhang."
"Hospital, I'd say.","Krankenhaus, würde ich sagen."
"That fits with the doctor.","Das passt ja auch zum Arzt."
"And obviously the small woman is wearing a coat too, and carrying a notepad.","Und klar, die kleine Frau trägt auch einen Kittel und einen Schreibblock."
"And which hospital, maybe the Charité?","Und welches Krankenhaus, vielleicht die Charité?"
"Nah, no idea.","Nee, keine Ahnung."
"I'm not even in Berlin.","Ich bin ja nicht in Berlin."
"I'll ask, I think, but nobody's paying any attention to me.","Mal fragen, denke ich, aber niemand beachtet mich."
"Because the police officer doesn't like being shouted at by the doctor, and he shouts back, but then the doctor shouts even louder – and that's where you can see, interestingly enough, who's actually in charge here.","Weil, dem Polizisten gefällt das nämlich nicht, wie er da von dem Arzt angeschrien wird, und er schreit zurück, aber da schreit dann der Arzt noch lauter – und da merkt man interessanterweise, wer hier das Sagen hat."
"It's clearly the doctor who's in charge and not the police officer, and I'm so exhausted and somehow also happy and tired, padded inside with happiness, and I fall asleep again without saying a word.","Das Sagen hat nämlich eindeutig der Arzt und nicht der Polizist, und ich bin so erschöpft und auch irgendwie glücklich und müde, ich bin von innen wie mit Glück ausgepolstert und schlafe wieder ein, ohne ein Wort zu sagen."
"The happiness, it turns out later, is called Valium.","Das Glück, stellt sich später raus, heißt Valium."
"It comes in large syringes.","Es wird mit großen Spritzen verteilt."
"When I wake up the next time, everything is bright.","Als ich das nächste Mal aufwache, ist alles hell."
"The sun sits in the large windows.","In den großen Fenstern steht die Sonne."
"Someone is scratching around on the soles of my feet.","An meinen Fußsohlen wird herumgekratzt."
"Aha, another doctor, a different one this time, and he's got a nurse with him again too.","Aha, schon wieder ein Arzt, ein anderer diesmal, und eine Krankenschwester hat er auch wieder dabei."
"It's just that the way the doctor scratches at my feet is not pleasant.","Nur dass der Arzt so an meinen Füßen kratzt, ist nicht angenehm."
"Why is he scratching like that?","Warum kratzt der denn so?"
"«He's woken up», the nurse remarks.","«Er ist aufgewacht», bemerkt die Krankenschwester."
"Not very insightful.","Nicht sehr geistreich."
"«Ah, right.» The doctor looks at me. «How are you feeling?»","«Ah, aha.» Der Arzt schaut mich an. «Wie geht es dir?»"
"I want to say something, but all that comes out is: «Pfff.»","Ich will etwas sagen, aber aus meinem Mund kommt nur: «Pfff.»"
"«How are you feeling? Do you know your name?»","«Wie geht es dir? Weißt du, wie du heißt?»"
"What kind of question is that?","Was ist das denn für eine Frage?"
"Do they think I'm nuts?","Halten die mich für meschugge?"
"I look at the doctor, and he looks at me, and then he leans over me and shines a torch in my eyes.","Ich schaue den Arzt an, und er schaut mich an, und dann beugt er sich über mich und leuchtet mir mit einer Taschenlampe in die Augen."
"Is this an interrogation?","Ist das ein Verhör?"
"Am I supposed to confess my name or what?","Soll ich meinen Namen gestehen oder was?"
"Is this the torture hospital?","Ist das hier das Folterkrankenhaus?"
"But I don't answer at all.","Allerdings antworte ich gar nicht."
"Because while I'm still wondering whether to say Maik Klingenberg or just Maik or Klinge or Attila King of the Huns – that's what my dad always says when he's stressed, when he's had nothing but bad news all day, he drinks two Jägermeisters and answers the phone with Attila King of the Huns –, I mean, while I'm still working out whether I should say anything at all or whether you can't actually save yourself the bother in this situation, the doctor is already saying something about «four of these» and «three of those», and I fall asleep again.","Weil, während ich noch überlege, ob ich Maik Klingenberg sagen soll oder einfach nur Maik oder Klinge oder Attila der Hunnenkönig – das sagt mein Vater immer, wenn er Stress hat, wenn er den ganzen Tag wieder nur Hiobsbotschaften gehört hat, dann trinkt er zwei Jägermeister und meldet sich am Telefon mit Attila der Hunnenkönig –, ich meine, während ich noch am Überlegen bin, ob ich überhaupt etwas sagen soll oder ob man sich das nicht letztlich sparen kann in dieser Situation, redet der Arzt schon irgendwas von «vier hiervon» und «drei davon», und ich schlafe wieder ein."
"You can say a lot about hospitals, but you can't say they're not nice.","Über Krankenhäuser kann man ja viel sagen, aber nicht, dass es da nicht schön ist."
"I always absolutely love being in hospital.","Ich bin immer wahnsinnig gern im Krankenhaus."
"You do nothing all day, and then the nurses come.","Man macht den ganzen Tag nichts, und dann kommen die Krankenschwestern."
"The nurses are all very young and super friendly.","Die Schwestern sind alle sehr jung und superfreundlich."
"And they wear these thin white coats that I think are so great, where you can always immediately see what underwear they're wearing.","Und sie tragen diese dünnen weißen Kittel, die ich so toll finde, wo man immer gleich sieht, was für Unterwäsche sie anhaben."
"Why I think that's so great, I honestly don't know either.","Warum ich das so toll finde, weiß ich übrigens auch nicht."
"Because if someone walked around in a coat like that on the street, I'd find it stupid.","Weil, wenn jemand mit so einem Kittel auf der Straße rumlaufen würde, würde ich das albern finden."
"But in hospital it's great.","Aber im Krankenhaus ist es toll."
"It's a bit like in mafia films, where the gangsters always look at you in silence for a minute before they answer.","Das ist ein bisschen wie in Mafiafilmen, wo einen die Gangster immer eine Minute schweigend angucken, bevor sie antworten."
"«Hey!» One minute of silence. «Look me in the eyes!» Five minutes of silence.","«Hey!» Eine Minute Schweigen. «Sieh mir in die Augen!» Fünf Minuten Schweigen."
"In real life that's stupid.","Im richtigen Leben ist das albern."
"But when you're in the Mafia, it's not.","Aber wenn man bei der Mafia ist, eben nicht."
"My favourite nurse is from Lebanon and her name is Hanna.","Meine Lieblingskrankenschwester kommt aus dem Libanon und heißt Hanna."
"Hanna has short black hair and wears normal underwear.","Hanna hat kurzes schwarzes Haar und trägt normale Unterwäsche."
"And that's great too: normal underwear.","Und das ist auch toll: normale Unterwäsche."
"That other kind of underwear always looks a bit sad anyway.","Diese andere Unterwäsche sieht ja auch immer ein bisschen traurig aus."
"If you don't exactly have Megan Fox's figure, it can look pretty desperate.","Wenn man nicht gerade die Figur von Megan Fox hat, kann das ziemlich verzweifelt aussehen."
"Maybe I'm just weird: I'm into normal underwear.","Vielleicht bin ich auch pervers: Ich steh auf normale Unterwäsche."
"Hanna is actually only a student nurse, so she's doing her training or something, and when she comes into my room she always pokes her head around the corner first and then knocks on the doorframe with two fingers, which I think is very, very polite, and she invents a new name for me every day.","Hanna ist eigentlich auch erst Schwesternschülerin, also in der Ausbildung oder so, und wenn sie in mein Zimmer kommt, streckt sie immer zuerst den Kopf um die Ecke und klopft dann mit zwei Fingern an den Türrahmen, das finde ich sehr, sehr höflich, und sie denkt sich jeden Tag einen neuen Namen für mich aus."
"First I was Maik, then Maiki, then Maikipaiki, at which point I thought: Oh boy.","Erst hieß ich Maik, dann Maiki, dann Maikipaiki, wo ich schon dachte: Alter Finne."
"But that wasn't the end of it.","Aber das war noch nicht das Ende."
"Then I was Michael Schumacher, then Attila King of the Huns, then Pig Killer and finally even the Sick Bunny.","Dann hieß ich Michael Schumacher, dann Attila der Hunnenkönig, dann Schweinemörder und zuletzt sogar der kranke Hase."
"For that alone I'd love to stay in this hospital for another year.","Allein deshalb würde ich am liebsten noch ein Jahr in diesem Krankenhaus bleiben."
"Hanna changes my bandage every day.","Hanna wechselt jeden Tag meinen Verband."
"It hurts quite a lot, and it hurts Hanna too, as you can tell from her face.","Das tut ziemlich weh, und Hanna tut es auch weh, wie man an ihrem Gesicht sehen kann."
"«As long as you're enjoying yourself», she always says when she's done, and I always say that I'll probably marry her someday or something.","«Hauptsache, dir macht's Spaß», sagt sie dann immer, wenn sie fertig ist, und ich sage dann immer, dass ich sie später wahrscheinlich einmal heiraten werde oder so was."
"But unfortunately she already has a boyfriend.","Aber leider hat sie schon einen Freund."
"Sometimes she also just comes and sits on the edge of my bed, because I basically get no visitors otherwise, and we have really good conversations.","Manchmal kommt sie auch einfach so und setzt sich an mein Bett, weil ich ja sonst praktisch keinen Besuch kriege, und es sind richtig gute Unterhaltungen, die wir da führen."
"Proper grown-up conversations.","Richtige Erwachsenenunterhaltungen."
"With women like Hanna it's always incredibly much easier to have a conversation than with girls my own age.","Mit Frauen wie Hanna ist es immer unfassbar viel leichter, sich zu unterhalten, als mit Mädchen in meinem Alter."
"If anyone can explain to me why that is, they're welcome to give me a ring, because I can't explain it myself.","Falls mir jemand erklären kann, warum das so ist, kann er mich übrigens gern anrufen, weil, ich kann es mir nämlich nicht erklären."
"The doctor is less entertaining.","Der Arzt ist weniger unterhaltsam."
"«It's just a piece of flesh», he says, «muscle», he says, «it's not serious, it'll grow back. Maybe there'll be a small dent or scar», he says, «that'll look sexy», and he says exactly that every single day.","«Das ist nur ein Stück Fleisch», sagt er, «Muskel», sagt er, «ist nicht schlimm, das wächst nach. Bleibt vielleicht 'ne kleine Delle oder Narbe», sagt er, «das sieht dann sexy aus», und das sagt er jeden Tag."
"Every day he looks at the bandage and says exactly the same thing, that there'll be a scar, that it's not serious, that it'll look like I was in a war.","Jeden Tag guckt er sich den Verband an und erzählt genau das Gleiche, dass da 'ne Narbe bleibt, dass das nicht schlimm ist, dass das später mal aussieht, als wär ich im Krieg gewesen."
"«As if you'd been in a war, young man, women love that», he says, and it's probably supposed to be deep somehow, but I don't get the depth, and then he winks at me, and I mostly wink back, even though I don't understand it.","«Als wärst du im Krieg gewesen, junger Mann, da stehen die Frauen drauf», sagt er, und es soll wohl irgendwie tiefsinnig sein, aber ich versteh den Tiefsinn nicht, und dann zwinkert er mich an, und meistens zwinker ich zurück, obwohl ich's nicht verstehe."
"After all, the man helped me, so I help him back.","Schließlich hat der Mann mir geholfen, da helfe ich ihm auch."
"Later our conversations get better, mainly because they get more serious.","Später werden unsere Gespräche besser, vor allem, weil sie ernster werden."
"Or rather, there's actually only one conversation.","Beziehungsweise, es ist eigentlich nur ein Gespräch."
"When I can limp again, he takes me to his office, which for once actually has a desk in it and no medical equipment, and we sit facing each other like company bosses sealing their next deal.","Als ich wieder humpeln kann, holt er mich in sein Zimmer, in dem ausnahmsweise mal ein Schreibtisch steht und kein medizinisches Gerät, und da sitzen wir uns dann gegenüber wie Firmenchefs, die den nächsten Deal eintüten."
"On the table there's a plastic human torso where you can take the organs out.","Auf dem Tisch steht ein menschlicher Oberkörper aus Plastik, wo man die Organe rausnehmen kann."
"The large intestine looks like a brain, and the paint is flaking off the stomach.","Der Dickdarm sieht aus wie ein Gehirn, und vom Magen blättert die Farbe ab."
"«I need to have a word with you», says the doctor, and that's obviously the stupidest way to start a conversation that I know.","«Ich muss mal mit dir reden», sagt der Arzt, und das ist logisch der dümmste Gesprächsanfang, den ich kenne."
"And then I wait for him to start talking, but unfortunately that's part of this kind of opening, that you say I need to have a word with you, and then don't actually say anything.","Und dann warte ich, dass er mit Reden anfängt, aber das gehört zu diesem Anfang leider dazu, dass man sagt, ich muss mal mir dir reden, und dann erst mal nicht redet."
"So the doctor stares at me, then lowers his eyes and opens a green cardboard folder.","Der Arzt starrt mich also an, senkt dann seinen Blick und klappt einen grünen Pappordner auf."
"Or doesn't open it, but rather opens it the way I imagine he cuts open a patient's abdomen.","Oder klappt ihn nicht auf, sondern öffnet ihn, wie ich mir vorstelle, dass er einem Patienten die Bauchdecke aufschneidet."
"Very careful, very complicated, very serious.","Sehr umsichtig, sehr kompliziert, sehr ernst."
"The man is a surgeon.","Der Mann ist Chirurg."
"What comes after that is already less interesting.","Was danach kommt, ist schon weniger interessant."
"Basically he just wants to know where my head wound comes from, front right.","Im Grunde will er nur wissen, wo meine Kopfwunde herkommt, vorne rechts."
"Also where the other wounds come from – from the motorway, as I said, okay, he already knew that –, but the head wound, I fell off the chair there, at the motorway police station.","Auch wo die anderen Wunden herkommen – von der Autobahn, wie gesagt, okay, das wusste er schon –, aber die Kopfwunde, da bin ich vom Stuhl gefallen, auf der Station der Autobahnpolizei."
"The doctor puts his hands together at the fingertips.","Der Arzt legt die Hände an den Fingerspitzen zusammen."
"Yes, that's what it would say in the report too: fell off the chair. At the police station.","Ja, so würde das da auch im Bericht drinstehen: vom Stuhl gefallen. Auf der Polizeistation."
"«It's just between us here», he says after a while.","«Wir sind hier unter uns», sagt er nach einer Weile."
"«I understand», I say like a complete idiot, and wink first at the doctor and then for good measure also at the plastic torso.","«Ist mir klar», sage ich wie der letzte Blödmann und zwinkere erst dem Arzt zu und dann zur Sicherheit auch nochmal dem Plastikoberkörper."
"«You can talk about anything here. I'm your doctor, and that means in this case I have a duty of confidentiality.»","«Du kannst hier über alles sprechen. Ich bin dein Arzt, und das heißt in diesem Fall, ich habe eine Schweigepflicht.»"
"«Yes, fine», I say.","«Ja, gut», sage ich."
"He'd hinted at something like this a few days ago already, I've got it now.","So was Ähnliches hatte er mir vor ein paar Tagen schon mal angedeutet, ich hab's jetzt begriffen."
"The man has a duty of confidentiality, and he now expects me to tell him something so that he can keep quiet about it.","Der Mann hat eine Schweigepflicht, und er erwartet jetzt, dass ich ihm etwas erzähle, damit er davon schweigen kann."
"But what?","Aber was?"
"How incredibly great it is to piss yourself out of fear?","Wie übertrieben geil es ist, sich vor Angst in die Hose zu pissen?"
"«It's not just the conduct itself. That's a breach of the duty of supervision. They should not have relied on what you said, do you understand? They should have checked and above all called the doctor immediately. Do you know how critical it was? And you say you fell off the chair?»","«Es ist ja nicht nur die Handlungsweise. Das ist eine Verletzung der Aufsichtspflicht. Die hätten sich nicht auf deine Angaben verlassen dürfen, verstehst du? Die hätten nachgucken und vor allem sofort den Arzt rufen müssen. Weißt du, wie kritisch das war? Und du sagst, du bist vom Stuhl gefallen?»"
"«That's what it says here too. But we doctors are suspicious people. I mean, they did want certain things from you. As your attending physician...»","«Das steht hier auch so drin. Aber wir Ärzte sind misstrauische Menschen. Ich meine, die wollten doch einiges von dir. Als dein behandelnder Arzt...»"
"Yeah, yeah. Good grief. Duty of confidentiality. I get it.","Ja, ja. Himmel. Schweigepflicht. Schon klar."
"But what does he actually want to know?","Aber was will er denn jetzt wissen?"
