word_id,english,target,article,plural,type,level,tags,hint
g046,irregular participle pattern,ge + Stamm + en,,,grammar pattern,A2,perfekt;irregular,sehen → gesehen.
g047,seen,gesehen,,,participle,A2,perfekt;irregular,sehen → gesehen.
g048,said,gesagt,,,participle,A1,perfekt;regular,sagen → gesagt.
g049,thought,gedacht,,,participle,A2,perfekt;irregular,denken → gedacht.
g050,hung / been hanging,gehangen,,,participle,B1,perfekt;irregular,hängen → gehangen.
g051,known,gewusst,,,participle,A2,perfekt;irregular,wissen → gewusst.
g052,found,gefunden,,,participle,A2,perfekt;irregular,finden → gefunden.
g053,hopped,gehüpft,,,participle,A2,perfekt;movement,hüpfen often with sein when movement/change is stressed.
g054,fallen,gefallen,,,participle,A2,perfekt;movement,fallen uses sein.
g055,come,gekommen,,,participle,A1,perfekt;movement,kommen uses sein.
g056,gone,gegangen,,,participle,A1,perfekt;movement,gehen uses sein.
g057,imagined,vorgestellt,,,participle,B1,perfekt;separable,vor + ge + stellt.
g058,opened / flipped open,aufgeklappt,,,participle,B1,perfekt;separable,auf + ge + klappt.
g059,I have,ich hab,,,colloquial form,A1,colloquial;perfekt,Spoken form of ich habe.
g060,separable verb,trennbares Verb,,,grammar term,A2,separable;grammar,Prefix can move to the end.
g061,prefix goes to the end,Präfix ans Ende,,,grammar pattern,A2,separable;word-order,Main clause rule for separable verbs.
g062,prefix + zu + verb stem,Präfix + zu + Stamm,,,grammar pattern,B1,separable;zu-infinitive,"auszusehen, anzufangen."
g063,prefix + ge + stem,Präfix + ge + Stamm,,,grammar pattern,A2,separable;participle,Participle pattern: vorgestellt.
g064,to wake up,aufwachen,,,separable verb,A1,separable;movement,auf + wachen; uses sein.
g065,to get up,aufstehen,,,separable verb,A1,separable;movement,auf + stehen; uses sein.
g066,to imagine,sich vorstellen,,,separable verb,A2,separable;reflexive,vorstellen can mean imagine.
g067,to turn out,sich herausstellen,,,separable verb,B1,separable;reflexive,heraus + stellen.
g068,to find out,herausfinden,,,separable verb,A2,separable;knowledge,heraus + finden.
g069,to interfere / step in,sich einmischen,,,separable verb,B1,separable;reflexive,ein + mischen.
g070,to reprimand,zurechtweisen,,,separable verb,B2,separable;speech,zurecht + weisen.
g071,to come out,rauskommen,,,separable verb,A2,separable;movement;colloquial,raus is colloquial for heraus.
g072,to laugh oneself to death,sich totlachen,,,separable-like verb,B1,colloquial;reflexive,Common exaggeration: laugh oneself dead.
g073,to turn off / agree on,ausmachen,,,separable verb,A2,separable;polysemy,ausmachen has several meanings.
g074,to look like,aussehen,,,separable verb,A2,separable;appearance,zu form: auszusehen.
g075,to begin / start,anfangen,,,separable verb,A1,separable;action,zu form: anzufangen.
g076,"to look like, with zu",auszusehen,,,zu-infinitive form,B1,separable;zu-infinitive,zu goes between prefix and stem.
g077,"to start, with zu",anzufangen,,,zu-infinitive form,B1,separable;zu-infinitive,an + zu + fangen.
g078,because,weil,,,conjunction,A1,conjunction;word-order,Standard weil sends verb to the end.
g079,because / for,denn,,,conjunction,A2,conjunction;word-order,denn always uses verb-second order.
g080,"when, single past event",als,,,conjunction,A2,conjunction;time,Use for one completed past event.
g081,when/whenever/if,wenn,,,conjunction,A1,conjunction;time,"Repeated, general, present or future."
g082,verb at the end,Verb am Ende,,,grammar pattern,A2,word-order;subordinate,"Used after standard weil, als, wenn."
g083,verb second,Verbzweitstellung,,,grammar term,B1,word-order;main-clause,Normal German main-clause order.
g084,because + verb at end,weil + Verb am Ende,,,grammar pattern,A2,weil;word-order,Formal/standard weil pattern.
g085,because + verb second,weil + Verbzweitstellung,,,grammar pattern,B1,weil;colloquial,Common in spoken German.
g086,denn + verb second,denn + Verbzweitstellung,,,grammar pattern,A2,denn;word-order,denn cannot start a sentence.
g087,to me it is dizzy / I am dizzy,mir ist schwindlig,,,impersonal phrase,A2,impersonal;dative,German uses dative: mir.
g088,I feel sick,mir wird übel,,,impersonal phrase,A2,impersonal;dative,werden for becoming/feeling sick.
g089,I am hot,mir ist heiß,,,impersonal phrase,A2,impersonal;dative,Physical sensation with dative.
g090,that hurts me,das tut mir weh,,,impersonal phrase,A2,impersonal;dative,weh tun takes dative person.
g091,it takes time,es dauert,,,impersonal phrase,A1,impersonal;es,es as dummy subject.
g092,there is a bang,es knallt,,,impersonal phrase,B1,impersonal;sound,es + sound/event verb.
g093,it smells,es riecht,,,impersonal phrase,A2,impersonal;senses,es as dummy subject.
g094,it hurts,es tut weh,,,impersonal phrase,A2,impersonal;pain,No named subject needed.
g095,one / people / you in general,man,,,pronoun,A1,impersonal;pronoun,man always takes 3rd-person singular verb.
g096,one does / people do,man macht,,,impersonal phrase,A1,impersonal;pronoun,man + 3rd-person singular verb.
g097,I say,ich sag,,,colloquial form,A1,colloquial;dropped-e,Spoken form of ich sage.
g098,I look for,ich such,,,colloquial form,A1,colloquial;dropped-e,Spoken form of ich suche.
g099,I think,ich denk,,,colloquial form,A1,colloquial;dropped-e,Spoken form of ich denke.
g100,I look,ich guck,,,colloquial form,A1,colloquial;dropped-e,Spoken form of ich gucke.
g101,try it,versuch's,,,contraction,A2,colloquial;contraction,versuche es → versuch's.
g102,do it,mach's,,,contraction,A1,colloquial;contraction,mache es → mach's.
g103,I it,ich's,,,contraction,B1,colloquial;contraction,ich es → ich's.
g104,they will find it out,sie erfahren's,,,contraction,B1,colloquial;contraction,sie erfahren es → sie erfahren's.
g105,to keep one's mouth shut,Klappe halten,,,colloquial phrase,B1,colloquial;expression,Very informal expression.
g106,I do not care,mir ist alles egal,,,colloquial phrase,A2,colloquial;expression,Literally: everything is indifferent to me.
g107,not exactly great,nicht gerade der große Bringer,,,colloquial phrase,B1,colloquial;expression,Bringer = something good/useful.
g108,to make a fool of oneself,sich zum Obst machen,,,colloquial phrase,B2,colloquial;idiom,Idiomatic spoken phrase.
g109,"what happened, happened","was passiert ist, ist passiert",,,colloquial phrase,A2,colloquial;expression,Common resigned expression.
g110,to be slow on the uptake,auf der Leitung stehen,,,colloquial phrase,B1,colloquial;idiom,Literally: to stand on the line.
g111,to speak plainly,Klartext reden,,,colloquial phrase,B1,colloquial;expression,Klartext = plain language.
g112,to crack up laughing,sich kaputtlachen,,,colloquial phrase,B1,colloquial;expression,kaputtlachen = laugh very hard.
g113,you see / namely / the thing is,nämlich,,,adverb,A2,colloquial;connector,Often explains or justifies what was said.
g114,by the way,übrigens,,,adverb,A2,colloquial;connector,Useful discourse marker.
g115,I understood / I got it,ich hab's begriffen,,,colloquial phrase,A2,colloquial;expression,begreifen = to grasp/understand.
g116,definitely / for sure,mit Sicherheit,,,phrase,A2,colloquial;expression,Literally: with certainty.
