"english","target","hint","level"
"What kind of?","Was für ein?","","A2"
"What is your name?","Wie heißt du?","","A2"
"Where do you live?","Wo wohnst du?","","A2"
"What do you do?","Was machst du?","","A2"
"How old are you?","Wie alt bist du?","","A2"
"Where are you going?","Wohin gehst du?","","A2"
"When does it start?","Wann fängt es an?","","A2"
"Why are you late?","Warum kommst du zu spät?","","A2"
"How long have you been here?","Wie lange bist du schon hier?","","A2"
"How many people are there?","Wie viele Leute sind da?","","A2"
"What time is it?","Wie spät ist es?","","A2"
"Do you have time?","Hast du Zeit?","","A2"
"Is everything okay?","Ist alles in Ordnung?","","A2"
"How does this work?","Wie funktioniert das?","","A2"
"Did you eat?","Hast du gegessen?","","A2"
"What are you thinking about?","Woran denkst du?","","A2"
"What are you looking for?","Wonach suchst du?","","A2"
"Can I help you?","Kann ich Ihnen helfen?","","A2"
"Is she here?","Ist sie hier?","","A2"
"Can you help?","Kannst du helfen?","","A2"
"She reads the book.","Sie liest das Buch.","","A2"
"Yesterday he read the book.","Gestern hat er das Buch gelesen.","","A2"
"On Monday we have class.","Am Montag haben wir Unterricht.","","A2"
"I know that he is tired.","Ich weiß, dass er müde ist.","","A2"
"He goes because he is hungry.","Er geht, weil er hungrig ist.","","A2"
"Although it rains, I go out.","Obwohl es regnet, gehe ich raus.","","A2"
"When I was young, I played football.","Als ich jung war, spielte ich Fußball.","","B1"
"He turns off the light.","Er macht das Licht aus.","","A2"
"She picks up her friend.","Sie holt ihre Freundin ab.","","A2"
"I can swim.","Ich kann schwimmen.","","A2"
"She must work.","Sie muss arbeiten.","","A2"
"He gives the woman the book.","Er gibt der Frau das Buch.","","A2"
"I know that she is coming.","Ich weiß, dass sie kommt.","","A2"
"She says that it is cold.","Sie sagt, dass es kalt ist.","","A2"
"If you need help, call me.","Wenn du Hilfe brauchst, ruf mich an.","","B1"
"Before I go out, I check the weather.","Bevor ich rausgehe, schaue ich das Wetter an.","","B1"
"After she ate, she went for a walk.","Nachdem sie gegessen hatte, machte sie einen Spaziergang.","","B1"
"While he reads, she cooks.","Während er liest, kocht sie.","","A2"
"I don't know if he is coming.","Ich weiß nicht, ob er kommt.","","A2"
"Dear Sir/Madam,","Sehr geehrte Damen und Herren,","","A2"
"I am writing to you regarding...","Ich schreibe Ihnen bezüglich...","","A2"
"Please find attached...","Im Anhang finden Sie...","","A2"
"I look forward to hearing from you.","Ich freue mich auf Ihre Antwort.","","A2"
"Yours sincerely,","Mit freundlichen Grüßen,","","A2"
"This suggests that...","Das deutet darauf hin, dass...","","A2"
"Let's get down to business.","Kommen wir zur Sache.","","A2"
"That's not negotiable.","Das ist nicht verhandelbar.","","A2"
"All things considered...","Alles in allem...","","A2"
"The most important thing is...","Das Wichtigste ist...","","A2"
"It depends on...","Es hängt von... ab.","","A2"
"It seems like...","Es scheint, als ob...","","A2"
"Well, anyway...","Na ja, jedenfalls...","","A2"
"Between you and me...","Unter uns gesagt...","","A2"
"Don't get me wrong.","Verstehen Sie mich nicht falsch.","","A2"
"If I understand correctly...","Wenn ich das richtig verstehe...","","A2"
"It is 3 o'clock.","Es ist 3 Uhr.","","A2"
"It is half past 3.","Es ist halb vier.","","A2"
"It is quarter past 3.","Es ist Viertel nach drei.","","A2"
"It is quarter to 4.","Es ist Viertel vor vier.","","A2"
"It is noon.","Es ist Mittag.","","A2"
"It is midnight.","Es ist Mitternacht.","","A2"
"NOT: Ich habe Hunger haben. → USE: Ich habe Hunger.","Ich habe Hunger.","","A2"
"NOT: Er ist 30 Jahre. → USE: Er ist 30 Jahre alt.","Er ist 30 Jahre alt.","","A2"
"NOT: Wann du kommst? → USE: Wann kommst du?","Wann kommst du?","","A2"
"NOT: Ich denke das er müde ist. → USE: Ich denke, dass er müde ist.","Ich denke, dass er müde ist.","","A2"
"He looks like his father.","Er sieht seinem Vater ähnlich.","","A2"
"What does she look like?","Wie sieht sie aus?","","A2"
"She has long curly hair.","Sie hat lange lockige Haare.","","A2"
"He is tall and slim.","Er ist groß und schlank.","","A2"
"She looks young for her age.","Sie sieht jung aus für ihr Alter.","","B1"
"This is the best film I've seen.","Das ist der beste Film, den ich gesehen habe.","","B1"
"She is taller than her brother.","Sie ist größer als ihr Bruder.","","A2"
"The more you practice, the better.","Je mehr du übst, desto besser.","","A2"
"The sooner the better.","Je früher desto besser.","","A2"
"The letter is written.","Der Brief wird geschrieben.","","A2"
"The car is being repaired.","Das Auto wird repariert.","","A2"
"The letter was written.","Der Brief wurde geschrieben.","","A2"
"The thief was caught.","Der Dieb wurde gefangen.","","A2"
"The bill has been paid.","Die Rechnung ist bezahlt worden.","","A2"
"The form must be filled in.","Das Formular muss ausgefüllt werden.","","A2"
"The report should be written.","Der Bericht soll geschrieben werden.","","A2"
"The machine can be repaired.","Die Maschine kann repariert werden.","","A2"
"The letter was written by her.","Der Brief wurde von ihr geschrieben.","","A2"
"Dear Mr. Schmidt,","Sehr geehrter Herr Schmidt,","","A2"
"Dear Ms. Müller,","Sehr geehrte Frau Müller,","","A2"
"I would like to inquire about...","Ich möchte mich nach ... erkundigen.","","A2"
"I strongly believe that...","Ich bin fest davon überzeugt, dass...","","A2"
"This shows that...","Das zeigt, dass...","","A2"
"It is worth noting that...","Es ist erwähnenswert, dass...","","A2"
"That's a valid concern.","Das ist eine berechtigte Sorge.","","A2"
"I see where you're coming from.","Ich verstehe, woher Sie kommen.","","A2"
"That's not what I meant.","Das habe ich nicht so gemeint.","","A2"
"Allow me to clarify.","Erlauben Sie mir zu klären.","","A2"
"To be more precise...","Um genauer zu sein...","","A2"
"The fact remains that...","Die Tatsache bleibt, dass...","","A2"
"That changes everything.","Das ändert alles.","","A2"
"What's the bottom line?","Was ist das Fazit?","","A2"
"We need to find a compromise.","Wir müssen einen Kompromiss finden.","","A2"
"The ball is in your court.","Der Ball liegt bei Ihnen.","","A2"
"Let's touch base later.","Lassen Sie uns später Kontakt aufnehmen.","","A2"
"We're on the same page.","Wir sind uns einig.","","A2"
"I'm in over my head.","Das überfordert mich.","","A2"
"It's now or never.","Jetzt oder nie.","","A2"
"Better safe than sorry.","Vorsicht ist besser als Nachsicht.","","A2"
"One step at a time.","Schritt für Schritt.","","A2"
"Hard work pays off.","Harte Arbeit zahlt sich aus.","","A2"
"I washed myself.","Ich habe mich gewaschen.","","A2"
"She combed her hair.","Sie hat sich gekämmt.","","A2"
"He shaved.","Er hat sich rasiert.","","A2"
"We enjoyed ourselves.","Wir haben uns amüsiert.","","A2"
"She got used to it.","Sie hat sich daran gewöhnt.","","A2"
"He concentrated.","Er hat sich konzentriert.","","A2"
"I'm interested in art.","Ich interessiere mich für Kunst.","","A2"
"She complains about everything.","Sie beschwert sich über alles.","","A2"
"It was a long time ago.","Das war vor langer Zeit.","","A2"
"It won't take long.","Es dauert nicht lange.","","A2"
"I've been waiting for an hour.","Ich warte seit einer Stunde.","","A2"
"She has been living here for two years.","Sie wohnt seit zwei Jahren hier.","","A2"
"He has been working since morning.","Er arbeitet seit dem Morgen.","","A2"
"We haven't spoken for weeks.","Wir haben seit Wochen nicht gesprochen.","","A2"
"I'll be there in five minutes.","Ich bin in fünf Minuten da.","","A2"
"She left three days ago.","Sie ist vor drei Tagen abgereist.","","A2"
"The meeting starts at half past two.","Das Meeting beginnt um halb drei.","","A2"
"I have no idea.","Ich habe keine Ahnung.","","A2"
"That's obvious.","Das ist offensichtlich.","","A2"
"What a surprise!","Was für eine Überraschung!","","A2"
"I can't believe it.","Ich kann es nicht glauben.","","A2"
"That's incredible!","Das ist unglaublich!","","A2"
"I'm proud of you.","Ich bin stolz auf dich.","","A2"
"You did great!","Du hast das toll gemacht!","","A2"
"I'm not feeling well.","Ich fühle mich nicht wohl.","","A2"
"I need to see a doctor.","Ich muss zum Arzt.","","A2"
"Can you call an ambulance?","Können Sie einen Krankenwagen rufen?","","A2"
"I've lost my passport.","Ich habe meinen Reisepass verloren.","","A2"
"I've been robbed.","Ich wurde bestohlen.","","A2"
"Call the police!","Rufen Sie die Polizei!","","A2"
"Where is the nearest hospital?","Wo ist das nächste Krankenhaus?","","A2"
"I need help.","Ich brauche Hilfe.","","A2"
"It's an emergency.","Es ist ein Notfall.","","A2"
"The phone number for emergencies in Germany is 112.","Die Notrufnummer in Deutschland ist 112.","","A2"
"Can I use your phone?","Kann ich Ihr Telefon benutzen?","","A2"
"I've forgotten my wallet.","Ich habe meine Geldbörse vergessen.","","A2"
"I don't have any cash.","Ich habe kein Bargeld.","","A2"
"Is there a cash machine nearby?","Gibt es einen Geldautomaten in der Nähe?","","B1"
"Could you lend me some money?","Könntest du mir etwas Geld leihen?","","A2"
"I'll pay you back tomorrow.","Ich zahle es dir morgen zurück.","","A2"
"Let's split the cost.","Lass uns die Kosten teilen.","","A2"
"I would like to register.","Ich möchte mich anmelden.","","A2"
"I would like to deregister.","Ich möchte mich abmelden.","","A2"
"I would like to renew my visa.","Ich möchte mein Visum verlängern.","","A2"
"I would like to open a bank account.","Ich möchte ein Konto eröffnen.","","A2"
"I would like to apply for a job.","Ich möchte mich um eine Stelle bewerben.","","B1"
"I have an appointment at 3 pm.","Ich habe einen Termin um 15 Uhr.","","B1"
"Can I reschedule?","Kann ich den Termin verschieben?","","A2"
"Where do I sign?","Wo muss ich unterschreiben?","","A2"
"Do I need to bring any documents?","Muss ich Dokumente mitbringen?","","A2"
"Is this form correct?","Ist dieses Formular richtig?","","A2"
"How long does it take to process?","Wie lange dauert die Bearbeitung?","","A2"
"When will I hear back?","Wann bekomme ich eine Rückmeldung?","","A2"
"I feel great today.","Ich fühle mich heute großartig.","","A2"
"She is in good shape.","Sie ist in guter Form.","","A2"
"He leads a healthy life.","Er führt ein gesundes Leben.","","A2"
"They work out every day.","Sie trainieren jeden Tag.","","A2"
"I go to bed early.","Ich gehe früh ins Bett.","","A2"
"She meditates in the morning.","Sie meditiert morgens.","","A2"
"He eats a lot of vegetables.","Er isst viel Gemüse.","","A2"
"We cook at home most of the time.","Wir kochen meistens zu Hause.","","A2"
"I try to avoid sugar.","Ich versuche Zucker zu vermeiden.","","A2"
"She drinks two liters of water a day.","Sie trinkt täglich zwei Liter Wasser.","","A2"
"What time does the film start?","Wann beginnt der Film?","","A2"
"Is there a pharmacy open on Sunday?","Gibt es eine Apotheke, die sonntags geöffnet ist?","","B1"
"Could you turn down the music?","Könnten Sie die Musik leiser machen?","","A2"
"Could you open the window?","Könnten Sie das Fenster öffnen?","","A2"
"Do you have a map of the city?","Haben Sie einen Stadtplan?","","A2"
"Can I take a picture here?","Darf ich hier fotografieren?","","A2"
"Is the museum open today?","Ist das Museum heute geöffnet?","","A2"
"How long is the waiting time?","Wie lang ist die Wartezeit?","","A2"
"I have a question about my bill.","Ich habe eine Frage zu meiner Rechnung.","","B1"
"The service was excellent.","Der Service war ausgezeichnet.","","A2"
"I'd like to leave a review.","Ich möchte eine Bewertung hinterlassen.","","A2"
"That's not what I ordered.","Das habe ich nicht bestellt.","","A2"
"My order hasn't arrived yet.","Meine Bestellung ist noch nicht angekommen.","","A2"
"Can I speak to the manager?","Kann ich mit dem Manager sprechen?","","A2"
"I'd like a refund.","Ich möchte eine Rückerstattung.","","A2"
"The product is defective.","Das Produkt ist defekt.","","A2"
"I'm a regular customer.","Ich bin Stammkunde.","","A2"
"Do you offer a student discount?","Bieten Sie einen Studentenrabatt an?","","A2"
"Is there a loyalty card?","Gibt es eine Kundenkarte?","","A2"
"I have a voucher.","Ich habe einen Gutschein.","","A2"
"I'm looking forward to it.","Ich freue mich darauf.","","A2"
"See you next time!","Bis zum nächsten Mal!","","A2"
"It was a pleasure.","Es war mir ein Vergnügen.","","A2"
