"english","target","hint","explanation","level"
"You may keep playing after dinner.","Ihr dürft nach dem Essen noch spielen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + dürft (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („dürft”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „nach” mindig Dativot vonz; itt időbeli jelentése: evés után.

Gyors igeelemzés:
Ragozott ige: „dürft” (dürfen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I can carry the heavy suitcase alone.","Ich kann den schweren Koffer allein tragen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + kann (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („kann”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „kann” (können); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"You can stay overnight at our place today.","Du kannst heute bei uns übernachten.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + kannst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („kannst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A „bei” mindig Dativot vonz; „nálunk”.

Gyors igeelemzés:
Ragozott ige: „kannst” (können); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"We can meet in front of the cinema.","Wir können uns vor dem Kino treffen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + können (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („können”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el. A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A „sich treffen” kölcsönös/reflexív szerkezet; „vor” helyet jelöl, ezért Dativ.

Gyors igeelemzés:
Ragozott ige: „können” (können); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You can buy the tickets online.","Ihr könnt die Tickets online kaufen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + könnt (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („könnt”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „könnt” (können); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I have to fill up before work.","Ich muss vor der Arbeit noch tanken.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + muss (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („muss”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „vor” itt időbeli „munka előtt”, ezért Dativ.

Gyors igeelemzés:
Ragozott ige: „muss” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"You have to call the doctor today.","Du musst den Arzt heute noch anrufen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + musst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („musst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „musst” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"We have to catch the last train.","Wir müssen den letzten Zug erreichen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + müssen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („müssen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „müssen” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You have to switch off your phones in class.","Ihr müsst eure Handys im Unterricht ausschalten.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + müsst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („müsst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
„im” = „in dem”; helyzetet/körülményt jelöl, ezért Dativ.

Gyors igeelemzés:
Ragozott ige: „müsst” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I want to speak better German this year.","Ich will dieses Jahr besser Deutsch sprechen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + will (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („will”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „will” (wollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"You do not really want to quit, do you?","Du willst doch nicht wirklich kündigen.","doch adds contradiction or surprise.","Mondatváza:
`Pozíció 1 + willst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („willst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll. A „doch” modális partikula: itt ellentmondást, meglepetést vagy rábeszélő árnyalatot ad, ezért a középmezőben áll.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „willst” (wollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"We want to go to the mountains at the weekend.","Wir wollen am Wochenende in die Berge fahren.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + wollen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wollen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
Az „in” irányt jelöl („a hegyekbe”), ezért Akkusativ.

Gyors igeelemzés:
Ragozott ige: „wollen” (wollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You always want to do everything at the same time.","Ihr wollt immer alles gleichzeitig machen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + wollt (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wollt”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „wollt” (wollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"I am supposed to answer my boss by Friday.","Ich soll meinem Chef bis Freitag antworten.","sollen often reports another person's request.","Mondatváza:
`Pozíció 1 + soll (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („soll”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet. A kötőszóval vagy kérdőszóval bevezetett mellékmondatban a ragozott ige a tagmondat végére kerül. Ha a mellékmondat áll elöl, az egész mellékmondat tölti ki a főmondat első helyét, ezért utána rögtön a főmondati ige következik.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „sollen” többnyire külső elvárást, utasítást, tanácsot vagy más személy kérésének továbbadását jelöli.

Gyors igeelemzés:
Ragozott ige: „soll” (sollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You should take the tablets after eating.","Du sollst die Tabletten nach dem Essen nehmen.","sollen can express advice or instruction.","Mondatváza:
`Pozíció 1 + sollst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („sollst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A „nach” mindig Dativot vonz; itt időbeli jelentése: evés után. A „sollen” többnyire külső elvárást, utasítást, tanácsot vagy más személy kérésének továbbadását jelöli.

Gyors igeelemzés:
Ragozott ige: „sollst” (sollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"We are supposed to wait for Lena at the entrance.","Wir sollen am Eingang auf Lena warten.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + sollen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („sollen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „sollen” (sollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You are supposed to tidy your rooms before dinner.","Ihr sollt eure Zimmer vor dem Abendessen aufräumen.","Modal form: separable infinitive stays together.","Mondatváza:
`Pozíció 1 + sollt (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („sollt”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „sollt” (sollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"You must not take photographs here.","Du darfst hier nicht fotografieren.","nicht dürfen means prohibition.","Mondatváza:
`Pozíció 1 + ragozott módosító ige (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el. A „nicht” közvetlenül azt az elemet vagy igei jelentést előzi meg, amelyet tagad; teljes állítás tagadásakor gyakran a mondatzáró igei rész előtt áll.

Szavak és vonzatok:
„nicht dürfen” tiltást jelent: nem szabad. Nem egyszerűen képességhiány.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A2"
