english,target,register,tags,note,level
This is the table.,Das ist der Tisch.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the table (plural),die Tische,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the chair,der Stuhl,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the chair.,Das ist der Stuhl.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the chair (plural),die Stühle,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the bed,das Bett,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the bed.,Das ist das Bett.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the bed (plural),die Betten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the city,die Stadt,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the city.,Das ist die Stadt.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the city (plural),die Städte,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the street,die Straße,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the street.,Das ist die Straße.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the street (plural),die Straßen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the station,der Bahnhof,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the station.,Das ist der Bahnhof.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the station (plural),die Bahnhöfe,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the airport,der Flughafen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the airport.,Das ist der Flughafen.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the airport (plural),die Flughäfen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the train,der Zug,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the train.,Das ist der Zug.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the train (plural),die Züge,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the car,das Auto,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the car.,Das ist das Auto.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the car (plural),die Autos,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the bike,das Fahrrad,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the bike.,Das ist das Fahrrad.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the bike (plural),die Fahrräder,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the ticket,die Fahrkarte,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the ticket.,Das ist die Fahrkarte.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the ticket (plural),die Fahrkarten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the money,das Geld,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the money.,Das ist das Geld.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the money (plural),die Gelder,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the card,die Karte,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the card.,Das ist die Karte.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the card (plural),die Karten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the bill,die Rechnung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the bill.,Das ist die Rechnung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the bill (plural),die Rechnungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the food,das Essen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the food.,Das ist das Essen.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the water,das Wasser,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the water.,Das ist das Wasser.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the coffee,der Kaffee,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the coffee.,Das ist der Kaffee.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the coffee (plural),die Kaffees,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the beer,das Bier,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the beer.,Das ist das Bier.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the beer (plural),die Biere,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the wine,der Wein,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the wine.,Das ist der Wein.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the wine (plural),die Weine,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the bread,das Brot,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the bread.,Das ist das Brot.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the bread (plural),die Brote,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the breakfast,das Frühstück,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the breakfast.,Das ist das Frühstück.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the breakfast (plural),die Frühstücke,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the lunch,das Mittagessen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the lunch.,Das ist das Mittagessen.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the dinner,das Abendessen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the dinner.,Das ist das Abendessen.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the day,der Tag,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the day.,Das ist der Tag.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the day (plural),die Tage,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the week,die Woche,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the week.,Das ist die Woche.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the week (plural),die Wochen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the month,der Monat,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the month.,Das ist der Monat.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the month (plural),die Monate,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the year,das Jahr,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the year.,Das ist das Jahr.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the year (plural),die Jahre,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the time,die Zeit,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the time.,Das ist die Zeit.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the time (plural),die Zeiten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the moment,der Moment,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the moment.,Das ist der Moment.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the moment (plural),die Momente,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the question,die Frage,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the question.,Das ist die Frage.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the question (plural),die Fragen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the answer,die Antwort,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the answer.,Das ist die Antwort.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the answer (plural),die Antworten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the problem,das Problem,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the problem.,Das ist das Problem.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the problem (plural),die Probleme,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the solution,die Lösung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the solution.,Das ist die Lösung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the solution (plural),die Lösungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the idea,die Idee,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the idea.,Das ist die Idee.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the idea (plural),die Ideen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the thought,der Gedanke,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the thought.,Das ist der Gedanke.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the thought (plural),die Gedanken,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the feeling,das Gefühl,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the feeling.,Das ist das Gefühl.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the feeling (plural),die Gefühle,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the fear,die Angst,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the fear.,Das ist die Angst.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the fear (plural),die Ängste,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the love,die Liebe,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the love.,Das ist die Liebe.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the trust,das Vertrauen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the trust.,Das ist das Vertrauen.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the clarity,die Klarheit,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the clarity.,Das ist die Klarheit.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the safety,die Sicherheit,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the safety.,Das ist die Sicherheit.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the safety (plural),die Sicherheiten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the boundary,die Grenze,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the boundary.,Das ist die Grenze.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the boundary (plural),die Grenzen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the decision,die Entscheidung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the decision.,Das ist die Entscheidung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the decision (plural),die Entscheidungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the responsibility,die Verantwortung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the responsibility.,Das ist die Verantwortung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the responsibility (plural),die Verantwortungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the truth,die Wahrheit,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the truth.,Das ist die Wahrheit.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the truth (plural),die Wahrheiten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the conversation,das Gespräch,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the conversation.,Das ist das Gespräch.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the conversation (plural),die Gespräche,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the conflict,der Konflikt,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the conflict.,Das ist der Konflikt.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the conflict (plural),die Konflikte,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the mistake,der Fehler,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the mistake.,Das ist der Fehler.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the mistake (plural),die Fehler,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the reason,der Grund,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the reason.,Das ist der Grund.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the reason (plural),die Gründe,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the situation,die Situation,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the situation.,Das ist die Situation.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the situation (plural),die Situationen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the state / condition,der Zustand,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the state / condition.,Das ist der Zustand.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the state / condition (plural),die Zustände,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the direction,die Richtung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the direction.,Das ist die Richtung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the direction (plural),die Richtungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the plan,der Plan,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the plan.,Das ist der Plan.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the plan (plural),die Pläne,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the work,die Arbeit,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the work.,Das ist die Arbeit.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the work (plural),die Arbeiten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the task,die Aufgabe,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the task.,Das ist die Aufgabe.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the task (plural),die Aufgaben,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the project,das Projekt,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the project.,Das ist das Projekt.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the project (plural),die Projekte,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the model,das Modell,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the model.,Das ist das Modell.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the model (plural),die Modelle,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the parameter,der Parameter,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the parameter.,Das ist der Parameter.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the parameter (plural),die Parameter,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the view,die Ansicht,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the view.,Das ist die Ansicht.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the view (plural),die Ansichten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the export,der Export,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the export.,Das ist der Export.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the export (plural),die Exporte,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the structure,die Struktur,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the structure.,Das ist die Struktur.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the structure (plural),die Strukturen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the system,das System,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the system.,Das ist das System.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the system (plural),die Systeme,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the process,der Prozess,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the process.,Das ist der Prozess.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the process (plural),die Prozesse,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the quality,die Qualität,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the quality.,Das ist die Qualität.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the quality (plural),die Qualitäten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the risk,das Risiko,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the risk.,Das ist das Risiko.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the risk (plural),die Risiken,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the change,die Änderung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the change.,Das ist die Änderung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the change (plural),die Änderungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the date / appointment,der Termin,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the date / appointment.,Das ist der Termin.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the date / appointment (plural),die Termine,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the deadline,die Frist,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the deadline.,Das ist die Frist.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the deadline (plural),die Fristen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the message,die Nachricht,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the message.,Das ist die Nachricht.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the message (plural),die Nachrichten,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the email,die E-Mail,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the email.,Das ist die E-Mail.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the email (plural),die E-Mails,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the file,die Datei,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the file.,Das ist die Datei.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the file (plural),die Dateien,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the folder,der Ordner,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
