word_id,english,target,article,plural,type,level,tags,hint,source_id,source
w074,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s074,"Wenn ich sage, ich möchte meinen Anwalt sprechen, und sie fragen: «Wen möchtest du sprechen? Deinen Anwalt?» – was soll ich dann antworten?"
w075,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s075,"Ich hab in meinem Leben noch keinen Anwalt gesehen, und ich weiß auch nicht, wozu ich einen brauche."
w076,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s076,"Ich weiß nicht mal, ob Rechtsanwalt dasselbe ist wie Anwalt."
w077,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s077,Oder Staatsanwalt.
w078,idea; knowledge,Ahnung,die,Ahnungen,noun,A2,knowledge,keine Ahnung = no idea.,s078,"So was Ähnliches wie ein Richter, nehme ich an, nur dass er auf meiner Seite steht und mehr Ahnung von Gesetzen hat als ich."
w079,idea; knowledge,Ahnung,die,Ahnungen,noun,A2,knowledge,keine Ahnung = no idea.,s079,"Aber mehr Ahnung von Gesetzen als ich hat hier praktisch jeder, der im Raum ist."
w080,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s080,Jeder Polizist vor allem.
w081,to ask; question,fragen,,,verb,A1,speech,fragen = to ask.,s081,Und die könnte ich natürlich fragen.
w082,older/younger one,Ältere,der,Älteren,noun,B1,people,Substantivized adjective.,s082,"Aber ich wette, wenn ich den Jüngeren frage, ob ich jetzt so eine Art Anwalt brauchen könnte, dann dreht der sich zu seinem Kollegen um und ruft: «Hey, Horst! Horschti! Komm mal her! Unser Held hier will wissen, ob er einen Anwalt braucht! Guck dir das an. Blutet den ganzen Boden voll, pisst sich in die Hosen wie ein Weltmeister und – will seinen Anwalt sprechen!»"
w083,laughter,Hahaha,,,phrase,A1,sounds,Laughter in writing.,s083,Hahaha.
w084,broken,kaputt,,,adjective,A2,condition,Colloquial adjective.,s084,Da lachen die sich natürlich kaputt.
w085,to make a fool of oneself,sich zum Obst machen,,,phrase,C1,idiom,Colloquial idiom.,s085,"Und ich finde, es geht mir schlecht genug, ich muss mich nicht auch noch zum Obst machen."
w086,to happen,passieren,,,verb,A2,events,Regular verb; also means pass.,s086,"Was passiert ist, ist passiert."
w087,to come,kommen,,,verb,A1,movement,Strong verb pattern.,s087,Mehr kommt jetzt nicht.
w088,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s088,Da kann auch der Anwalt nichts mehr ändern.
w089,to mess things up,Mist bauen,,,phrase,B2,colloquial,Literally: build manure.,s089,"Weil, dass wir Mist gebaut haben, könnte nur ein Geisteskranker abzustreiten versuchen."
w090,to be supposed to,sollen,,,verb,A1,modal verbs,Modal verb: ich soll.,s090,Was soll ich sagen?
w091,cleaning lady,Putzfrau,die,Putzfrauen,noun,B1,people,Compound noun.,s091,"Dass ich die ganze Woche zu Hause am Pool gelegen hab, fragen Sie die Putzfrau?"
w092,halves of pigs,Schweinehälfte,die,Schweinehälften,noun,B2,objects,Compound noun.,s092,Dass die Schweinehälften wie Regen vom Himmel gefallen sind?
w093,much; a lot,viel,,,adverb,A1,quantity,viel = much; viele = many.,s093,Viel kann ich jetzt wirklich nicht mehr tun.
w094,to pray,beten,,,verb,A2,religion,Regular verb.,s094,"Ich könnte noch gen Mekka beten und mir in die Hosen kacken, sonst sind nicht mehr viele Optionen offen."
w095,older/younger one,Ältere,der,Älteren,noun,B1,people,Substantivized adjective.,s095,"Der Jüngere, der eigentlich ganz nett aussieht, schüttelt den Kopf und wiederholt: «Fünfzehn ist Quatsch. Vierzehn. Mit vierzehn bist du strafmündig.»"
w096,honest,ehrlich,,,adjective,A2,speech,Um ehrlich zu sein = to be honest.,s096,"Wahrscheinlich sollte ich jetzt Schuldgefühle haben und Reue und alles, aber, ehrlich gesagt, ich fühle überhaupt nichts."
w097,dizzy; dizziness,schwindlig,,,adjective,A2,body,Mir ist schwindlig = I feel dizzy.,s097,Mir ist einfach nur wahnsinnig schwindlig.
w098,calf,Wade,die,Waden,noun,B1,body,Part of the leg.,s098,Ich kratze mich unten an meiner Wade.
w099,calf,Wade,die,Waden,noun,B1,body,Part of the leg.,s099,"Nur da, wo früher meine Wade war, ist jetzt nichts mehr."
w100,slime; mucus,Schleim,der,,noun,B2,body,Uncountable in many contexts.,s100,Ein violetter Streifen Schleim bleibt an meiner Hand kleben.
w101,to appear; occur,vorkommen,,,verb,B1,literature,Separable verb: kommt vor.,s101,"Das ist nicht mein Blut, hatte ich vorhin gesagt, als sie mich gefragt hatten."
w102,slime; mucus,Schleim,der,,noun,B2,body,Uncountable in many contexts.,s102,"Lag ja genug anderer Schleim auf der Straße, um den man sich kümmern konnte, und ich dachte wirklich, dass das nicht mein Blut ist."
w103,calf,Wade,die,Waden,noun,B1,body,Part of the leg.,s103,"Aber wenn das nicht mein Blut ist, wo ist denn jetzt meine Wade, frage ich mich?"
w104,pant leg,Hosenbein,das,Hosenbeine,noun,B1,clothing,Compound noun.,s104,Ich ziehe das Hosenbein hoch und gucke drunter.
w105,second,Sekunde,die,Sekunden,noun,A1,time,Time unit.,s105,"Dann habe ich noch genau eine Sekunde, um mich zu wundern."
w106,certainty; safety,Sicherheit,die,Sicherheiten,noun,B1,abstract,mit Sicherheit = certainly.,s106,"Wenn ich das im Film sehen müsste, würde mir mit Sicherheit übel, denke ich, und tatsächlich wird mir jetzt übel, auf dieser Station der Autobahnpolizei, was ja auch irgendwie beruhigend ist."
w107,linoleum,Linoleum,das,,noun,B2,materials,Flooring material.,s107,"Für einen kurzen Moment sehe ich noch mein Spiegelbild auf dem Linoleum auf mich zukommen, und dann knallt es, und ich bin weg."
w108,carp,Karpfen,der,Karpfen,noun,B2,animals,A fish.,s108,Der Arzt macht den Mund auf und zu wie ein Karpfen.
w109,second,Sekunde,die,Sekunden,noun,A1,time,Time unit.,s109,"Es dauert ein paar Sekunden, bis Worte rauskommen."
w110,to scream,schreien,,,verb,A2,speech,"Strong verb: schreit, schrie, geschrien.",s110,Der Arzt schreit.
w111,to scream,schreien,,,verb,A2,speech,"Strong verb: schreit, schrie, geschrien.",s111,Warum schreit denn jetzt der Arzt?
w112,to scream,schreien,,,verb,A2,speech,"Strong verb: schreit, schrie, geschrien.",s112,Er schreit die kleine Frau an.
w113,uniformed person,Uniformierte,der,Uniformierten,noun,B2,people,Substantivized adjective.,s113,"Dann mischt sich der Uniformierte ein, eine blaue Uniform."
w114,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s114,"Ein Polizist, den ich noch nicht kenne."
w115,to reprimand,zurechtweisen,,,verb,C1,speech,Separable verb.,s115,Er weist den Arzt zurecht.
w116,anyway; at all,überhaupt,,,adverb,A2,particles,Used for emphasis in questions.,s116,"Woher weiß ich überhaupt, dass das ein Arzt ist?"
w117,coat; smock,Kittel,der,Kittel,noun,B1,clothing,Doctor’s coat.,s117,Er trägt einen weißen Kittel.
w118,baker,Bäcker,der,Bäcker,noun,A2,jobs,Same singular and plural.,s118,Könnte also auch ein Bäcker sein.
w119,coat; smock,Kittel,der,Kittel,noun,B1,clothing,Doctor’s coat.,s119,Aber in der Kitteltasche hat er eine Metalltaschenlampe und so ein Horchding.
w120,baker,Bäcker,der,Bäcker,noun,A2,jobs,Same singular and plural.,s120,"Was soll ein Bäcker mit dem Horchding, Brötchen abhorchen?"
w121,probably will,schon,,,adverb,B1,particles,schon can soften certainty.,s121,Wird schon ein Arzt sein.
w122,this,dieser,,,pronoun,A1,demonstratives,Demonstrative pronoun.,s122,Und dieser Arzt zeigt jetzt auf meinen Kopf und brüllt.
w123,blanket,Bettdecke,die,Bettdecken,noun,A2,objects,Bed cover.,s123,"Ich taste unter der Bettdecke herum, wo meine Beine sind."
w124,naked,nackt,,,adjective,A2,body,Plain adjective.,s124,Sie sind nackt.
w125,to feel,fühlen,,,verb,A1,body,sich fühlen = to feel.,s125,Fühlen sich auch nicht mehr bepisst an oder blutig.
w126,where,wo,,,adverb,A1,questions,Question word for place.,s126,Wo bin ich denn hier?
w127,to lie,liegen,,,verb,A1,position,Position verb.,s127,Ich liege auf dem Rücken.
w128,above; up top,oben,,,adverb,A1,place,Opposite of unten.,s128,Oben ist alles gelb.
w129,glance; look,Blick,der,Blicke,noun,A2,sight,Blick zur Seite = glance to the side.,s129,"Blick zur Seite: große, dunkle Fenster."
w130,to appear; occur,vorkommen,,,verb,B1,literature,Separable verb: kommt vor.,s130,Andere Seite: weißer Plastikvorhang.
w131,hospital,Krankenhaus,das,Krankenhäuser,noun,A2,health,Plural has umlaut.,s131,"Krankenhaus, würde ich sagen."
w132,to fit,passen,,,verb,A2,state,Das passt = that fits.,s132,Das passt ja auch zum Arzt.
w133,coat; smock,Kittel,der,Kittel,noun,B1,clothing,Doctor’s coat.,s133,"Und klar, die kleine Frau trägt auch einen Kittel und einen Schreibblock."
w134,maybe,vielleicht,,,adverb,A1,particles,Common uncertainty adverb.,s134,"Und welches Krankenhaus, vielleicht die Charité?"
w135,idea; knowledge,Ahnung,die,Ahnungen,noun,A2,knowledge,keine Ahnung = no idea.,s135,"Nee, keine Ahnung."
w136,Berlin,Berlin,das,,noun,A1,place,City name; usually no article in use.,s136,Ich bin ja nicht in Berlin.
w137,to pay attention to,beachten,,,verb,B1,attention,jemanden beachten.,s137,"Mal fragen, denke ich, aber niemand beachtet mich."
w138,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s138,"Weil, dem Polizisten gefällt das nämlich nicht, wie er da von dem Arzt angeschrien wird, und er schreit zurück, aber da schreit dann der Arzt noch lauter – und da merkt man interessanterweise, wer hier das Sagen hat."
w139,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s139,"Das Sagen hat nämlich eindeutig der Arzt und nicht der Polizist, und ich bin so erschöpft und auch irgendwie glücklich und müde, ich bin von innen wie mit Glück ausgepolstert und schlafe wieder ein, ohne ein Wort zu sagen."
w140,happiness; luck,Glück,das,,noun,A2,emotion,Can mean luck or happiness.,s140,"Das Glück, stellt sich später raus, heißt Valium."
w141,syringe; injection,Spritze,die,Spritzen,noun,B1,health,Medical noun.,s141,Es wird mit großen Spritzen verteilt.
w142,next time,nächstes Mal,,,phrase,A2,time,das nächste Mal = next time.,s142,"Als ich das nächste Mal aufwache, ist alles hell."
w143,large windows,Fenster,das,Fenster,noun,A1,objects,Same singular and plural.,s143,In den großen Fenstern steht die Sonne.
w144,soles of the feet,Fußsohle,die,Fußsohlen,noun,B2,body,Compound noun.,s144,An meinen Fußsohlen wird herumgekratzt.
w145,nurse,Krankenschwester,die,Krankenschwestern,noun,A2,health,Traditional word for nurse.,s145,"Aha, schon wieder ein Arzt, ein anderer diesmal, und eine Krankenschwester hat er auch wieder dabei."
w146,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s146,Keine Polizisten.
w147,feet,Fuß,der,Füße,noun,A1,body,Plural has umlaut.,s147,"Nur dass der Arzt so an meinen Füßen kratzt, ist nicht angenehm."
w148,why,warum,,,adverb,A1,questions,Question word for reason.,s148,Warum kratzt der denn so?
w149,nurse,Krankenschwester,die,Krankenschwestern,noun,A2,health,Traditional word for nurse.,s149,"«Er ist aufgewacht», bemerkt die Krankenschwester."
w150,witty; clever,geistreich,,,adjective,B2,description,nicht sehr geistreich = not very clever.,s150,Nicht sehr geistreich.
w151,to go,gehen,,,verb,A1,movement,Very common irregular verb.,s151,"«Ah, aha.» Der Arzt schaut mich an. «Wie geht es dir?»"
w152,pfff,Pfff,,,phrase,A1,sounds,Nonverbal sound.,s152,"Ich will etwas sagen, aber aus meinem Mund kommt nur: «Pfff.»"
w153,to go,gehen,,,verb,A1,movement,Very common irregular verb.,s153,"«Wie geht es dir? Weißt du, wie du heißt?»"
w154,pfff,Pfff,,,phrase,A1,sounds,Nonverbal sound.,s154,«Pfff-fäh?»
w155,to ask; question,fragen,,,verb,A1,speech,fragen = to ask.,s155,Was ist das denn für eine Frage?
w156,crazy,meschugge,,,adjective,C1,colloquial,Colloquial loanword.,s156,Halten die mich für meschugge?
w157,to look,schauen,,,verb,A1,sight,Common verb for looking.,s157,"Ich schaue den Arzt an, und er schaut mich an, und dann beugt er sich über mich und leuchtet mir mit einer Taschenlampe in die Augen."
w158,interrogation,Verhör,das,Verhöre,noun,B2,law,Official questioning.,s158,Ist das ein Verhör?
w159,to confess,gestehen,,,verb,B2,law,Strong verb-like pattern.,s159,Soll ich meinen Namen gestehen oder was?
w160,to torture; torture,foltern,,,verb,B2,violence,foltern = to torture.,s160,Ist das hier das Folterkrankenhaus?
w161,eyelids,Augenlid,das,Augenlider,noun,B2,body,Compound noun.,s161,"Und wenn, kann er dann bitte mal kurz aufhören, meine Augenlider hochzuziehen, oder wenigstens so tun, als würde er sich für meine Antwort interessieren?"
w162,however,allerdings,,,adverb,B1,connectors,Signals contrast.,s162,Allerdings antworte ich gar nicht.
w163,anyway; at all,überhaupt,,,adverb,A2,particles,Used for emphasis in questions.,s163,"Weil, während ich noch überlege, ob ich Maik Klingenberg sagen soll oder einfach nur Maik oder Klinge oder Attila der Hunnenkönig – das sagt mein Vater immer, wenn er Stress hat, wenn er den ganzen Tag wieder nur Hiobsbotschaften gehört hat, dann trinkt er zwei Jägermeister und meldet sich am Telefon mit Attila der Hunnenkönig –, ich meine, während ich noch am Überlegen bin, ob ich überhaupt etwas sagen soll oder ob man sich das nicht letztlich sparen kann in dieser Situation, redet der Arzt schon irgendwas von «vier hiervon» und «drei davon», und ich schlafe wieder ein."
w164,hospitals,Krankenhaus,das,Krankenhäuser,noun,A2,health,Plural with umlaut.,s164,"Über Krankenhäuser kann man ja viel sagen, aber nicht, dass es da nicht schön ist."
w165,hospital,Krankenhaus,das,Krankenhäuser,noun,A2,health,Plural has umlaut.,s165,Ich bin immer wahnsinnig gern im Krankenhaus.
w166,nurse,Krankenschwester,die,Krankenschwestern,noun,A2,health,Traditional word for nurse.,s166,"Man macht den ganzen Tag nichts, und dann kommen die Krankenschwestern."
w167,to see; look,sehen,,,verb,A1,sight,"Strong verb: sieht, sah, gesehen.",s167,Die Schwestern sind alle sehr jung und superfreundlich.
w168,coat; smock,Kittel,der,Kittel,noun,B1,clothing,Doctor’s coat.,s168,"Und sie tragen diese dünnen weißen Kittel, die ich so toll finde, wo man immer gleich sieht, was für Unterwäsche sie anhaben."
w169,why,warum,,,adverb,A1,questions,Question word for reason.,s169,"Warum ich das so toll finde, weiß ich übrigens auch nicht."
w170,coat; smock,Kittel,der,Kittel,noun,B1,clothing,Doctor’s coat.,s170,"Weil, wenn jemand mit so einem Kittel auf der Straße rumlaufen würde, würde ich das albern finden."
w171,hospital,Krankenhaus,das,Krankenhäuser,noun,A2,health,Plural has umlaut.,s171,Aber im Krankenhaus ist es toll.
w172,opinion,Meinung,die,Meinungen,noun,A1,speech,Meine Meinung = my opinion.,s172,Meine Meinung.
w173,fear,Angst,die,Ängste,noun,A2,emotion,vor Angst = from fear.,s173,"Das ist ein bisschen wie in Mafiafilmen, wo einen die Gangster immer eine Minute schweigend angucken, bevor sie antworten."
w174,silence,Schweigen,das,,noun,B1,communication,Nominalized verb.,s174,«Hey!» Eine Minute Schweigen. «Sieh mir in die Augen!» Fünf Minuten Schweigen.
w175,silly,albern,,,adjective,B1,description,Useful everyday adjective.,s175,Im richtigen Leben ist das albern.
w176,mafia,Mafia,die,,noun,B1,society,Same loanword as English.,s176,"Aber wenn man bei der Mafia ist, eben nicht."
w177,nurse,Krankenschwester,die,Krankenschwestern,noun,A2,health,Traditional word for nurse.,s177,Meine Lieblingskrankenschwester kommt aus dem Libanon und heißt Hanna.
w178,underwear,Unterwäsche,die,,noun,A2,clothing,Usually singular mass noun.,s178,Hanna hat kurzes schwarzes Haar und trägt normale Unterwäsche.
w179,underwear,Unterwäsche,die,,noun,A2,clothing,Usually singular mass noun.,s179,Und das ist auch toll: normale Unterwäsche.
w180,underwear,Unterwäsche,die,,noun,A2,clothing,Usually singular mass noun.,s180,Diese andere Unterwäsche sieht ja auch immer ein bisschen traurig aus.
w181,most,meisten,,,pronoun,A2,quantity,bei den meisten = for most people.,s181,Bei den meisten.
