english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
trust,Vertrauen,das,,noun,neutral,core;noun,,,true,A1,,
clarity,Klarheit,die,,noun,neutral,core;noun,,,true,A1,,
safety,Sicherheit,die,Sicherheiten,noun,neutral,core;noun,,,true,A1,,
boundary,Grenze,die,Grenzen,noun,neutral,core;noun,,,true,A1,,
decision,Entscheidung,die,Entscheidungen,noun,neutral,core;noun,,,true,A1,,
responsibility,Verantwortung,die,Verantwortungen,noun,neutral,core;noun,,,true,A1,,
truth,Wahrheit,die,Wahrheiten,noun,neutral,core;noun,,,true,A1,,
conversation,Gespräch,das,Gespräche,noun,neutral,core;noun,,,true,A1,,
conflict,Konflikt,der,Konflikte,noun,neutral,core;noun,,,true,A1,,
mistake,Fehler,der,Fehler,noun,neutral,core;noun,,,true,A1,,
reason,Grund,der,Gründe,noun,neutral,core;noun,,,true,A1,,
situation,Situation,die,Situationen,noun,neutral,core;noun,,,true,A1,,
state / condition,Zustand,der,Zustände,noun,neutral,core;noun,,,true,A1,,
direction,Richtung,die,Richtungen,noun,neutral,core;noun,,,true,A1,,
plan,Plan,der,Pläne,noun,neutral,core;noun,,,true,A1,,
work,Arbeit,die,Arbeiten,noun,neutral,core;noun,,,true,A1,,
task,Aufgabe,die,Aufgaben,noun,neutral,core;noun,,,true,A1,,
project,Projekt,das,Projekte,noun,neutral,core;noun,,,true,A1,,
model,Modell,das,Modelle,noun,neutral,core;noun,,,true,A1,,
parameter,Parameter,der,Parameter,noun,neutral,core;noun,,,true,A1,,
view,Ansicht,die,Ansichten,noun,neutral,core;noun,,,true,A1,,
export,Export,der,Exporte,noun,neutral,core;noun,,,true,A1,,
structure,Struktur,die,Strukturen,noun,neutral,core;noun,,,true,A1,,
system,System,das,Systeme,noun,neutral,core;noun,,,true,A1,,
process,Prozess,der,Prozesse,noun,neutral,core;noun,,,true,A1,,
quality,Qualität,die,Qualitäten,noun,neutral,core;noun,,,true,A1,,
risk,Risiko,das,Risiken,noun,neutral,core;noun,,,true,A1,,
change,Änderung,die,Änderungen,noun,neutral,core;noun,,,true,A1,,
date / appointment,Termin,der,Termine,noun,neutral,core;noun,,,true,A1,,
deadline,Frist,die,Fristen,noun,neutral,core;noun,,,true,A1,,
message,Nachricht,die,Nachrichten,noun,neutral,core;noun,,,true,A1,,
email,E-Mail,die,E-Mails,noun,neutral,core;noun,,,true,A1,,
file,Datei,die,Dateien,noun,neutral,core;noun,,,true,A1,,
folder,Ordner,der,Ordner,noun,neutral,core;noun,,,true,A1,,
phone,Telefon,das,Telefone,noun,neutral,core;noun,,,true,A1,,
computer,Computer,der,Computer,noun,neutral,core;noun,,,true,A1,,
app,App,die,Apps,noun,neutral,core;noun,,,true,A1,,
language,Sprache,die,Sprachen,noun,neutral,core;noun,,,true,A1,,
word,Wort,das,Wörter,noun,neutral,core;noun,,,true,A1,,
sentence,Satz,der,Sätze,noun,neutral,core;noun,,,true,A1,,
expression,Ausdruck,der,Ausdrücke,noun,neutral,core;noun,,,true,A1,,
example,Beispiel,das,Beispiele,noun,neutral,core;noun,,,true,A1,,
level,Niveau,das,Niveaus,noun,neutral,core;noun,,,true,A1,,
article,Artikel,der,Artikel,noun,neutral,core;noun,,,true,A1,,
plural,Plural,der,Plurale,noun,neutral,core;noun,,,true,A1,,
grammar,Grammatik,die,Grammatiken,noun,neutral,core;noun,,,true,A1,,
