"lexeme_id","english","target","article","pos","level"
"de.adverb.sicher","certainly","sicher","","adverb","A2"
"de.adverb.viel","much","viel","","adverb","A2"
"de.adverb.jetzt","now","jetzt","","adverb","A2"
"de.questionadverb.wo","where","wo","","question adverb","A2"
"de.verb.fragen","ask","fragen","","verb","A2"
"de.adverb.zuletzt","lastly","zuletzt","","adverb","A2"
"de.noun.autobahn","motorway","Autobahn","die","noun","A2"
"de.prepositionparticle.an","at/on","an","","preposition/particle","A2"
"de.verb.sehen","see","sehen","","verb","A2"
"de.contraction.ins","into the","ins","","contraction","A2"
"de.noun.bein","leg","Bein","das","noun","A2"
"de.noun.gebuesch","bushes","Gebüsch","das","noun","A2"
"de.verb.huepfen","hop","hüpfen","","verb","B1"
"de.adverb.auch","also","auch","","adverb","A2"
"de.noun.polizei","police","Polizei","die","noun","A2"
"de.verb.fangen","caught","fangen","","verb","B1"
"de.verb.vermuten","assume/suspect","vermuten","","verb","B1"
"de.adverb.weit","far","weit","","adverb","A2"
"de.preposition.mit","with","mit","","preposition","A2"
"de.pronoun.man","one/people","man","","pronoun","A2"
"de.verb.kommen","come","kommen","","verb","A2"
"de.preposition.nach","after/to/according to","nach","","preposition","A2"
"de.verb.koennen","can","können","","verb","A2"
"de.adverb.vielleicht","perhaps","vielleicht","","adverb","A2"
"de.pronoun.sie","she/her/they/them","sie","","pronoun","A2"
"de.adverb.dann","then","dann","","adverb","A2"
"de.noun.freund","friend/boyfriend","Freund","der","noun","A2"
"de.verb.erwaehnen","mention","erwähnen","","verb","B1"
"de.verb.sollen","should","sollen","","verb","A2"
"de.contraction.zum","to the","zum","","contraction","A2"
"de.noun.folter","torture","Folter","die","noun","B1"
"de.verb.bringen","bring","bringen","","verb","A2"
"de.verb.reden","talk","reden","","verb","A2"
"de.adj.deutsch","German","deutsch","","adjective","A2"
"de.adverb.foltern","foltern","foltern","","adverb","A2"
"de.adverb.niemanden","niemanden","niemanden","","adverb","A2"
"de.verb.duerfen","may/be allowed","dürfen","","verb","B1"
"de.verb.erinnern","remind","erinnern","","verb","B1"
"de.phrase.klappe_halten","keep quiet","die Klappe halten","","phrase","B1"
"de.verb.raten","advise","raten","","verb","B1"
"de.adverb.egal","unimportant","egal","","adverb","A2"
"de.adverb.fast","almost","fast","","adverb","A2"
"de.conjunction.weil","because","weil","","conjunction","A2"
"de.pronoun.alles","everything","alles","","pronoun","A2"
"de.verb.zustimmen","agree","zustimmen","","verb","A2"
"de.adverb.bestimmt","definitely","bestimmt","","adverb","A2"
"de.noun.person","person","Person","die","noun","A2"
"de.name.tatjana_cosic","Tatjana Cosic","Tatjana Cosic","","name","A2"
"de.verb.heissen","be called","heißen","","verb","B1"
"de.adverb.ploetzlich","suddenly","ploetzlich","","adverb","A2"
"de.verb.denken","think","denken","","verb","A2"
"de.verb.kaempfen","struggle","kämpfen","","verb","B1"
"de.adverb.wieder","again","wieder","","adverb","A2"
"de.noun.wasser","water","Wasser","das","noun","A2"
"de.verb.ausgiessen","pour out","ausgießen","","verb","A2"
"de.verb.einfuellen","fill","einfüllen","","verb","A2"
"de.adj.lose","loose","lose","","adjective","A2"
"de.noun.stecker","plug","Stecker","der","noun","A2"
"de.verb.bemerken","notice","bemerken","","verb","B1"
"de.adj.ganz","whole","ganz","","adjective","A2"
"de.article.das","the","das","","article","A2"
"de.name.tatjana","Tatjana","Tatjana","","name","A2"
"de.noun.abenteuer","adventure","Abenteuer","das","noun","A2"
"de.preposition.wegen","because of","wegen","","preposition","B1"
"de.verb.beginnen","begin","beginnen","","verb","B1"
"de.adj.wirklich","real","wirklich","","adjective","A2"
"de.adverb.dabei","in the process/yet","dabei","","adverb","B1"
"de.particle.gar","at all","gar","","particle","A2"
"de.adj.schoen","beautiful","schön","","adjective","A2"
"de.noun.maedchen","girl","Mädchen","das","noun","A2"
"de.noun.welt","world","Welt","die","noun","A2"
"de.preposition.fuer","for","fuer","","preposition","A2"
"de.noun.blick","look/gaze","Blick","der","noun","A2"
"de.possessive.ihr","her/their","ihr","","possessive","A2"
"de.verb.sich_vorstellen.imagine","imagine","sich vorstellen","","verb","A2"
"de.contraction.im","in the","im","","contraction","A2"
"de.noun.kornfeld","cornfield","Kornfeld","das","noun","B1"
"de.noun.vorstellung","imagination","Vorstellung","die","noun","B1"
"de.noun.muellberg","rubbish hill","Müllberg","der","noun","B1"
"de.adj.dumm","foolish","dumm","","adjective","A2"
"de.adverb.dort","there","dort","","adverb","A2"
"de.noun.buendel","bundle","Bündel","das","noun","B1"
"de.noun.schlauch","hoses","Schlauch","der","noun","B1"
"de.noun.freude","joy","Freude","die","noun","A2"
"de.verb.teilen","share","teilen","","verb","B1"
"de.adj.froh","glad","froh","","adjective","A2"
"de.pronominaladverb.davon","of that/from it","davon","","pronominal adverb","B1"
"de.pronoun.nichts","nothing","nichts","","pronoun","A2"
"de.adj.gruen","green","grün","","adjective","A2"
"de.noun.papiertuch","paper towel","Papiertuch","das","noun","A2"
"de.verb.geben","give","geben","","verb","A2"
"de.noun.boden","floor/ground","Boden","der","noun","A2"
"de.verb.wischen","wipe","wischen","","verb","B1"
"de.noun.nase","nose","Nase","die","noun","A2"
"de.verb.zeigen","show/point","zeigen","","verb","A2"
"de.adverb.endlich","finally","endlich","","adverb","A2"
"de.verb.putzen","clean/blow","putzen","","verb","B1"
"de.verb.verstehen","understand","verstehen","","verb","B1"
"de.adj.freundlich","friendly","freundlich","","adjective","A2"
"de.verb.anlaecheln","smile at","anlächeln","","verb","A2"
"de.adj.unwahrscheinlich","unlikely","unwahrscheinlich","","adjective","A2"
"de.adverb.also","therefore/so","also","","adverb","A2"
"de.adverb.ziemlich","quite","ziemlich","","adverb","A2"
"de.verb.wirken","seem","wirken","","verb","B1"
"de.adj.grau","grey","grau","","adjective","A2"
"de.noun.turnhalle","gym","Turnhalle","die","noun","A2"
"de.noun.linoleum","linoleum","Linoleum","das","noun","B1"
"de.noun.schweiss","sweat","Schweiß","der","noun","B1"
"de.noun.station","station","Station","die","noun","A2"
"de.noun.urin","urine","Urin","der","noun","B1"
"de.name.wolkow","Wolkow","Wolkow","","name","A2"
"de.noun.sportlehrer","sports teacher","Sportlehrer","der","noun","A2"
"de.adj.jung","young","jung","","adjective","A2"
"de.adj.laut","loud","laut","","adjective","A2"
"de.verb.antreiben","urge on","antreiben","","verb","B1"
"de.noun.halle","hall/gym","Halle","die","noun","A2"
"de.noun.trainingsanzug","tracksuit","Trainingsanzug","der","noun","A2"
"de.verb.tragen","wear/carry","tragen","","verb","A2"
"de.adverb.achte","eighth","achte","","adverb","A2"
"de.name.berlin","Berlin","Berlin","","name","A2"
"de.noun.klasse","class/grade","Klasse","die","noun","A2"
"de.adj.wichtig","important","wichtig","","adjective","A2"
"de.adverb.fuenfzehn","fifteen","fünfzehn","","adverb","A2"
"de.noun.zahl","number","Zahl","die","noun","A2"
"de.verb.korrigieren","correct","korrigieren","","verb","B1"
"de.adj.strafmuendig","criminally responsible","strafmündig","","adjective","A2"
"de.noun.anwalt","lawyer","Anwalt","der","noun","B1"
"de.particlepreposition.zu","to","zu","","particle/preposition","A2"
"de.verb.ueberlegen","consider","überlegen","","verb","B1"
"de.verb.verlangen","demand","verlangen","","verb","B1"
"de.questionpronoun.was","what","was","","question pronoun","A2"
"de.verb.machen","make/do","machen","","verb","A2"
"de.preposition.ueber","over/about","ueber","","preposition","A2"
"de.verb.fuerchten","fear","fürchten","","verb","B1"
"de.verb.lachen","laugh","lachen","","verb","B1"
"de.adverb.genug","enough","genug","","adverb","A2"
"de.adverb.laecherlich","lächerlich","lächerlich","","adverb","A2"
"de.adverb.schon","already","schon","","adverb","A2"
"de.noun.tatsache","facts","Tatsache","die","noun","B1"
"de.pronoun.niemand","nobody","niemand","","pronoun","A2"
"de.verb.leugnen","deny","leugnen","","verb","B1"
"de.determiner.kein","no/not a","kein","","determiner","A2"
"de.noun.geschehene","what happened","Geschehene","das","noun","B1"
"de.verb.aendern","change","ändern","","verb","B1"
"de.noun.reue","regret","Reue","die","noun","B1"
"de.noun.schuld","guilt","Schuld","die","noun","B1"
"de.verb.glauben","believe","glauben","","verb","A2"
"de.noun.stattdessen","Stattdessen","Stattdessen","","noun","B1"
"de.adverb.unten","below","unten","","adverb","A2"
"de.contraction.am","at the","am","","contraction","A2"
"de.verb.kratzen","scratch","kratzen","","verb","B1"
"de.adj.violett","purple","violett","","adjective","A2"
"de.noun.hand","hand","Hand","die","noun","A2"
"de.noun.schleim","slime","Schleim","der","noun","B1"
"de.verb.bleiben","stay","bleiben","","verb","A2"
"de.adverb.vorher","beforehand","vorher","","adverb","A2"
"de.preposition.von","from/of","von","","preposition","A2"
"de.noun.wade","calf","Wade","die","noun","B1"
"de.noun.hosenbein","trouser leg","Hosenbein","das","noun","A2"
"de.pronominaladverb.darunter","underneath","darunter","","pronominal adverb","B1"
"de.verb.hochziehen","pull up","hochziehen","","verb","A2"
"de.verb.schauen","look","schauen","","verb","B1"
"de.adj.krank","sick","krank","","adjective","A2"
"de.adverb.sofort","immediately","sofort","","adverb","A2"
"de.noun.anblick","sight","Anblick","der","noun","B1"
"de.noun.spiegelbild","reflection","Spiegelbild","das","noun","B1"
"de.adverb.bewusstlos","unconscious","bewusstlos","","adverb","A2"
"de.contraction.vom","from the","vom","","contraction","A2"
"de.verb.fallen","fall","fallen","","verb","A2"
