"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s021","21","4","Watson has often seen the stairs to the room.","Watson hat die Treppe zum Zimmer oft gesehen.","","","Watson hat die Treppe|zum Zimmer oft gesehen.","de.perfekt.haben","A1.1"
"s022","22","5","But he does not know how many steps there are.","Aber er weiß nicht, wie viele Stufen es gibt.","","","Aber er weiß nicht,|wie viele Stufen es gibt.","de.indirect-question","A1.1"
"s023","23","5","Holmes knows that there are seventeen.","Holmes weiß, dass es siebzehn sind.","","","Holmes weiß,|dass es siebzehn sind.","de.subordinate.dass","A1.1"
"s024","24","5","He has both seen and observed them.","Er hat sie gesehen und beobachtet.","","","Er hat sie gesehen|und beobachtet.","de.perfekt.haben","A1.1"
"s025","25","5","Then Holmes gives Watson a pink letter.","Dann gibt Holmes Watson einen rosa Brief.","","","Dann gibt Holmes Watson|einen rosa Brief.","de.wordorder.verb-second","A1.1"
"s026","26","5","The letter has no name and no address.","Der Brief hat keinen Namen und keine Adresse.","","","Der Brief hat keinen Namen|und keine Adresse.","","A1.1"
"s027","27","5","A visitor will come at a quarter to eight.","Ein Besucher will um Viertel vor acht kommen.","","","Ein Besucher will um|Viertel vor acht kommen.","de.modal.infinitive-final","A1.1"
"s028","28","5","The visitor may wear a mask.","Der Besucher kann eine Maske tragen.","","","Der Besucher kann eine Maske|tragen.","de.modal.infinitive-final","A1.1"
"s029","29","6","Holmes does not guess without facts.","Holmes rät nicht ohne Fakten.","","","Holmes rät nicht ohne Fakten.","","A1.1"
"s030","30","6","First he studies the paper.","Zuerst untersucht er das Papier.","","","Zuerst untersucht er das Papier.","de.wordorder.verb-second","A1.1"
"s031","31","6","It is thick, expensive and not English.","Es ist dick, teuer und nicht englisch.","","","Es ist dick,|teuer|und nicht englisch.","","A1.1"
"s032","32","6","There are German letters in the paper.","Im Papier stehen deutsche Buchstaben.","","","Im Papier stehen deutsche Buchstaben.","de.wordorder.verb-second","A1.1"
"s033","33","6","Holmes finds the place in a large book.","Holmes findet den Ort in einem großen Buch.","","","Holmes findet den Ort|in einem großen Buch.","","A1.1"
"s034","34","6","The paper comes from Bohemia.","Das Papier kommt aus Böhmen.","","","Das Papier kommt aus Böhmen.","","A1.1"
"s035","35","6","The strange word order also sounds German.","Auch die seltsame Wortstellung klingt deutsch.","","","Auch die seltsame Wortstellung klingt|deutsch.","de.wordorder.verb-second","A1.1"
"s036","36","6","Soon they hear horses in the street.","Bald hören sie Pferde auf der Straße.","","","Bald hören sie Pferde|auf der Straße.","de.wordorder.verb-second","A1.1"
"s037","37","7","An expensive carriage stops outside.","Eine teure Kutsche hält vor dem Haus.","","","Eine teure Kutsche hält|vor dem Haus.","","A1.1"
"s038","38","7","Watson wants to leave.","Watson will gehen.","","","Watson will gehen.","de.modal.infinitive-final","A1.1"
"s039","39","7","Holmes asks him to stay and help.","Holmes bittet ihn, zu bleiben und zu helfen.","","","Holmes bittet ihn,|zu bleiben|und zu helfen.","de.zu-infinitive","A1.1"
"s040","40","7","A very tall man enters the room.","Ein sehr großer Mann betritt das Zimmer.","","","Ein sehr großer Mann|betritt das Zimmer.","","A1.1"
"s041","41","7","He wears rich clothes and a black mask.","Er trägt prächtige Kleidung und eine schwarze Maske.","","","Er trägt prächtige Kleidung|und eine schwarze Maske.","","A1.1"
"s042","42","7","He calls himself Count von Kramm.","Er nennt sich Graf von Kramm.","","","Er nennt sich Graf von|Kramm.","de.reflexive.accusative","A1.1"
"s043","43","8","The count wants to speak to Holmes alone.","Der Graf will mit Holmes allein sprechen.","","","Der Graf will mit|Holmes allein sprechen.","de.modal.infinitive-final","A1.1"
"s044","44","8","Holmes says that Watson stays or both men leave.","Holmes sagt: Watson bleibt, oder beide Männer gehen.","","","Holmes sagt:|Watson bleibt,|oder beide Männer gehen.","de.subordinate.dass","A1.1"
"s045","45","8","The visitor asks them to keep the case secret.","Der Besucher bittet sie, den Fall geheim zu halten.","","","Der Besucher bittet sie,|den Fall geheim zu halten.","de.zu-infinitive","A1.1"
"s046","46","8","The case may influence the history of Europe.","Der Fall kann die Geschichte Europas verändern.","","","Der Fall kann die|Geschichte Europas verändern.","de.modal.infinitive-final","A1.1"
"s047","47","8","Holmes already knows who the visitor is.","Holmes weiß schon, wer der Besucher ist.","","","Holmes weiß schon,|wer der Besucher ist.","de.indirect-question","A1.1"
"s048","48","8","The man is the King of Bohemia.","Der Mann ist der König von Böhmen.","","","Der Mann ist der|König von Böhmen.","","A1.1"
"s049","49","8","The king removes his mask.","Der König nimmt seine Maske ab.","","","Der König nimmt seine Maske|ab.","de.sep.prefix-split","A1.1"
"s050","50","8","Five years ago he met Irene Adler in Warsaw.","Vor fünf Jahren hat er Irene Adler in Warschau kennengelernt.","","","Vor fünf Jahren hat|er Irene Adler in Warschau|kennengelernt.","de.perfekt.haben","A1.1"
"s051","51","9","She was a famous singer.","Sie war eine berühmte Sängerin.","","","Sie war eine berühmte Sängerin.","","A1.1"
"s052","52","9","The young prince wrote private letters to her.","Der junge Prinz schrieb ihr private Briefe.","","","Der junge Prinz schrieb|ihr private Briefe.","de.praeteritum.strong","A1.1"
"s053","53","9","There is also a photograph of them together.","Es gibt auch ein Foto von ihnen zusammen.","","","Es gibt auch ein|Foto von ihnen zusammen.","","A1.1"
"s054","54","9","That photograph can prove their relationship.","Dieses Foto kann ihre Beziehung beweisen.","","","Dieses Foto kann ihre Beziehung|beweisen.","de.modal.infinitive-final","A1.1"
"s055","55","9","The king is now going to marry a Scandinavian princess.","Der König will jetzt eine skandinavische Prinzessin heiraten.","","","Der König will jetzt|eine skandinavische Prinzessin heiraten.","de.modal.infinitive-final","A1.1"
"s056","56","9","Her family must never see the photograph.","Die Familie der Prinzessin darf das Foto niemals sehen.","","","Die Familie der Prinzessin|darf das Foto niemals sehen.","de.modal.infinitive-final","A1.1"
"s057","57","10","Irene has promised to send it on Monday.","Irene hat versprochen, es am Montag zu schicken.","","","Irene hat versprochen,|es am Montag zu schicken.","de.perfekt.haben","A1.1"
"s058","58","10","On Monday the engagement becomes public.","Am Montag wird die Verlobung öffentlich.","","","Am Montag wird die Verlobung|öffentlich.","de.wordorder.verb-second","A1.1"
"s059","59","10","The king believes Irene wants to ruin the wedding.","Der König glaubt, dass Irene die Hochzeit zerstören will.","","","Der König glaubt,|dass Irene die Hochzeit zerstören|will.","de.subordinate.dass","A1.1"
"s060","60","10","Holmes asks whether she will sell the photograph.","Holmes fragt, ob sie das Foto verkaufen wird.","","","Holmes fragt,|ob sie das Foto verkaufen|wird.","de.subordinate.ob","A1.1"
"s061","61","10","She will not sell it.","Sie will es nicht verkaufen.","","","Sie will es nicht verkaufen.","de.modal.infinitive-final","A1.1"
"s062","62","10","The king’s men have searched her house twice.","Die Männer des Königs haben ihr Haus zweimal durchsucht.","","","Die Männer des Königs|haben ihr Haus zweimal durchsucht.","de.perfekt.haben","A1.1"
"s063","63","10","They have also stopped her carriage and luggage.","Sie haben auch ihre Kutsche und ihr Gepäck angehalten.","","","Sie haben auch ihre Kutsche|und ihr Gepäck angehalten.","de.perfekt.haben","A1.1"
"s064","64","10","But they have found nothing.","Aber sie haben nichts gefunden.","","","Aber sie haben nichts gefunden.","de.perfekt.haben","A1.1"
"s065","65","11","Holmes smiles because the problem interests him.","Holmes lächelt, weil ihn das Problem interessiert.","","","Holmes lächelt,|weil ihn das Problem interessiert.","de.subordinate.weil","A1.1"
"s066","66","11","We still have three days, he says.","„Wir haben noch drei Tage“, sagt er.","","","„Wir haben noch drei Tage“,|sagt er.","","A1.1"
"s067","67","11","The king gives Holmes money for the investigation.","Der König gibt Holmes Geld für die Untersuchung.","","","Der König gibt Holmes|Geld für die Untersuchung.","","A1.1"
"s068","68","11","He would even give a province for the photograph.","Er würde sogar eine Provinz für das Foto geben.","","","Er würde sogar eine|Provinz für das Foto geben.","de.konjunktiv2.wuerde","A1.1"
"s069","69","11","Irene lives at Briony Lodge in St John’s Wood.","Irene wohnt in Briony Lodge in St John’s Wood.","","","Irene wohnt in Briony|Lodge in St John’s Wood.","","A1.1"
"s070","70","11","Holmes writes down the address.","Holmes schreibt die Adresse auf.","","","Holmes schreibt die Adresse auf.","de.sep.prefix-split","A1.1"
"s071","71","11","He asks Watson to return the next afternoon.","Er bittet Watson, am nächsten Nachmittag zurückzukommen.","","","Er bittet Watson,|am nächsten Nachmittag zurückzukommen.","de.zu-infinitive","A1.1"
"s072","72","11","The royal carriage disappears into the night.","Die königliche Kutsche verschwindet in der Nacht.","","","Die königliche Kutsche verschwindet|in der Nacht.","","A1.1"
