"lexeme_id","english","target","article","pos","sense","level","rank","tags"
"it.lex.qualcosa","something","qualcosa","","","","","32","core-3000"
"it.lex.niente-nulla","nothing","niente / nulla","","","","","33","core-3000"
"it.lex.tutti-ognuno","everyone","tutti / ognuno","","","","","34","core-3000"
"it.lex.tutto","everything","tutto","","","","","35","core-3000"
"it.lex.entrambi","both","entrambi","","","","","36","core-3000"
"it.lex.l-un-l-altro","each other","l'un l'altro","","","","","37","core-3000"
"it.lex.questo-questa","this","questo / questa","","","","","38","core-3000"
"it.lex.quello-quella","that","quello / quella","","","","","39","core-3000"
"it.lex.questi-queste","these","questi / queste","","","","","40","core-3000"
"it.lex.quelli-quelle","those","quelli / quelle","","","","","41","core-3000"
"it.lex.qui-qua","here","qui / qua","","","","","42","core-3000"
"it.lex.li-la","there","lì / là","","","","","43","core-3000"
"it.lex.zero","zero","zero","","","","","44","core-3000"
"it.lex.uno","one","uno","","","","","45","core-3000"
"it.lex.due","two","due","","","","","46","core-3000"
"it.lex.tre","three","tre","","","","","47","core-3000"
"it.lex.quattro","four","quattro","","","","","48","core-3000"
"it.lex.cinque","five","cinque","","","","","49","core-3000"
"it.lex.sei","six","sei","","","","","50","core-3000"
"it.lex.sette","seven","sette","","","","","51","core-3000"
"it.lex.otto","eight","otto","","","","","52","core-3000"
"it.lex.nove","nine","nove","","","","","53","core-3000"
"it.lex.dieci","ten","dieci","","","","","54","core-3000"
"it.lex.undici","eleven","undici","","","","","55","core-3000"
"it.lex.dodici","twelve","dodici","","","","","56","core-3000"
"it.lex.tredici","thirteen","tredici","","","","","57","core-3000"
"it.lex.quattordici","fourteen","quattordici","","","","","58","core-3000"
"it.lex.quindici","fifteen","quindici","","","","","59","core-3000"
"it.lex.sedici","sixteen","sedici","","","","","60","core-3000"
"it.lex.diciassette","seventeen","diciassette","","","","","61","core-3000"
"it.lex.diciotto","eighteen","diciotto","","","","","62","core-3000"
"it.lex.diciannove","nineteen","diciannove","","","","","63","core-3000"
"it.lex.venti","twenty","venti","","","","","64","core-3000"
"it.lex.ventuno","twenty-one","ventuno","","","","","65","core-3000"
"it.lex.trenta","thirty","trenta","","","","","66","core-3000"
"it.lex.quaranta","forty","quaranta","","","","","67","core-3000"
"it.lex.cinquanta","fifty","cinquanta","","","","","68","core-3000"
"it.lex.sessanta","sixty","sessanta","","","","","69","core-3000"
"it.lex.settanta","seventy","settanta","","","","","70","core-3000"
"it.lex.ottanta","eighty","ottanta","","","","","71","core-3000"
"it.lex.novanta","ninety","novanta","","","","","72","core-3000"
"it.lex.cento","hundred","cento","","","","","73","core-3000"
"it.lex.mille","thousand","mille","","","","","74","core-3000"
"it.lex.un-milione","million","un milione","","","","","75","core-3000"
"it.lex.un-miliardo","billion","un miliardo","","","","","76","core-3000"
"it.lex.primo-prima","first","primo / prima","","","","","77","core-3000"
"it.lex.secondo-seconda","second","secondo / seconda","","","","","78","core-3000"
"it.lex.terzo-terza","third","terzo / terza","","","","","79","core-3000"
"it.lex.quarto","fourth","quarto","","","","","80","core-3000"
"it.lex.quinto","fifth","quinto","","","","","81","core-3000"
"it.lex.sesto","sixth","sesto","","","","","82","core-3000"
"it.lex.settimo","seventh","settimo","","","","","83","core-3000"
"it.lex.ottavo","eighth","ottavo","","","","","84","core-3000"
"it.lex.nono","ninth","nono","","","","","85","core-3000"
"it.lex.decimo","tenth","decimo","","","","","86","core-3000"
"it.lex.una-volta","once","una volta","","","","","87","core-3000"
"it.lex.due-volte","twice","due volte","","","","","88","core-3000"
"it.lex.tre-volte","three times","tre volte","","","","","89","core-3000"
"it.lex.meta","half","metà","","","","","90","core-3000"
"it.lex.un-quarto","a quarter","un quarto","","","","","91","core-3000"
"it.lex.un-terzo","a third","un terzo","","","","","92","core-3000"
"it.lex.una-dozzina","a dozen","una dozzina","","","","","93","core-3000"
"it.lex.un-paio","a pair","un paio","","","","","94","core-3000"
"it.lex.uomo","man","uomo","","","","","95","core-3000"
"it.lex.donna","woman","donna","","","","","96","core-3000"
"it.lex.bambino-bambina","child","bambino / bambina","","","","","97","core-3000"
"it.lex.ragazzo","boy","ragazzo","","","","","98","core-3000"
"it.lex.ragazza","girl","ragazza","","","","","99","core-3000"
"it.lex.bebe-neonato","baby","bebè / neonato","","","","","100","core-3000"
"it.lex.persona","person","persona","","","","","101","core-3000"
"it.lex.adulto","adult","adulto","","","","","102","core-3000"
"it.lex.adolescente","teenager","adolescente","","","","","103","core-3000"
"it.lex.padre","father","padre","","","","","104","core-3000"
"it.lex.madre","mother","madre","","","","","105","core-3000"
"it.lex.figlio","son","figlio","","","","","106","core-3000"
"it.lex.figlia","daughter","figlia","","","","","107","core-3000"
"it.lex.fratello","brother","fratello","","","","","108","core-3000"
"it.lex.sorella","sister","sorella","","","","","109","core-3000"
"it.lex.marito","husband","marito","","","","","110","core-3000"
"it.lex.moglie","wife","moglie","","","","","111","core-3000"
"it.lex.nonno","grandfather","nonno","","","","","112","core-3000"
"it.lex.nonna","grandmother","nonna","","","","","113","core-3000"
"it.lex.nipote-m.grandson","grandson","nipote (m)","","","","","114","core-3000"
"it.lex.nipote-f.granddaughter","granddaughter","nipote (f)","","","","","115","core-3000"
"it.lex.zio","uncle","zio","","","","","116","core-3000"
"it.lex.zia","aunt","zia","","","","","117","core-3000"
"it.lex.cugino","cousin (m)","cugino","","","","","118","core-3000"
"it.lex.cugina","cousin (f)","cugina","","","","","119","core-3000"
"it.lex.nipote-m.nephew","nephew","nipote (m)","","","","","120","core-3000"
"it.lex.nipote-f.niece","niece","nipote (f)","","","","","121","core-3000"
"it.lex.amico","friend (m)","amico","","","","","122","core-3000"
"it.lex.amica","friend (f)","amica","","","","","123","core-3000"
"it.lex.vicino.neighbor-m","neighbor (m)","vicino","","","","","124","core-3000"
"it.lex.vicina","neighbor (f)","vicina","","","","","125","core-3000"
"it.lex.collega-m","colleague (m)","collega (m)","","","","","126","core-3000"
"it.lex.collega-f","colleague (f)","collega (f)","","","","","127","core-3000"
"it.lex.partner-compagno","partner","partner / compagno","","","","","128","core-3000"
"it.lex.ospite","guest","ospite","","","","","129","core-3000"
"it.lex.straniero","stranger","straniero","","","","","130","core-3000"
"it.lex.genitori","parents","genitori","","","","","131","core-3000"
"it.lex.gemelli","twins","gemelli","","","","","132","core-3000"
"it.lex.patrigno","stepfather","patrigno","","","","","133","core-3000"
"it.lex.matrigna","stepmother","matrigna","","","","","134","core-3000"
"it.lex.padrino","godfather","padrino","","","","","135","core-3000"
"it.lex.madrina","godmother","madrina","","","","","136","core-3000"
"it.lex.fidanzato","fiancé (m)","fidanzato","","","","","137","core-3000"
"it.lex.fidanzata","fiancé (f)","fidanzata","","","","","138","core-3000"
"it.lex.ex","ex-partner","ex","","","","","139","core-3000"
"it.lex.suocero-suocera","in-law","suocero / suocera","","","","","140","core-3000"
"it.lex.medico-dottore","doctor (m)","medico / dottore","","","","","141","core-3000"
"it.lex.dottoressa","doctor (f)","dottoressa","","","","","142","core-3000"
"it.lex.infermiere","nurse (m)","infermiere","","","","","143","core-3000"
"it.lex.infermiera","nurse (f)","infermiera","","","","","144","core-3000"
"it.lex.insegnante-professore","teacher (m)","insegnante / professore","","","","","145","core-3000"
"it.lex.professoressa","teacher (f)","professoressa","","","","","146","core-3000"
"it.lex.studente","student (m)","studente","","","","","147","core-3000"
"it.lex.studentessa","student (f)","studentessa","","","","","148","core-3000"
"it.lex.alunno-allievo","pupil","alunno / allievo","","","","","149","core-3000"
"it.lex.professore","professor","professore","","","","","150","core-3000"
"it.lex.avvocato","lawyer (m)","avvocato","","","","","151","core-3000"
"it.lex.avvocatessa","lawyer (f)","avvocatessa","","","","","152","core-3000"
"it.lex.giudice","judge","giudice","","","","","153","core-3000"
"it.lex.ingegnere","engineer","ingegnere","","","","","154","core-3000"
"it.lex.architetto","architect","architetto","","","","","155","core-3000"
"it.lex.scienziato","scientist","scienziato","","","","","156","core-3000"
"it.lex.programmatore","programmer","programmatore","","","","","157","core-3000"
"it.lex.designer-progettista","designer","designer / progettista","","","","","158","core-3000"
"it.lex.artista","artist","artista","","","","","159","core-3000"
"it.lex.scrittore-scrittrice","writer","scrittore / scrittrice","","","","","160","core-3000"
"it.lex.giornalista","journalist","giornalista","","","","","161","core-3000"
"it.lex.fotografo","photographer","fotografo","","","","","162","core-3000"
"it.lex.musicista","musician","musicista","","","","","163","core-3000"
"it.lex.cantante","singer","cantante","","","","","164","core-3000"
"it.lex.attore","actor","attore","","","","","165","core-3000"
"it.lex.attrice","actress","attrice","","","","","166","core-3000"
"it.lex.regista","director","regista","","","","","167","core-3000"
"it.lex.pittore","painter","pittore","","","","","168","core-3000"
"it.lex.chef-cuoco","chef","chef / cuoco","","","","","169","core-3000"
"it.lex.cuoco-cuoca","cook","cuoco / cuoca","","","","","170","core-3000"
"it.lex.cameriere","waiter (m)","cameriere","","","","","171","core-3000"
"it.lex.cameriera","waiter (f)","cameriera","","","","","172","core-3000"
"it.lex.fornaio-panettiere","baker","fornaio / panettiere","","","","","173","core-3000"
"it.lex.macellaio","butcher","macellaio","","","","","174","core-3000"
"it.lex.agricoltore-contadino","farmer","agricoltore / contadino","","","","","175","core-3000"
"it.lex.autista-guidatore","driver","autista / guidatore","","","","","176","core-3000"
"it.lex.pilota","pilot","pilota","","","","","177","core-3000"
"it.lex.marinaio","sailor","marinaio","","","","","178","core-3000"
"it.lex.soldato","soldier","soldato","","","","","179","core-3000"
"it.lex.poliziotto","police officer","poliziotto","","","","","180","core-3000"
"it.lex.pompiere-vigile-del-fuoco","firefighter","pompiere / vigile del fuoco","","","","","181","core-3000"
"it.lex.postino","postman","postino","","","","","182","core-3000"
"it.lex.elettricista","electrician","elettricista","","","","","183","core-3000"
"it.lex.meccanico","mechanic","meccanico","","","","","184","core-3000"
"it.lex.contabile","accountant","contabile","","","","","185","core-3000"
"it.lex.manager-direttore","manager","manager / direttore","","","","","186","core-3000"
"it.lex.capo","boss","capo","","","","","187","core-3000"
"it.lex.dipendente-impiegato","employee","dipendente / impiegato","","","","","188","core-3000"
"it.lex.dentista","dentist","dentista","","","","","189","core-3000"
"it.lex.farmacista","pharmacist","farmacista","","","","","190","core-3000"
"it.lex.psicologo","psychologist","psicologo","","","","","191","core-3000"
"it.lex.politico","politician","politico","","","","","192","core-3000"
"it.lex.prete-sacerdote","priest","prete / sacerdote","","","","","193","core-3000"
"it.lex.veterinario","veterinarian","veterinario","","","","","194","core-3000"
"it.lex.economista","economist","economista","","","","","195","core-3000"
"it.lex.segretario-segretaria","secretary","segretario / segretaria","","","","","196","core-3000"
"it.lex.receptionist","receptionist","receptionist","","","","","197","core-3000"
"it.lex.idraulico","plumber","idraulico","","","","","198","core-3000"
"it.lex.falegname","carpenter","falegname","","","","","199","core-3000"
"it.lex.parrucchiere-parrucchiera","hairdresser","parrucchiere / parrucchiera","","","","","200","core-3000"
"it.lex.testa","head","testa","","","","","201","core-3000"
"it.lex.viso-faccia","face","viso / faccia","","","","","202","core-3000"
"it.lex.occhio","eye","occhio","","","","","203","core-3000"
"it.lex.orecchio","ear","orecchio","","","","","204","core-3000"
"it.lex.naso","nose","naso","","","","","205","core-3000"
"it.lex.bocca","mouth","bocca","","","","","206","core-3000"
"it.lex.dente","tooth","dente","","","","","207","core-3000"
"it.lex.lingua.tongue","tongue","lingua","","","","","208","core-3000"
"it.lex.labbro","lip","labbro","","","","","209","core-3000"
"it.lex.mento","chin","mento","","","","","210","core-3000"
"it.lex.guancia","cheek","guancia","","","","","211","core-3000"
"it.lex.fronte","forehead","fronte","","","","","212","core-3000"
"it.lex.capelli","hair","capelli","","","","","213","core-3000"
"it.lex.collo","neck","collo","","","","","214","core-3000"
"it.lex.gola","throat","gola","","","","","215","core-3000"
"it.lex.spalla","shoulder","spalla","","","","","216","core-3000"
"it.lex.braccio","arm","braccio","","","","","217","core-3000"
"it.lex.gomito","elbow","gomito","","","","","218","core-3000"
"it.lex.polso.wrist","wrist","polso","","","","","219","core-3000"
"it.lex.mano","hand","mano","","","","","220","core-3000"
"it.lex.dito","finger","dito","","","","","221","core-3000"
"it.lex.pollice","thumb","pollice","","","","","222","core-3000"
"it.lex.unghia","nail","unghia","","","","","223","core-3000"
"it.lex.petto","chest","petto","","","","","224","core-3000"
"it.lex.schiena","back","schiena","","","","","225","core-3000"
"it.lex.stomaco-pancia","stomach","stomaco / pancia","","","","","226","core-3000"
"it.lex.anca-fianco","hip","anca / fianco","","","","","227","core-3000"
"it.lex.gamba","leg","gamba","","","","","228","core-3000"
"it.lex.ginocchio","knee","ginocchio","","","","","229","core-3000"
"it.lex.caviglia","ankle","caviglia","","","","","230","core-3000"
"it.lex.piede","foot","piede","","","","","231","core-3000"
"it.lex.dito-del-piede","toe","dito del piede","","","","","232","core-3000"
"it.lex.cuore","heart","cuore","","","","","233","core-3000"
"it.lex.polmone","lung","polmone","","","","","234","core-3000"
"it.lex.fegato","liver","fegato","","","","","235","core-3000"
"it.lex.rene","kidney","rene","","","","","236","core-3000"
"it.lex.cervello","brain","cervello","","","","","237","core-3000"
"it.lex.osso","bone","osso","","","","","238","core-3000"
"it.lex.muscolo","muscle","muscolo","","","","","239","core-3000"
"it.lex.pelle","skin","pelle","","","","","240","core-3000"
"it.lex.sangue","blood","sangue","","","","","241","core-3000"
"it.lex.nervo","nerve","nervo","","","","","242","core-3000"
"it.lex.spina-dorsale","spine","spina dorsale","","","","","243","core-3000"
"it.lex.costola","rib","costola","","","","","244","core-3000"
"it.lex.vena","vein","vena","","","","","245","core-3000"
"it.lex.pane","bread","pane","","","","","246","core-3000"
"it.lex.panino","roll","panino","","","","","247","core-3000"
"it.lex.burro","butter","burro","","","","","248","core-3000"
"it.lex.latte","milk","latte","","","","","249","core-3000"
"it.lex.uovo","egg","uovo","","","","","250","core-3000"
"it.lex.formaggio","cheese","formaggio","","","","","251","core-3000"
"it.lex.carne","meat","carne","","","","","252","core-3000"
"it.lex.pollo","chicken","pollo","","","","","253","core-3000"
"it.lex.manzo","beef","manzo","","","","","254","core-3000"
"it.lex.maiale.pork","pork","maiale","","","","","255","core-3000"
"it.lex.pesce","fish","pesce","","","","","256","core-3000"
"it.lex.gambero","shrimp","gambero","","","","","257","core-3000"
"it.lex.salsiccia","sausage","salsiccia","","","","","258","core-3000"
"it.lex.prosciutto.ham","ham","prosciutto","","","","","259","core-3000"
"it.lex.zuppa-minestra","soup","zuppa / minestra","","","","","260","core-3000"
"it.lex.insalata","salad","insalata","","","","","261","core-3000"
"it.lex.pasta","pasta","pasta","","","","","262","core-3000"
"it.lex.riso","rice","riso","","","","","263","core-3000"
"it.lex.pizza","pizza","pizza","","","","","264","core-3000"
"it.lex.patata","potato","patata","","","","","265","core-3000"
"it.lex.pomodoro","tomato","pomodoro","","","","","266","core-3000"
"it.lex.cetriolo","cucumber","cetriolo","","","","","267","core-3000"
"it.lex.carota","carrot","carota","","","","","268","core-3000"
"it.lex.cipolla","onion","cipolla","","","","","269","core-3000"
"it.lex.aglio","garlic","aglio","","","","","270","core-3000"
"it.lex.pepe","pepper (spice)","pepe","","","","","271","core-3000"
"it.lex.sale","salt","sale","","","","","272","core-3000"
"it.lex.zucchero","sugar","zucchero","","","","","273","core-3000"
"it.lex.olio","oil","olio","","","","","274","core-3000"
"it.lex.aceto","vinegar","aceto","","","","","275","core-3000"
"it.lex.senape","mustard","senape","","","","","276","core-3000"
"it.lex.mela","apple","mela","","","","","277","core-3000"
"it.lex.pera","pear","pera","","","","","278","core-3000"
"it.lex.banana","banana","banana","","","","","279","core-3000"
"it.lex.arancia","orange","arancia","","","","","280","core-3000"
"it.lex.fragola","strawberry","fragola","","","","","281","core-3000"
"it.lex.ciliegia","cherry","ciliegia","","","","","282","core-3000"
"it.lex.uva","grape","uva","","","","","283","core-3000"
"it.lex.limone","lemon","limone","","","","","284","core-3000"
"it.lex.pesca","peach","pesca","","","","","285","core-3000"
"it.lex.prugna","plum","prugna","","","","","286","core-3000"
"it.lex.anguria","watermelon","anguria","","","","","287","core-3000"
"it.lex.melone","melon","melone","","","","","288","core-3000"
"it.lex.acqua","water","acqua","","","","","289","core-3000"
"it.lex.succo","juice","succo","","","","","290","core-3000"
"it.lex.caffe","coffee","caffè","","","","","291","core-3000"
"it.lex.te","tea","tè","","","","","292","core-3000"
"it.lex.birra","beer","birra","","","","","293","core-3000"
"it.lex.vino","wine","vino","","","","","294","core-3000"
"it.lex.limonata","lemonade","limonata","","","","","296","core-3000"
"it.lex.acqua-frizzante","sparkling water","acqua frizzante","","","","","297","core-3000"
"it.lex.acqua-naturale","flat water","acqua naturale","","","","","298","core-3000"
"it.lex.cocktail","cocktail","cocktail","","","","","299","core-3000"
"it.lex.caffe-espresso","espresso","caffè espresso","","","","","300","core-3000"
"it.lex.cappuccino","cappuccino","cappuccino","","","","","301","core-3000"
"it.lex.torta","cake","torta","","","","","302","core-3000"
"it.lex.biscotto","cookie","biscotto","","","","","303","core-3000"
"it.lex.cioccolato","chocolate","cioccolato","","","","","304","core-3000"
"it.lex.gelato.ice-cream","ice cream","gelato","","","","","305","core-3000"
"it.lex.marmellata","jam","marmellata","","","","","306","core-3000"
"it.lex.miele","honey","miele","","","","","307","core-3000"
"it.lex.farina","flour","farina","","","","","308","core-3000"
"it.lex.colazione","breakfast","colazione","","","","","309","core-3000"
"it.lex.pranzo","lunch","pranzo","","","","","310","core-3000"
"it.lex.cena","dinner","cena","","","","","311","core-3000"
"it.lex.spuntino","snack","spuntino","","","","","312","core-3000"
"it.lex.dolce-dessert","dessert","dolce / dessert","","","","","313","core-3000"
"it.lex.ricetta.recipe","recipe","ricetta","","","","","314","core-3000"
"it.lex.pasto","meal","pasto","","","","","315","core-3000"
"it.lex.menu","menu","menù","","","","","316","core-3000"
"it.lex.piatto.dish","dish","piatto","","","","","317","core-3000"
"it.lex.ingrediente","ingredient","ingrediente","","","","","318","core-3000"
"it.lex.fungo","mushroom","fungo","","","","","319","core-3000"
"it.lex.spinaci","spinach","spinaci","","","","","320","core-3000"
"it.lex.broccoli","broccoli","broccoli","","","","","321","core-3000"
"it.lex.mais","corn","mais","","","","","322","core-3000"
"it.lex.pisello","pea","pisello","","","","","323","core-3000"
"it.lex.fagiolo","bean","fagiolo","","","","","324","core-3000"
"it.lex.lattuga","lettuce","lattuga","","","","","325","core-3000"
"it.lex.carciofo","artichoke","carciofo","","","","","326","core-3000"
"it.lex.melanzana","eggplant","melanzana","","","","","327","core-3000"
"it.lex.zucchina","zucchini","zucchina","","","","","328","core-3000"
"it.lex.peperone","pepper (vegetable)","peperone","","","","","329","core-3000"
"it.lex.oliva","olive","oliva","","","","","330","core-3000"
"it.lex.olio-d-oliva","olive oil","olio d'oliva","","","","","331","core-3000"
"it.lex.panna","cream","panna","","","","","332","core-3000"
"it.lex.yogurt","yogurt","yogurt","","","","","333","core-3000"
"it.lex.salsa","sauce","salsa","","","","","334","core-3000"
"it.lex.condimento","dressing","condimento","","","","","335","core-3000"
"it.lex.porzione","portion","porzione","","","","","336","core-3000"
"it.lex.gusto-sapore","taste","gusto / sapore","","","","","337","core-3000"
"it.lex.sapore","flavor","sapore","","","","","338","core-3000"
"it.lex.casa","house","casa","","","","","339","core-3000"
"it.lex.appartamento","apartment","appartamento","","","","","340","core-3000"
"it.lex.edificio","building","edificio","","","","","341","core-3000"
"it.lex.stanza-camera","room","stanza / camera","","","","","342","core-3000"
"it.lex.cucina.kitchen","kitchen","cucina","","","","","343","core-3000"
"it.lex.bagno","bathroom","bagno","","","","","344","core-3000"
"it.lex.camera-da-letto","bedroom","camera da letto","","","","","345","core-3000"
"it.lex.salotto-soggiorno","living room","salotto / soggiorno","","","","","346","core-3000"
"it.lex.sala-da-pranzo","dining room","sala da pranzo","","","","","347","core-3000"
"it.lex.corridoio-ingresso","hallway","corridoio / ingresso","","","","","348","core-3000"
"it.lex.cantina","cellar","cantina","","","","","349","core-3000"
"it.lex.soffitta","attic","soffitta","","","","","350","core-3000"
"it.lex.garage","garage","garage","","","","","351","core-3000"
"it.lex.giardino","garden","giardino","","","","","352","core-3000"
"it.lex.balcone","balcony","balcone","","","","","353","core-3000"
"it.lex.terrazza","terrace","terrazza","","","","","354","core-3000"
"it.lex.scale","stairs","scale","","","","","355","core-3000"
"it.lex.ascensore","elevator","ascensore","","","","","356","core-3000"
"it.lex.porta","door","porta","","","","","357","core-3000"
"it.lex.finestra","window","finestra","","","","","358","core-3000"
"it.lex.muro-parete","wall","muro / parete","","","","","359","core-3000"
"it.lex.pavimento","floor","pavimento","","","","","360","core-3000"
"it.lex.soffitto","ceiling","soffitto","","","","","361","core-3000"
"it.lex.tetto","roof","tetto","","","","","362","core-3000"
"it.lex.letto","bed","letto","","","","","363","core-3000"
"it.lex.divano","sofa","divano","","","","","364","core-3000"
"it.lex.poltrona","armchair","poltrona","","","","","365","core-3000"
"it.lex.tavolo","table","tavolo","","","","","366","core-3000"
"it.lex.sedia","chair","sedia","","","","","367","core-3000"
"it.lex.scrivania","desk","scrivania","","","","","368","core-3000"
"it.lex.scaffale","shelf","scaffale","","","","","369","core-3000"
"it.lex.armadio","wardrobe","armadio","","","","","370","core-3000"
"it.lex.cassetto","drawer","cassetto","","","","","371","core-3000"
"it.lex.specchio","mirror","specchio","","","","","372","core-3000"
"it.lex.lampada","lamp","lampada","","","","","373","core-3000"
"it.lex.tappeto","carpet","tappeto","","","","","374","core-3000"
"it.lex.tenda","curtain","tenda","","","","","375","core-3000"
"it.lex.cuscino","pillow","cuscino","","","","","376","core-3000"
"it.lex.coperta","blanket","coperta","","","","","377","core-3000"
"it.lex.asciugamano","towel","asciugamano","","","","","378","core-3000"
"it.lex.chiave","key","chiave","","","","","379","core-3000"
"it.lex.serratura","lock","serratura","","","","","380","core-3000"
"it.lex.campanello.bell","bell","campanello","","","","","381","core-3000"
"it.lex.lavatrice","washing machine","lavatrice","","","","","382","core-3000"
"it.lex.lavastoviglie","dishwasher","lavastoviglie","","","","","383","core-3000"
"it.lex.frigorifero","refrigerator","frigorifero","","","","","384","core-3000"
"it.lex.microonde","microwave","microonde","","","","","385","core-3000"
"it.lex.aspirapolvere","vacuum cleaner","aspirapolvere","","","","","386","core-3000"
"it.lex.macchina-del-caffe","coffee machine","macchina del caffè","","","","","387","core-3000"
"it.lex.rubinetto","tap / faucet","rubinetto","","","","","388","core-3000"
"it.lex.interruttore","light switch","interruttore","","","","","389","core-3000"
"it.lex.presa-elettrica","power outlet","presa elettrica","","","","","390","core-3000"
"it.lex.cestino-bidone","trash can","cestino / bidone","","","","","391","core-3000"
"it.lex.forno","oven","forno","","","","","392","core-3000"
"it.lex.tostapane","toaster","tostapane","","","","","393","core-3000"
"it.lex.bollitore","kettle","bollitore","","","","","394","core-3000"
"it.lex.aria-condizionata","air conditioning","aria condizionata","","","","","395","core-3000"
"it.lex.riscaldamento","heating","riscaldamento","","","","","396","core-3000"
"it.lex.via-strada","street","via / strada","","","","","397","core-3000"
"it.lex.strada","road","strada","","","","","398","core-3000"
"it.lex.sentiero-percorso","path","sentiero / percorso","","","","","399","core-3000"
"it.lex.ponte","bridge","ponte","","","","","400","core-3000"
"it.lex.piazza","square","piazza","","","","","401","core-3000"
"it.lex.parco","park","parco","","","","","402","core-3000"
"it.lex.citta","city","città","","","","","403","core-3000"
"it.lex.paese-villaggio","village","paese / villaggio","","","","","404","core-3000"
"it.lex.quartiere","district","quartiere","","","","","405","core-3000"
"it.lex.quartiere-vicinato","neighborhood","quartiere / vicinato","","","","","406","core-3000"
"it.lex.centro-citta","city center","centro città","","","","","407","core-3000"
"it.lex.periferia.suburb","suburb","periferia","","","","","408","core-3000"
"it.lex.paese-nazione","country","paese / nazione","","","","","409","core-3000"
"it.lex.regione","region","regione","","","","","410","core-3000"
"it.lex.confine","border","confine","","","","","411","core-3000"
"it.lex.aeroporto","airport","aeroporto","","","","","412","core-3000"
"it.lex.stazione","train station","stazione","","","","","413","core-3000"
"it.lex.fermata-dell-autobus","bus stop","fermata dell'autobus","","","","","414","core-3000"
"it.lex.metropolitana","subway","metropolitana","","","","","415","core-3000"
"it.lex.tram","tram","tram","","","","","416","core-3000"
"it.lex.taxi","taxi","taxi","","","","","417","core-3000"
"it.lex.macchina-auto","car","macchina / auto","","","","","418","core-3000"
"it.lex.autobus","bus","autobus","","","","","419","core-3000"
"it.lex.treno","train","treno","","","","","420","core-3000"
"it.lex.aereo","plane","aereo","","","","","421","core-3000"
"it.lex.nave","ship","nave","","","","","422","core-3000"
"it.lex.bicicletta","bicycle","bicicletta","","","","","423","core-3000"
"it.lex.moto","motorcycle","moto","","","","","424","core-3000"
"it.lex.traffico","traffic","traffico","","","","","425","core-3000"
"it.lex.semaforo","traffic light","semaforo","","","","","426","core-3000"
"it.lex.parcheggio","parking lot","parcheggio","","","","","427","core-3000"
"it.lex.autostrada.highway","highway","autostrada","","","","","428","core-3000"
"it.lex.biglietto","ticket","biglietto","","","","","429","core-3000"
"it.lex.mappa-cartina","map","mappa / cartina","","","","","430","core-3000"
"it.lex.ingorgo","traffic jam","ingorgo","","","","","431","core-3000"
"it.lex.patente","driving license","patente","","","","","432","core-3000"
"it.lex.stazione-di-servizio","fuel station","stazione di servizio","","","","","433","core-3000"
"it.lex.rotatoria","roundabout","rotatoria","","","","","434","core-3000"
"it.lex.strisce-pedonali","pedestrian crossing","strisce pedonali","","","","","435","core-3000"
"it.lex.pista-ciclabile","bicycle lane","pista ciclabile","","","","","436","core-3000"
"it.lex.senso-unico","one-way street","senso unico","","","","","437","core-3000"
"it.lex.incrocio.intersection","intersection","incrocio","","","","","438","core-3000"
"it.lex.galleria-tunnel","tunnel","galleria / tunnel","","","","","439","core-3000"
