"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s019","19","3","A minute later Irene leaves her house too.","Eine Minute später verlässt auch Irene ihr Haus.","","","Eine Minute später verlässt|auch Irene ihr Haus.","de.wordorder.verb-second","A1.2"
"s020","20","3","She wants to reach the same church in twenty minutes.","Sie will dieselbe Kirche in zwanzig Minuten erreichen.","","","Sie will dieselbe Kirche|in zwanzig Minuten erreichen.","de.modal.infinitive-final","A1.2"
"s021","21","3","Holmes quickly finds another carriage.","Holmes findet schnell eine andere Kutsche.","","","Holmes findet schnell eine andere|Kutsche.","","A1.2"
"s022","22","3","He follows them to the Church of Saint Monica.","Er folgt ihnen zur Kirche Saint Monica.","","","Er folgt ihnen zur|Kirche Saint Monica.","","A1.2"
"s023","23","4","Inside, Norton and Irene stand before a priest.","Drinnen stehen Norton und Irene vor einem Priester.","","","Drinnen stehen Norton|und Irene vor einem Priester.","de.wordorder.verb-second","A1.2"
"s024","24","4","The priest cannot marry them without a witness.","Der Priester kann sie ohne einen Zeugen nicht trauen.","","","Der Priester kann sie|ohne einen Zeugen nicht trauen.","de.modal.infinitive-final","A1.2"
"s025","25","4","Norton sees the disguised Holmes.","Norton sieht den verkleideten Holmes.","","","Norton sieht den verkleideten Holmes.","","A1.2"
"s026","26","4","He asks the strange stableman to help as a witness.","Er bittet den fremden Stallknecht, als Zeuge zu helfen.","","","Er bittet den fremden Stallknecht,|als Zeuge zu helfen.","de.zu-infinitive","A1.2"
"s027","27","4","Holmes unexpectedly witnesses Irene’s wedding.","Holmes wird unerwartet Zeuge von Irenes Hochzeit.","","","Holmes wird unerwartet Zeuge|von Irenes Hochzeit.","","A1.2"
"s028","28","4","Irene gives him a gold coin as thanks.","Irene gibt ihm zum Dank eine Goldmünze.","","","Irene gibt ihm zum|Dank eine Goldmünze.","","A1.2"
"s029","29","5","After the wedding Irene and Norton separate.","Nach der Hochzeit trennen sich Irene und Norton.","","","Nach der Hochzeit trennen sich|Irene|und Norton.","de.reflexive.accusative","A1.2"
"s030","30","5","Norton drives to his office.","Norton fährt zu seinem Büro.","","","Norton fährt zu seinem Büro.","","A1.2"
"s031","31","5","Irene returns to Briony Lodge.","Irene kehrt nach Briony Lodge zurück.","","","Irene kehrt nach Briony Lodge|zurück.","de.sep.prefix-split","A1.2"
"s032","32","5","She says she will take her usual drive at five.","Sie sagt, dass sie um fünf ihre normale Fahrt machen wird.","","","Sie sagt,|dass sie um fünf|ihre normale Fahrt machen wird.","de.subordinate.dass","A1.2"
"s033","33","5","Holmes returns to Baker Street.","Holmes kehrt in die Baker Street zurück.","","","Holmes kehrt in die|Baker Street zurück.","de.sep.prefix-split","A1.2"
"s034","34","5","The marriage changes the case.","Die Hochzeit verändert den Fall.","","","Die Hochzeit verändert den Fall.","","A1.2"
"s035","35","5","Irene may leave London with her husband.","Irene kann London mit ihrem Mann verlassen.","","","Irene kann London mit|ihrem Mann verlassen.","de.modal.infinitive-final","A1.2"
"s036","36","5","Holmes must act that evening.","Holmes muss an diesem Abend handeln.","","","Holmes muss an diesem Abend|handeln.","de.modal.infinitive-final","A1.2"
"s037","37","6","He asks Watson for help.","Er bittet Watson um Hilfe.","","","Er bittet Watson um Hilfe.","","A1.2"
"s038","38","6","Watson agrees immediately.","Watson stimmt sofort zu.","","","Watson stimmt sofort zu.","de.sep.prefix-split","A1.2"
"s039","39","6","Holmes warns that the plan may not be legal.","Holmes warnt, dass der Plan vielleicht nicht legal ist.","","","Holmes warnt,|dass der Plan vielleicht|nicht legal ist.","de.subordinate.dass","A1.2"
"s040","40","6","Watson is ready because he trusts Holmes.","Watson ist bereit, weil er Holmes vertraut.","","","Watson ist bereit,|weil er Holmes vertraut.","de.subordinate.weil","A1.2"
"s041","41","7","Holmes explains the plan while he eats.","Holmes erklärt den Plan, während er isst.","","","Holmes erklärt den Plan,|während er isst.","de.subordinate.waehrend","A1.2"
"s042","42","7","They must be at Briony Lodge before seven.","Sie müssen vor sieben Uhr bei Briony Lodge sein.","","","Sie müssen vor sieben|Uhr bei Briony Lodge sein.","de.modal.infinitive-final","A1.2"
"s043","43","7","Watson must not interfere in the street.","Watson darf sich auf der Straße nicht einmischen.","","","Watson darf sich auf|der Straße nicht einmischen.","de.modal.infinitive-final","A1.2"
"s044","44","7","Some men will start a small fight.","Einige Männer werden einen kleinen Streit beginnen.","","","Einige Männer werden einen|kleinen Streit beginnen.","","A1.2"
"s045","45","7","Holmes will pretend to be injured.","Holmes wird so tun, als ob er verletzt ist.","","","Holmes wird so tun,|als ob er verletzt ist.","de.als-ob","A1.2"
"s046","46","7","People will carry him into Irene’s sitting room.","Die Leute werden ihn in Irenes Wohnzimmer tragen.","","","Die Leute werden ihn|in Irenes Wohnzimmer tragen.","","A1.2"
"s047","47","7","A window will open a few minutes later.","Ein Fenster wird einige Minuten später geöffnet.","","","Ein Fenster wird einige|Minuten später geöffnet.","de.passive.werden","A1.2"
"s048","48","7","Watson must stand near that window.","Watson muss in der Nähe dieses Fensters stehen.","","","Watson muss in der|Nähe dieses Fensters stehen.","de.modal.infinitive-final","A1.2"
"s049","49","8","When Holmes raises his hand, Watson must throw in a smoke rocket.","Wenn Holmes die Hand hebt, muss Watson eine Rauchbombe hineinwerfen.","","","Wenn Holmes die Hand hebt,|muss Watson eine Rauchbombe hineinwerfen.","de.subordinate.wenn","A1.2"
"s050","50","8","Then Watson must shout Fire.","Dann muss Watson „Feuer!“ rufen.","","","Dann muss Watson „Feuer!“ rufen.","de.modal.infinitive-final","A1.2"
"s051","51","8","After that he will wait at the street corner.","Danach wird er an der Straßenecke warten.","","","Danach wird er an|der Straßenecke warten.","de.wordorder.verb-second","A1.2"
"s052","52","8","Holmes promises to meet him there.","Holmes verspricht, ihn dort zu treffen.","","","Holmes verspricht,|ihn dort zu treffen.","de.zu-infinitive","A1.2"
"s053","53","9","Holmes puts on the clothes of a friendly priest.","Holmes zieht die Kleidung eines freundlichen Priesters an.","","","Holmes zieht die Kleidung|eines freundlichen Priesters an.","de.sep.prefix-split","A1.2"
"s054","54","9","His face, voice and movement all change.","Sein Gesicht, seine Stimme und seine Bewegungen verändern sich.","","","Sein Gesicht,|seine Stimme|und seine Bewegungen verändern sich.","de.reflexive.accusative","A1.2"
"s055","55","9","Watson can hardly recognise him.","Watson kann ihn kaum erkennen.","","","Watson kann ihn kaum erkennen.","de.modal.infinitive-final","A1.2"
"s056","56","9","At a quarter past six they leave Baker Street.","Um Viertel nach sechs verlassen sie die Baker Street.","","","Um Viertel nach sechs|verlassen sie die Baker Street.","de.wordorder.verb-second","A1.2"
"s057","57","9","It is already dark when they reach Briony Lodge.","Es ist schon dunkel, als sie Briony Lodge erreichen.","","","Es ist schon dunkel,|als sie Briony Lodge erreichen.","de.subordinate.als","A1.2"
"s058","58","9","Several people wait near the house.","Mehrere Leute warten in der Nähe des Hauses.","","","Mehrere Leute warten in|der Nähe des Hauses.","","A1.2"
"s059","59","9","They are all part of Holmes’s plan.","Sie gehören alle zu Holmes’ Plan.","","","Sie gehören alle zu Holmes’|Plan.","","A1.2"
"s060","60","9","Holmes believes the photograph is still inside.","Holmes glaubt, dass das Foto noch im Haus ist.","","","Holmes glaubt,|dass das Foto noch|im Haus ist.","de.subordinate.dass","A1.2"
"s061","61","10","It is too large for Irene to carry easily.","Es ist zu groß, um es leicht zu tragen.","","","Es ist zu groß,|um es leicht zu tragen.","de.um-zu","A1.2"
"s062","62","10","She also needs it close because she plans to use it soon.","Sie braucht es auch in der Nähe, weil sie es bald benutzen will.","","","Sie braucht es auch|in der Nähe,|weil sie es bald benutzen|will.","de.subordinate.weil","A1.2"
"s063","63","10","Watson asks how Holmes will find it.","Watson fragt, wie Holmes es finden wird.","","","Watson fragt,|wie Holmes es finden wird.","de.indirect-question","A1.2"
"s064","64","10","I will make her show it to me, Holmes answers.","„Ich werde sie dazu bringen, es mir zu zeigen“, antwortet Holmes.","","","„Ich werde sie dazu bringen,|es mir zu zeigen“,|antwortet Holmes.","de.zu-infinitive","A1.2"
"s065","65","11","At seven Irene’s carriage arrives.","Um sieben kommt Irenes Kutsche an.","","","Um sieben kommt Irenes Kutsche|an.","de.sep.prefix-split","A1.2"
"s066","66","11","Two men run to open the door.","Zwei Männer laufen los, um die Tür zu öffnen.","","","Zwei Männer laufen los,|um die Tür zu öffnen.","de.um-zu","A1.2"
"s067","67","11","They begin to fight.","Sie beginnen zu kämpfen.","","","Sie beginnen zu kämpfen.","de.zu-infinitive","A1.2"
"s068","68","11","Other men join the fight.","Andere Männer machen bei dem Streit mit.","","","Andere Männer machen bei|dem Streit mit.","de.sep.prefix-split","A1.2"
"s069","69","11","Irene stands in the middle of the crowd.","Irene steht in der Mitte der Menge.","","","Irene steht in der|Mitte der Menge.","","A1.2"
"s070","70","11","Holmes runs forward to protect her.","Holmes läuft nach vorn, um sie zu schützen.","","","Holmes läuft nach vorn,|um sie zu schützen.","de.um-zu","A1.2"
"s071","71","11","Suddenly he cries out and falls to the ground.","Plötzlich schreit er auf und fällt zu Boden.","","","Plötzlich schreit er auf|und fällt zu Boden.","de.sep.prefix-split","A1.2"
"s072","72","11","Red liquid runs over his face.","Rote Flüssigkeit läuft über Holmes’ Gesicht.","","","Rote Flüssigkeit läuft über Holmes’|Gesicht.","","A1.2"
"s073","73","12","The people think he is badly hurt.","Die Leute glauben, dass er schwer verletzt ist.","","","Die Leute glauben,|dass er schwer verletzt ist.","de.subordinate.dass","A1.2"
"s074","74","12","Irene tells them to carry him inside.","Irene sagt ihnen, dass sie ihn hineintragen sollen.","","","Irene sagt ihnen,|dass sie ihn hineintragen sollen.","de.subordinate.dass","A1.2"
"s075","75","12","They put Holmes on a sofa in the sitting room.","Sie legen Holmes im Wohnzimmer auf ein Sofa.","","","Sie legen Holmes im|Wohnzimmer auf ein Sofa.","","A1.2"
"s076","76","12","Watson waits outside by the window.","Watson wartet draußen am Fenster.","","","Watson wartet draußen am Fenster.","","A1.2"
"s077","77","12","He feels bad because Irene is kind to Holmes.","Er fühlt sich schlecht, weil Irene freundlich zu Holmes ist.","","","Er fühlt sich schlecht,|weil Irene freundlich zu Holmes|ist.","de.subordinate.weil","A1.2"
"s078","78","13","Holmes sits up and asks for air.","Holmes setzt sich auf und bittet um Luft.","","","Holmes setzt sich auf|und bittet um Luft.","de.sep.prefix-split","A1.2"
"s079","79","13","A servant opens the window.","Eine Dienerin öffnet das Fenster.","","","Eine Dienerin öffnet das Fenster.","","A1.2"
"s080","80","13","Holmes raises his hand.","Holmes hebt die Hand.","","","Holmes hebt die Hand.","","A1.2"
"s081","81","13","Watson throws the smoke rocket into the room.","Watson wirft die Rauchbombe in das Zimmer.","","","Watson wirft die Rauchbombe|in das Zimmer.","","A1.2"
"s082","82","13","Fire, he shouts.","„Feuer!“, ruft er.","","","„Feuer!“,|ruft er.","","A1.2"
"s083","83","13","Everybody in the street repeats the cry.","Alle auf der Straße wiederholen den Ruf.","","","Alle auf der Straße|wiederholen den Ruf.","","A1.2"
"s084","84","13","Smoke fills the room.","Rauch füllt das Zimmer.","","","Rauch füllt das Zimmer.","","A1.2"
"s085","85","13","Irene immediately runs to a hidden panel.","Irene läuft sofort zu einer versteckten Wandplatte.","","","Irene läuft sofort zu|einer versteckten Wandplatte.","","A1.2"
"s086","86","14","She pulls the photograph partly out.","Sie zieht das Foto ein Stück heraus.","","","Sie zieht das Foto|ein Stück heraus.","de.sep.prefix-split","A1.2"
"s087","87","14","Holmes sees the hiding place.","Holmes sieht das Versteck.","","","Holmes sieht das Versteck.","","A1.2"
"s088","88","14","Then he says that there is no fire.","Dann sagt er, dass es kein Feuer gibt.","","","Dann sagt er,|dass es kein Feuer gibt.","de.subordinate.dass","A1.2"
"s089","89","14","Irene puts the photograph back.","Irene legt das Foto zurück.","","","Irene legt das Foto zurück.","de.sep.prefix-split","A1.2"
"s090","90","14","Holmes apologises and leaves the house.","Holmes entschuldigt sich und verlässt das Haus.","","","Holmes entschuldigt sich|und verlässt das Haus.","de.reflexive.accusative","A1.2"
"s091","91","14","Watson meets him at the corner.","Watson trifft ihn an der Ecke.","","","Watson trifft ihn an der|Ecke.","","A1.2"
"s092","92","15","Holmes explains that all the fighting men were helpers.","Holmes erklärt, dass alle kämpfenden Männer Helfer waren.","","","Holmes erklärt,|dass alle kämpfenden Männer Helfer|waren.","de.subordinate.dass","A1.2"
"s093","93","15","The blood on his face was only red paint.","Das Blut in seinem Gesicht war nur rote Farbe.","","","Das Blut in seinem|Gesicht war nur rote Farbe.","","A1.2"
"s094","94","15","The false fire alarm forced Irene to act quickly.","Der falsche Feueralarm zwang Irene, schnell zu handeln.","","","Der falsche Feueralarm zwang Irene,|schnell zu handeln.","de.zu-infinitive","A1.2"
"s095","95","15","People save their most valuable thing first.","Menschen retten zuerst ihre wertvollste Sache.","","","Menschen retten zuerst ihre wertvollste|Sache.","","A1.2"
"s096","96","15","Irene showed Holmes exactly where the photograph was.","Irene zeigte Holmes genau, wo das Foto war.","","","Irene zeigte Holmes genau,|wo das Foto war.","de.indirect-question","A1.2"
"s097","97","15","He did not take it because her coachman watched him.","Er nahm es nicht, weil ihr Kutscher ihn beobachtete.","","","Er nahm es nicht,|weil ihr Kutscher ihn beobachtete.","de.subordinate.weil","A1.2"
"s098","98","15","They will return with the king in the morning.","Am Morgen werden sie mit dem König zurückkehren.","","","Am Morgen werden sie|mit dem König zurückkehren.","de.wordorder.verb-second","A1.2"
"s099","99","15","At the door of Baker Street a young man passes them.","Vor 221B Baker Street geht ein junger Mann an ihnen vorbei.","","","Vor 221B Baker Street|geht ein junger Mann|an ihnen vorbei.","de.sep.prefix-split","A1.2"
"s100","100","16","Good night, Mister Sherlock Holmes, the young man says.","„Gute Nacht, Mister Sherlock Holmes“, sagt der junge Mann.","","","„Gute Nacht,|Mister Sherlock Holmes“,|sagt der junge Mann.","","A1.2"
"s101","101","16","Holmes knows the voice but cannot place it.","Holmes kennt die Stimme, kann sie aber nicht zuordnen.","","","Holmes kennt die Stimme,|kann sie|aber nicht zuordnen.","de.modal.infinitive-final","A1.2"
"s102","102","16","He looks after the stranger in the dark street.","Er sieht dem Fremden in der dunklen Straße nach.","","","Er sieht dem Fremden|in der dunklen Straße nach.","de.sep.prefix-split","A1.2"
"s103","103","16","The case is not finished yet.","Der Fall ist noch nicht beendet.","","","Der Fall ist noch nicht|beendet.","","A1.2"
