"lemma_group","target","english_variants","ids"
"de.phrase.so-schnell-wie-moeglich","so schnell wie möglich","as fast as possible | as quickly as possible","de.phrase.so-schnell-wie-moeglich.as-fast-as-possible | de.phrase.so-schnell-wie-moeglich.as-quickly-as-possible"
"de.phrase.spazieren-gehen","spazieren gehen","to walk | to go for a walk","de.phrase.spazieren-gehen.walk | de.phrase.spazieren-gehen.go-for-a-walk"
"de.phrase.versteh-mich-nicht-falsch","Versteh mich nicht falsch.","Do not misunderstand me. | Do not get me wrong.","de.phrase.versteh-mich-nicht-falsch.do-not-misunderstand-me | de.phrase.versteh-mich-nicht-falsch.do-not-get-me-wrong"
"de.verb.ablehnen","ablehnen","to refuse | to reject","de.verb.ablehnen.refuse | de.verb.ablehnen.reject"
"de.verb.aufstehen","aufstehen","to stand up | to get up","de.verb.aufstehen.get-up | de.verb.aufstehen.get-up-2"
"de.verb.gehen","gehen","to go | to go on foot / walk","de.verb.gehen.go | de.verb.gehen.go-on-foot"
"de.verb.kennen","kennen","to know (a person) | to know a person/place","de.verb.kennen.know | de.verb.kennen.know-a-person"
"de.verb.lesen","Lesen","reading | to read","de.verb.lesen.reading | de.verb.lesen.read"
"de.verb.selten","selten","rare | rarely","de.verb.selten.rare | de.verb.selten.rarely"
"de.verb.sollen","sollen","shall / to be supposed to | should / supposed to","de.verb.sollen.be-supposed-to | de.verb.sollen.should"
"de.verb.teilnehmen","teilnehmen","to participate | to take part","de.verb.teilnehmen.participate | de.verb.teilnehmen.take-part"
"de.verb.waehlen","wählen","to choose | to vote","de.verb.waehlen.choose | de.verb.waehlen.vote"
"de.verb.wissen","wissen","to know | to know a fact","de.verb.wissen.know | de.verb.wissen.know-a-fact"
"de.verb.zuhoeren","zuhören","to listen to | to listen to someone | to listen","de.verb.zuhoeren.listen-to | de.verb.zuhoeren.listen-to-someone | de.verb.zuhoeren.listen"
"de.word.besonders","besonders","special | especially","de.word.besonders.special | de.word.besonders.especially"
"de.word.einfach","einfach","easy | simple","de.word.einfach.easy | de.word.einfach.simple"
"de.word.grau","grau","grey | gray","de.word.grau.grey | de.word.grau.gray"
"de.word.langsam","langsam","slow | slowly","de.word.langsam.slow | de.word.langsam.slowly"
"de.word.reif","reif","mature | ripe","de.word.reif.mature | de.word.reif.ripe"
"de.word.schnell","schnell","fast | quickly","de.word.schnell.fast | de.word.schnell.quickly"
"de.word.sie","sie","they | her (accusative) | them (accusative)","de.word.sie.they | de.word.sie.her | de.word.sie.them"
"de.word.trotzdem","trotzdem","nevertheless | even so","de.word.trotzdem.nevertheless | de.word.trotzdem.even-so"
"de.word.waehrend","während","during (Genitiv) | while","de.word.waehrend.during | de.word.waehrend.while"
"de.word.zu","zu","too | to (Dativ, person)","de.word.zu.too | de.word.zu.dativ"
