"lexeme_id","english","target","article","pos","level"
"de.verb.hochziehen","pull up","hochziehen","","verb","A2"
"de.adj.schwindlig","dizzy","schwindlig","","adjective","A2"
"de.verb.sehen","see","sehen","","verb","A2"
"de.adj.seitlich","sideways","seitlich","","adjective","A2"
"de.prepositionconjunction.ohne","without","ohne","","preposition/conjunction","A2"
"de.verb.beruehren","touch","berühren","","verb","B1"
"de.adverbadjective.stolz","proud/proudly","stolz","","adverb/adjective","A2"
"de.article.das","the","das","","article","A2"
"de.determiner.kein","no/not a","kein","","determiner","A2"
"de.noun.fremdeinwirkung","outside interference","Fremdeinwirkung","die","noun","B1"
"de.verb.nennen","call","nennen","","verb","B1"
"de.noun.ausdruck","expression","Ausdruck","der","noun","B1"
"de.noun.fernsehkrimi","television crime show","Fernsehkrimi","der","noun","B1"
"de.prepositionparticle.aus","from/out","aus","","preposition/particle","A2"
"de.verb.kennen","know","kennen","","verb","B1"
"de.adj.nett","kind","nett","","adjective","A2"
"de.adverb.sehr","very","sehr","","adverb","A2"
"de.noun.taschentuch","tissue","Taschentuch","das","noun","A2"
"de.noun.wasser","water","Wasser","das","noun","A2"
"de.verb.geben","give","geben","","verb","A2"
"de.preposition.neben","beside","neben","","preposition","A2"
"de.verb.vorspielen","demonstrate or act out","vorspielen","","verb","B1"
"de.verb.akzeptieren","accept","akzeptieren","","verb","B1"
"de.adj.unverantwortlich","irresponsible","unverantwortlich","","adjective","A2"
"de.noun.situation","situation","Situation","die","noun","A2"
"de.verb.schreiben","write","schreiben","","verb","A2"
"de.verb.schliessen","close","schließen","","verb","A2"
"de.name.tschick","Tschick","Tschick","","name","A2"
"de.questionadverb.wohin","where to","wohin","","question adverb","A2"
"de.verb.wollen","wanted","wollen","","verb","A2"
"de.adj.albern","silly","albern","","adjective","A2"
"de.noun.antwort","answer","Antwort","die","noun","A2"
"de.verb.klingen","sound","klingen","","verb","B1"
"de.particlepreposition.zu","to","zu","","particle/preposition","A2"
"de.verb.versprechen","promise","versprechen","","verb","B1"
"de.phrase.in_die_walachei","to Wallachia","in die Walachei","","phrase","B1"
"de.verb.gestehen","admit","gestehen","","verb","B1"
"de.noun.ort","place","Ort","der","noun","A2"
"de.questionadverb.wo","where","wo","","question adverb","A2"
"de.verb.liegen","lie/is located","liegen","","verb","A2"
"de.adj.rot","red","rot","","adjective","A2"
"de.noun.thema","subject/topic","Thema","das","noun","A2"
"de.verb.wechseln","change","wechseln","","verb","A2"
"de.contraction.zum","to the","zum","","contraction","A2"
"de.noun.erwachsene","adults","Erwachsene","der/die","noun","A2"
"de.noun.schluss","Schluss","Schluss","","noun","B1"
"de.phrase.die_hand_geben","shake hands","sich die Hand geben","","phrase","A2"
"de.adj.froh","glad","froh","","adjective","A2"
"de.adj.gross","large","groß","","adjective","A2"
"de.verb.noetig","necessary","nötig","","verb","B1"
