"id","lexeme_id","english","target","article","hint"
"w0051","de.lex.hoffnung","hope (noun)","Hoffnung","die","Hook: hope. Derived from hoffen."
"w0052","de.lex.waffe","weapon","Waffe","die","Hook: weapon. Sound shift: p→ff."
"w0053","de.lex.reif.ripe","ripe","reif","","Hook: ripe. Sound shift: p→f."
"w0054","de.lex.seife","soap","Seife","die","Hook: soap. Sound shift: p→f."
"w0055","de.lex.laufen.run","to run","laufen","","Hook: leap. Sound shift: p→f."
"w0056","de.lex.kaufen","to buy","kaufen","","Hook: cheap. English cheap comes from Old English ceap (trade): Cheapside was London's."
"w0057","de.lex.machen","to make / to do","machen","","Hook: make. Sound shift: k→ch."
"w0058","de.lex.brechen","to break","brechen","","Hook: break. Sound shift: k→ch."
"w0059","de.lex.buch","book","Buch","das","Hook: book. Sound shift: k→ch."
"w0060","de.lex.kuchen","cake","Kuchen","der","Hook: cake. Sound shift: k→ch."
"w0061","de.lex.suchen","to search / to seek","suchen","","Hook: seek. Sound shift: k→ch."
"w0062","de.lex.woche","week","Woche","die","Hook: week. Sound shift: k→ch."
"w0063","de.lex.milch","milk","Milch","die","Hook: milk. Sound shift: k→ch."
"w0064","de.lex.sprache","language / speech","Sprache","die","Hook: speech. Sound shift: k→ch."
"w0065","de.lex.sprechen","to speak","sprechen","","Hook: speak. Sound shift: k→ch."
"w0066","de.lex.kueche","kitchen","Küche","die","Hook: kitchen. Sound shift: k→ch."
"w0067","de.lex.kochen.cook","to cook","kochen","","Hook: cook. Sound shift: k→ch."
"w0068","de.lex.wachen","to be awake / to keep watch","wachen","","Hook: wake. Sound shift: k→ch."
"w0069","de.lex.wecken","to wake (someone)","wecken","","Hook: wake. wake: shared Germanic root."
"w0070","de.lex.nacht","night","Nacht","die","Hook: night. The silent English gh preserves the German ch: night → Nacht."
"w0071","de.lex.acht","eight","acht","","Hook: eight. eight: the gh–ch pair again."
"w0072","de.lex.licht","light","Licht","das","Sounds like ""light""."
"w0073","de.lex.recht.fairly","right / correct","recht","","Sounds like ""right""."
"w0074","de.lex.recht.correct","law / right","Recht","das","Hook: right. English right also means a legal right."
"w0075","de.lex.tochter","daughter","Tochter","die","Sounds like ""daughter""."
"w0076","de.lex.lachen","to laugh","lachen","","Hook: laugh. laugh: gh was once a spoken ch."
"w0077","de.lex.laecheln","to smile","lächeln","","Hook: laugh. Diminutive of lachen: a smile is a little laugh."
"w0078","de.lex.tag","day","Tag","der","Hook: day. Sound shift: d→t."
"w0079","de.lex.trinken","to drink","trinken","","Hook: drink. Sound shift: d→t."
"w0080","de.lex.tuer","door","Tür","die","Hook: door. Sound shift: d→t."
"w0081","de.lex.tun","to do","tun","","Hook: do. Sound shift: d→t."
"w0082","de.lex.bett","bed","Bett","das","Hook: bed. Sound shift: d→tt."
"w0083","de.lex.gott","god","Gott","der","Hook: god. Sound shift: d→tt."
"w0084","de.lex.gut","good","gut","","Hook: good. Sound shift: d→t."
"w0085","de.lex.rot","red","rot","","Hook: red. Sound shift: d→t."
"w0086","de.lex.wort","word","Wort","das","Hook: word. Sound shift: d→t."
"w0087","de.lex.kalt","cold","kalt","","Hook: cold. Sound shift: d→t."
"w0088","de.lex.alt","old","alt","","Hook: old. Sound shift: d→t."
"w0089","de.lex.halten","to hold","halten","","Hook: hold. Sound shift: d→t."
"w0090","de.lex.brot","bread","Brot","das","Hook: bread. Sound shift: d→t."
"w0091","de.lex.blut","blood","Blut","das","Hook: blood. Sound shift: d→t."
"w0092","de.lex.laut","loud","laut","","Hook: loud. Sound shift: d→t."
"w0093","de.lex.seite.side","side / page","Seite","die","Hook: side. Sound shift: d→t."
"w0094","de.lex.reiten","to ride (a horse)","reiten","","Hook: ride. Sound shift: d→t."
"w0095","de.lex.gleiten","to glide","gleiten","","Hook: glide. Sound shift: d→t."
"w0096","de.lex.breit","wide / broad","breit","","Hook: broad. Sound shift: d→t."
"w0097","de.lex.braut","bride","Braut","die","Hook: bride. Sound shift: d→t."
"w0098","de.lex.tragen","to carry / to wear","tragen","","Hook: drag. Sound shift: d→t."
"w0099","de.lex.tot","dead","tot","","Hook: dead. Sound shift: d→t."
"w0100","de.lex.tod","death","Tod","der","Sounds like ""death""."
"w0101","de.lex.tau","dew","Tau","der","Hook: dew. Sound shift: d→t."
"w0102","de.lex.bruder","brother","Bruder","der","Hook: brother. English th ↔ German d: brother → Bruder."
"w0103","de.lex.bad","bath","Bad","das","Hook: bath. th→d: bath → Bad."
"w0104","de.lex.ding","thing","Ding","das","Hook: thing. th→d: thing → Ding."
"w0105","de.lex.denken","to think","denken","","Hook: think. th→d: think → denken."
"w0106","de.lex.danken","to thank","danken","","Hook: thank. th→d: thank → danken."
"w0107","de.lex.durst","thirst","Durst","der","Hook: thirst. th→d: thirst → Durst."
"w0108","de.lex.durstig","thirsty","durstig","","Sounds like ""thirsty""."
"w0109","de.lex.dick","thick / fat","dick","","Hook: thick. th→d: thick → dick."
"w0110","de.lex.duenn","thin","dünn","","Hook: thin. th→d: thin → dünn."
"w0111","de.lex.drei","three","drei","","Hook: three. th→d: three → drei."
"w0112","de.lex.dorn","thorn","Dorn","der","Hook: thorn. th→d: thorn → Dorn."
"w0113","de.lex.erde","earth","Erde","die","Hook: earth. th→d: earth → Erde."
"w0114","de.lex.norden","north","Norden","der","Hook: north. th→d: north → Norden."
"w0115","de.lex.sueden","south","Süden","der","Hook: south. th→d: south → Süden."
"w0116","de.lex.feder","feather / pen","Feder","die","Hook: feather. th→d: feather → Feder."
"w0117","de.lex.wetter","weather","Wetter","das","Hook: weather. th→tt: weather → Wetter."
"w0118","de.lex.leder","leather","Leder","das","Hook: leather. th→d: leather → Leder."
"w0119","de.lex.mund","mouth","Mund","der","Hook: mouth. th→d: mouth → Mund."
"w0120","de.lex.vater","father","Vater","der","Hook: father. th→t: father → Vater."
"w0121","de.lex.mutter","mother","Mutter","die","Hook: mother. th→tt: mother → Mutter."
"w0122","de.lex.haus","house","Haus","das","Sounds like ""house""."
"w0123","de.lex.maus","mouse","Maus","die","Sounds like ""mouse""."
"w0124","de.lex.hand","hand","Hand","die","Near-identical to English ""hand""."
"w0125","de.lex.arm.arm","arm","Arm","der","Sounds like ""arm""."
"w0126","de.lex.finger","finger","Finger","der","Near-identical to English ""finger""."
"w0127","de.lex.haar","hair","Haar","das","Sounds like ""hair""."
"w0128","de.lex.nase","nose","Nase","die","Sounds like ""nose""."
"w0129","de.lex.ohr","ear","Ohr","das","Sounds like ""ear""."
"w0130","de.lex.auge","eye","Auge","das","Hook: eye. Old English eage was even closer to Auge."
"w0131","de.lex.knie","knee","Knie","das","Hook: knee. knee: German actually pronounces the K."
"w0132","de.lex.schulter","shoulder","Schulter","die","Sounds like ""shoulder""."
"w0133","de.lex.ellbogen","elbow","Ellbogen","der","Sounds like ""elbow""."
"w0134","de.lex.lippe","lip","Lippe","die","Sounds like ""lip""."
"w0135","de.lex.kinn","chin","Kinn","das","Sounds like ""chin""."
"w0136","de.lex.hals","neck","Hals","der","Hook: halter. English halter (a rope for the neck) keeps the root."
"w0137","de.lex.ruecken","back (body)","Rücken","der","Hook: ridge. English ridge = a mountain's back."
"w0138","de.lex.bein","leg","Bein","das","Hook: bone. English bone: in German the leg bone became the leg."
"w0139","de.lex.knochen","bone","Knochen","der","Hook: knuckle. The kn- of knuckle helps."
"w0140","de.lex.nagel","nail (finger and metal)","Nagel","der","Hook: nail. nail: both meanings match."
"w0141","de.lex.kopf","head","Kopf","der","Hook: cup. From Latin cuppa: the head as a cup or noggin."
"w0142","de.lex.haupt","head (figurative) / main","Haupt","das","Hook: head. head: Hauptbahnhof = main station."
"w0143","de.lex.gesicht","face","Gesicht","das","Hook: sight. Ge-SICHT: what you see. From sehen."
"w0144","de.lex.stirn","forehead","Stirn","die","Hook: stern. A stern look sits on the forehead."
"w0145","de.lex.bauch.belly","belly","Bauch","der","Hook: bulge. Bulge matches both sound and shape."
"w0146","de.lex.atem","breath","Atem","der","Hook: atmosphere. Not related, but atmosphere = air sticks well."
"w0147","de.lex.atmen","to breathe","atmen","","Hook: atmosphere. Same hook."
"w0148","de.lex.name","name","Name","der","Near-identical to English ""name""."
"w0149","de.lex.sohn","son","Sohn","der","Sounds like ""son""."
"w0150","de.lex.schwester","sister","Schwester","die","Sounds like ""sister""."
"w0151","de.lex.onkel","uncle","Onkel","der","Hook: uncle. uncle: both from French oncle."
"w0152","de.lex.freund","friend","Freund","der","Sounds like ""friend""."
"w0153","de.lex.feind","enemy","Feind","der","Hook: fiend. English fiend = demon. Friend–fiend and Freund: one letter apart in both."
"w0154","de.lex.mann","man","Mann","der","Sounds like ""man""."
"w0155","de.lex.kind","child","Kind","das","Hook: kindergarten. English borrowed kindergarten (child-garden). Kin shares the root."
"w0156","de.lex.leute","people","Leute","die","Hook: people. No good English cognate: link Leute to people by meaning."
"w0157","de.lex.volk","people / folk","Volk","das","Hook: folk. folk: folk music."
"w0158","de.lex.koenig","king","König","der","Sounds like ""king""."
"w0159","de.lex.koenigin","queen","Königin","die","Hook: king + -in. King + feminine suffix -in (like Freundin)."
"w0160","de.lex.held","hero","Held","der","Hook: Held the line. The hero who Held the line."
"w0161","de.lex.sommer","summer","Sommer","der","Sounds like ""summer""."
"w0162","de.lex.winter","winter","Winter","der","Near-identical to English ""winter""."
"w0163","de.lex.herbst","autumn","Herbst","der","Hook: harvest. Autumn is harvest time: shared root."
"w0164","de.lex.sonne","sun","Sonne","die","Sounds like ""sun""."
"w0165","de.lex.mond","moon","Mond","der","Sounds like ""moon""."
"w0166","de.lex.stern","star","Stern","der","Sounds like ""star""."
"w0167","de.lex.wind","wind","Wind","der","Near-identical to English ""wind""."
"w0168","de.lex.regen","rain","Regen","der","Sounds like ""rain""."
"w0169","de.lex.schnee","snow","Schnee","der","Sounds like ""snow""."
"w0170","de.lex.eis.ice","ice","Eis","das","Sounds like ""ice""."
"w0171","de.lex.feuer","fire","Feuer","das","Sounds like ""fire""."
"w0172","de.lex.feld","field","Feld","das","Sounds like ""field""."
"w0173","de.lex.gras","grass","Gras","das","Sounds like ""grass""."
"w0174","de.lex.baum","tree","Baum","der","Hook: beam. English beam once meant tree: hornbeam."
"w0175","de.lex.wald","forest","Wald","der","Hook: Cotswolds. English wold is an old word for upland: the Cotswolds."
"w0176","de.lex.berg","mountain","Berg","der","Hook: iceberg. Iceberg = ice mountain: Berg lives inside English."
"w0177","de.lex.tal","valley","Tal","das","Hook: dale. English dale = valley. Neandertal = Neander valley!."
"w0178","de.lex.see.lake","lake","See","der","Hook: sea. sea Der See = lake, die See = sea."
"w0179","de.lex.see.poetic","sea / lake (die See = sea)","See","die","Hook: sea. sea Der See = lake, die See = sea."
"w0180","de.lex.meer","sea / ocean","Meer","das","Hook: mere. English mere = small lake: Windermere."
"w0181","de.lex.fisch","fish","Fisch","der","Sounds like ""fish""."
"w0182","de.lex.vogel","bird","Vogel","der","Hook: fowl. English fowl = bird, poultry."
"w0183","de.lex.hund","dog","Hund","der","Hook: hound. English hound = hunting dog."
"w0184","de.lex.wolf","wolf","Wolf","der","Near-identical to English ""wolf""."
"w0185","de.lex.baer","bear","Bär","der","Sounds like ""bear""."
"w0186","de.lex.schwein","pig","Schwein","das","Hook: swine. English swine = pig (literary)."
"w0187","de.lex.kuh","cow","Kuh","die","Sounds like ""cow""."
"w0188","de.lex.schaf","sheep","Schaf","das","Sounds like ""sheep""."
"w0189","de.lex.lamm","lamb","Lamm","das","Sounds like ""lamb""."
"w0190","de.lex.gans","goose","Gans","die","Sounds like ""goose""."
"w0191","de.lex.biene","bee","Biene","die","Sounds like ""bee""."
"w0192","de.lex.horn","horn","Horn","das","Near-identical to English ""horn""."
"w0193","de.lex.haut","skin","Haut","die","Hook: hide. English hide = animal skin. d→t."
"w0194","de.lex.ei","egg","Ei","das","Hook: egg. Not cognates (egg is Norse), but Ei–egg link easily by sound."
"w0195","de.lex.butter","butter","Butter","die","Near-identical to English ""butter""."
"w0196","de.lex.kaese","cheese","Käse","der","Hook: cheese. Both from Latin caseus."
"w0197","de.lex.wein","wine","Wein","der","Hook: wine. wine: Latin vinum behind both."
"w0198","de.lex.bier","beer","Bier","das","Sounds like ""beer""."
"w0199","de.lex.mehl","flour","Mehl","das","Hook: meal. English meal = ground grain: oatmeal."
"w0200","de.lex.korn","grain","Korn","das","Sounds like ""corn""."
"w0201","de.lex.hunger","hunger","Hunger","der","Near-identical to English ""hunger""."
"w0202","de.lex.hungrig","hungry","hungrig","","Sounds like ""hungry""."
"w0203","de.lex.zucker","sugar","Zucker","der","Hook: sugar. sugar: same distant origin."
"w0204","de.lex.honig","honey","Honig","der","Sounds like ""honey""."
"w0205","de.lex.oel","oil","Öl","das","Hook: oil. oil: Latin oleum."
"w0206","de.lex.suppe","soup","Suppe","die","Sounds like ""soup""."
"w0207","de.lex.fleisch","meat","Fleisch","das","Hook: flesh. English flesh."
"w0208","de.lex.huhn","chicken / hen","Huhn","das","Sounds like ""hen""."
"w0209","de.lex.glas","glass","Glas","das","Sounds like ""glass""."
"w0210","de.lex.flasche","bottle","Flasche","die","Hook: flask. English flask."
"w0211","de.lex.loeffel","spoon","Löffel","der","Hook: ladle. English ladle: the l-skeleton helps."
"w0212","de.lex.gemuese","vegetables","Gemüse","das","Hook: mousse. Contains Mus (purée): what can be cooked to a mousse."
"w0213","de.lex.kommen","to come","kommen","","Sounds like ""come""."
"w0214","de.lex.gehen.go","to go","gehen","","Sounds like ""go""."
"w0215","de.lex.sehen","to see","sehen","","Sounds like ""see""."
"w0216","de.lex.hoeren","to hear","hören","","Sounds like ""hear""."
"w0217","de.lex.finden","to find","finden","","Sounds like ""find""."
"w0218","de.lex.fallen","to fall","fallen","","Sounds like ""fall""."
"w0219","de.lex.singen.sing","to sing","singen","","Sounds like ""sing""."
"w0220","de.lex.springen","to jump","springen","","Hook: spring. English spring = to leap (and the season, and a coil)."
"w0221","de.lex.schwimmen.swim","to swim","schwimmen","","Sounds like ""swim""."
"w0222","de.lex.bringen","to bring","bringen","","Sounds like ""bring""."
"w0223","de.lex.senden","to send","senden","","Sounds like ""send""."
"w0224","de.lex.waschen","to wash","waschen","","Sounds like ""wash""."
"w0225","de.lex.backen.bake","to bake","backen","","Sounds like ""bake""."
"w0226","de.lex.beginnen","to begin","beginnen","","Sounds like ""begin""."
"w0227","de.lex.bleiben","to stay","bleiben","","Hook: leave. Shared root meaning to stick: what sticks (is left) stays."
"w0228","de.lex.sterben","to die","sterben","","Hook: starve. English starve originally meant to die, now to die of hunger."
"w0229","de.lex.werfen","to throw","werfen","","Hook: warp. Old English weorpan = to throw. Warp grew out of it."
"w0230","de.lex.geben","to give","geben","","Sounds like ""give""."
"w0231","de.lex.nehmen","to take","nehmen","","Hook: numb. Old English niman = to take: numb = taken away sensation."
"w0232","de.lex.sagen","to say","sagen","","Sounds like ""say""."
"w0233","de.lex.fragen","to ask","fragen","","Hook: FAQ. fragen = to ask: think FAQ (frequently asked questions)."
"w0234","de.lex.antworten","to answer","antworten","","Hook: answer. ANt-WORTen and AN-SWer: both mean counter-word."
"w0235","de.lex.brennen","to burn","brennen","","Sounds like ""burn""."
"w0236","de.lex.schneiden","to cut","schneiden","","Hook: snide. A snide remark = a cutting remark. Close in sound too."
"w0237","de.lex.schlagen","to hit","schlagen","","Hook: slay. English slay = to strike down."
"w0238","de.lex.ziehen","to pull","ziehen","","Hook: tow. English tow = to pull. t→z."
"w0239","de.lex.fliegen","to fly","fliegen","","Sounds like ""fly""."
"w0240","de.lex.fliessen","to flow","fließen","","Sounds like ""flow""."
"w0241","de.lex.frieren","to freeze / to be cold","frieren","","Sounds like ""freeze""."
"w0242","de.lex.frost","frost","Frost","der","Near-identical to English ""frost""."
"w0243","de.lex.wachsen","to grow","wachsen","","Hook: wax. English wax = to grow: waxing moon."
"w0244","de.lex.wissen.know-a-fact","to know (facts)","wissen","","Hook: wise. Wise is the one who knows. Wit is related too."
"w0245","de.lex.kennen.know-a-person","to know (be familiar)","kennen","","Hook: ken. Scottish ken = to know: beyond my ken."
"w0246","de.lex.lernen","to learn","lernen","","Sounds like ""learn""."
"w0247","de.lex.lehren","to teach","lehren","","Hook: lore. English lore = body of knowledge."
"w0248","de.lex.lehrer","teacher","Lehrer","der","Hook: lore. Derived from lehren."
"w0249","de.lex.lesen.read","to read","lesen","","Hook: lesson. Not related, but lesson/lecture stick well by sound."
"w0250","de.lex.schreiben","to write","schreiben","","Hook: scribe. Latin scribere behind both: scribe = a writer."
"w0251","de.lex.zaehlen","to count","zählen","","Hook: tally. English tally = a count. A bank teller counts money."
"w0252","de.lex.bezahlen","to pay","bezahlen","","Hook: tally. Same root: paying is counting out."
"w0253","de.lex.zahl","number (numeral / figure)","Zahl","die","Hook: tale. Old English talu = a count, an account."
"w0254","de.lex.zeigen","to show","zeigen","","Hook: teach. English teach originally meant to show. Token is related."
"w0255","de.lex.fuehlen","to feel","fühlen","","Sounds like ""feel""."
"w0256","de.lex.lieben","to love","lieben","","Sounds like ""love""."
"w0257","de.lex.liebe","love","Liebe","die","Sounds like ""love""."
"w0258","de.lex.hassen","to hate","hassen","","Sounds like ""hate""."
"w0259","de.lex.hass.hatred","hatred","Hass","der","Sounds like ""hate""."
"w0260","de.lex.haesslich","ugly","hässlich","","Hook: hate. Literally hateable (hassen + -lich)."
"w0261","de.lex.weinen","to cry","weinen","","Hook: whine. English whine = to whimper."
"w0262","de.lex.traeumen","to dream","träumen","","Sounds like ""dream""."
"w0263","de.lex.traum","dream","Traum","der","Sounds like ""dream""."
"w0264","de.lex.stehen","to stand","stehen","","Sounds like ""stand""."
"w0265","de.lex.liegen","to lie (down)","liegen","","Sounds like ""lie""."
"w0266","de.lex.rennen.run-fast","to run fast","rennen","","Sounds like ""run""."
"w0267","de.lex.tanzen.dance","to dance","tanzen","","Hook: dance. dance: French loan in both."
"w0268","de.lex.kaempfen","to fight","kämpfen","","Hook: champion. Latin campus (battlefield) behind it: the champion of the field."
"w0269","de.lex.gewinnen","to win","gewinnen","","Sounds like ""win""."
"w0270","de.lex.verlieren","to lose","verlieren","","Hook: forlorn. Ver-lieren and for-lorn share the same structure."
"w0271","de.lex.holen","to fetch","holen","","Hook: haul. English haul = to drag, to carry."
"w0272","de.lex.schieben","to push","schieben","","Hook: shove. English shove."
"w0273","de.lex.heben","to lift","heben","","Hook: heave. English heave = to lift something heavy."
"w0274","de.lex.greifen","to grab","greifen","","Sounds like ""grip"" → greifen."
"w0275","de.lex.legen","to lay / to put","legen","","Sounds like ""lay""."
"w0276","de.lex.stellen","to place upright","stellen","","Hook: install. English stall/install from the same root."
"w0277","de.lex.haengen","to hang","hängen","","Sounds like ""hang""."
"w0278","de.lex.binden","to bind / to tie","binden","","Sounds like ""bind""."
"w0279","de.lex.band","ribbon / bond","Band","das","Hook: Band. English Band and bond are both related."
"w0280","de.lex.reissen","to tear","reißen","","Hook: write. Surprising but true: English write originally meant to scratch. Same root."
"w0281","de.lex.beissen","to bite","beißen","","Hook: bite. Sound shift: t→ß."
"w0282","de.lex.schiessen","to shoot","schießen","","Hook: shoot. Sound shift: t→ß."
"w0283","de.lex.schuss","shot","Schuss","der","Hook: shot. Sound shift: t→ss."
"w0284","de.lex.giessen","to pour","gießen","","Hook: gush. English gush = to pour out: close in sound and sense."
"w0285","de.lex.geniessen","to enjoy","genießen","","Hook: nice. Ge-NIESSEN: enjoying the nice things. Sound hook only."
"w0286","de.lex.schmecken","to taste (good)","schmecken","","Hook: smack. English smack one's lips."
"w0287","de.lex.riechen","to smell","riechen","","Hook: reek. English reek = to smell strongly."
"w0288","de.lex.stinken","to stink","stinken","","Sounds like ""stink""."
"w0289","de.lex.warten","to wait","warten","","Hook: warden. English ward/warden: waiting was originally guarding."
"w0290","de.lex.leben.life","life","Leben","das","Hook: life. live/life/Leben."
"w0291","de.lex.leben.live","to live","leben","","Sounds like ""live""."
"w0292","de.lex.seele","soul","Seele","die","Sounds like ""soul""."
"w0293","de.lex.geist","spirit / ghost","Geist","der","Hook: ghost. ghost: Zeitgeist and Poltergeist crossed into English."
"w0294","de.lex.himmel","sky / heaven","Himmel","der","Hook: Himalaya. Not related, but Himalaya as the sky-mountains sticks. H-start like heaven."
"w0295","de.lex.hoelle","hell","Hölle","die","Hook: hell. hell Beware: the adjective hell means bright in German!."
"w0296","de.lex.hell","bright","hell","","Hook: hell. Contrast hook: English hell is dark, German hell is bright."
"w0297","de.lex.dunkel","dark","dunkel","","Hook: dank. English dank = damp and dark. Dusk is close too."
"w0298","de.lex.teufel","devil","Teufel","der","Hook: devil. devil: Greek diabolos behind both."
"w0299","de.lex.engel","angel","Engel","der","Sounds like ""angel""."
"w0300","de.lex.kirche","church","Kirche","die","Hook: church. church: Greek kyriakon (the Lord's house)."
"w0301","de.lex.schule","school","Schule","die","Hook: school. school: Latin schola."
"w0302","de.lex.arzt","doctor","Arzt","der","Hook: arts. Not related: medicine as the healing arts."
"w0303","de.lex.krankenhaus","hospital","Krankenhaus","das","Hook: cranky + house. Krank (sick) + Haus: the cranky people's house."
"w0304","de.lex.krank","sick","krank","","Hook: cranky. Cranky = grumpy, like a sick person feels."
"w0305","de.lex.apotheke","pharmacy","Apotheke","die","Hook: apothecary. English apothecary = old word for pharmacist."
"w0306","de.lex.gesund","healthy","gesund","","Hook: sound. English safe and sound: sound = healthy."
"w0307","de.lex.muede","tired","müde","","Hook: moody. Not related, but a tired person is moody. Close in sound."
"w0308","de.lex.satt","full (after eating)","satt","","Hook: sated. English sated."
"w0309","de.lex.geld","money","Geld","das","Hook: yield. English yield (return) is related: money that yields. Gold helps by sound."
"w0310","de.lex.schuld","debt / guilt","Schuld","die","Hook: should. Should originally meant to owe: sollen–shall."
"w0311","de.lex.sollen.be-supposed-to","shall / to be supposed to","sollen","","Sounds like ""shall""."
"w0312","de.lex.wollen","to want","wollen","","Sounds like ""will""."
"w0313","de.lex.koennen","can / to be able","können","","Sounds like ""can""."
"w0314","de.lex.duerfen","may / to be allowed","dürfen","","Hook: dare. Old English durran = to dare. Related root."
"w0315","de.lex.moegen","to like","mögen","","Hook: may. may/might from the same root."
"w0316","de.lex.ziel","goal / target","Ziel","das","Hook: zeal. Not related: the zeal you pursue your goal with. Same opening sound."
"w0317","de.lex.platz","square / place","Platz","der","Hook: place. place: Latin platea."
"w0318","de.lex.markt","market","Markt","der","Sounds like ""market""."
"w0319","de.lex.preis","price","Preis","der","Sounds like ""price""."
"w0320","de.lex.wert","value / worth","Wert","der","Sounds like ""worth""."
"w0321","de.lex.ware","goods","Ware","die","Hook: Ware. English hardware, warehouse: Ware = goods."
"w0322","de.lex.laden","shop","Laden","der","Hook: loaded. Related to Laden (to load): a shop has loaded shelves."
"w0323","de.lex.rechnung.invoice","bill / invoice","Rechnung","die","Hook: reckoning. English reckon = to count: day of reckoning."
"w0324","de.lex.arbeit","work","Arbeit","die","Hook: robot. Slavic robota (robot!) is similar in sound and meaning. Not related, but."
"w0325","de.lex.werk","work / plant","Werk","das","Hook: work. work: Kraftwerk = power plant."
"w0326","de.lex.kraft","strength / power","Kraft","die","Hook: craft. English craft originally meant strength: Kraftwerk."
"w0327","de.lex.macht","power","Macht","die","Sounds like ""might""."
"w0328","de.lex.krieg","war","Krieg","der","Hook: Blitzkrieg. English borrowed Blitzkrieg: anchor Krieg from there."
"w0329","de.lex.frieden","peace","Frieden","der","Hook: free. Related to frei: peace as the state of freedom."
"w0330","de.lex.frei","free","frei","","Sounds like ""free""."
