"id","lexeme_id","english","target","article","hint","alternatives"
"w0070","de.lex.parameter","parameter","Parameter","der","",""
"w0071","de.lex.ansicht","view","Ansicht","die","",""
"w0072","de.lex.export","export","Export","der","",""
"w0073","de.lex.struktur","structure","Struktur","die","",""
"w0074","de.lex.system","system","System","das","",""
"w0075","de.lex.prozess","process","Prozess","der","",""
"w0076","de.lex.qualitaet","quality","Qualität","die","",""
"w0077","de.lex.risiko","risk","Risiko","das","",""
"w0078","de.lex.aenderung","change","Änderung","die","",""
"w0079","de.lex.termin","date / appointment","Termin","der","",""
"w0080","de.lex.frist","deadline","Frist","die","",""
"w0081","de.lex.nachricht","message","Nachricht","die","",""
"w0082","de.lex.e-mail","email","E-Mail","die","",""
"w0083","de.lex.datei","file","Datei","die","",""
"w0084","de.lex.ordner","folder","Ordner","der","",""
"w0085","de.lex.telefon.phone","phone","Telefon","das","",""
"w0086","de.lex.computer","computer","Computer","der","",""
"w0087","de.lex.app","app","App","die","",""
"w0088","de.lex.sprache","language","Sprache","die","",""
"w0089","de.lex.wort","word","Wort","das","",""
"w0090","de.lex.satz","sentence","Satz","der","",""
"w0091","de.lex.ausdruck","expression","Ausdruck","der","",""
"w0092","de.lex.beispiel","example","Beispiel","das","",""
"w0093","de.lex.niveau","level","Niveau","das","",""
"w0094","de.lex.artikel","article","Artikel","der","",""
"w0095","de.lex.plural","plural","Plural","der","",""
"w0096","de.lex.grammatik","grammar","Grammatik","die","",""
"w0097","de.lex.ich-will-mir-da-nicht-zu-viele-gedanken-machen.i-do-not-want-to-overthink-this","I do not want to overthink this.","Ich will mir da nicht zu viele Gedanken machen.","","","Ich möchte das nicht überanalysieren.|Ich möchte mich da nicht reinsteigern."
"w0098","de.lex.ich-moechte-nichts-erzwingen","I do not want to force anything.","Ich möchte nichts erzwingen.","","","Ich will nichts erzwingen.|Ich möchte da keinen Druck machen."
"w0099","de.lex.das-hat-mich-verletzt","That hurt me.","Das hat mich verletzt.","","","Das hat mich getroffen.|Das tat mir weh."
"w0100","de.lex.ich-brauche-klarheit","I need clarity.","Ich brauche Klarheit.","","","Ich brauche eine klare Aussage.|Ich muss wissen, woran ich bin."
"w0101","de.lex.ich-mache-dir-keinen-vorwurf","I am not blaming you.","Ich mache dir keinen Vorwurf.","","","Ich will dir nichts vorwerfen.|Das ist kein Vorwurf."
"w0102","de.lex.versteh-mich-nicht-falsch.do-not-misunderstand-me","Do not misunderstand me.","Versteh mich nicht falsch.","","","Bitte missversteh mich nicht.|Das meine ich nicht böse."
"w0103","de.lex.das-kam-falsch-rueber.this-came-across-wrong","This came across wrong.","Das kam falsch rüber.","","","Das wurde falsch verstanden.|Das ist anders angekommen, als ich es gemeint habe."
"w0104","de.lex.das-funktioniert-fuer-mich-so-nicht","That does not work for me.","Das funktioniert für mich so nicht.","","","So geht das für mich nicht.|Damit kann ich so nicht gut umgehen."
"w0105","de.lex.ich-brauche-einen-moment","I need a moment.","Ich brauche einen Moment.","","","Gib mir bitte kurz Zeit.|Ich muss kurz sammeln."
"w0106","de.lex.ich-versuche-ruhig-zu-bleiben","I am trying to stay calm.","Ich versuche, ruhig zu bleiben.","","","Ich versuche, nicht aus der Emotion zu reagieren.|Ich will jetzt nicht impulsiv reagieren."
"w0107","de.lex.lass-uns-das-in-ruhe-klaeren","Let us clarify this calmly.","Lass uns das in Ruhe klären.","","","Wir sollten das sachlich klären.|Lass uns da später in Ruhe drüber sprechen."
"w0108","de.lex.das-ist-mir-gerade-zu-viel","This is too much for me right now.","Das ist mir gerade zu viel.","","","Ich bin damit gerade überfordert.|Das überfordert mich gerade."
"w0109","de.lex.ich-moechte-dich-verstehen","I want to understand you.","Ich möchte dich verstehen.","","","Ich will nachvollziehen, was in dir passiert.|Ich möchte besser verstehen, was du meinst."
"w0110","de.lex.ich-kann-deine-gedanken-nicht-lesen","I cannot read your mind.","Ich kann deine Gedanken nicht lesen.","","","Ich kann nicht erraten, was du brauchst.|Ich brauche, dass du es mir sagst."
"w0111","de.lex.ich-moechte-nicht-hinterherrennen","I do not want to chase.","Ich möchte nicht hinterherrennen.","","","Ich will niemandem hinterherlaufen.|Ich möchte nicht in eine Bittstellerrolle gehen."
"w0112","de.lex.du-bist-mir-wichtig","I care about you.","Du bist mir wichtig.","","","Ich habe dich sehr gern.|Du bedeutest mir viel."
"w0113","de.lex.ich-moechte-ehrlich-sein","I want to be honest.","Ich möchte ehrlich sein.","","","Ich sage dir das ganz ehrlich.|Mir ist Ehrlichkeit wichtig."
"w0114","de.lex.das-kommt-darauf-an.that-depends","That depends.","Das kommt darauf an.","","","Das hängt davon ab.|Es kommt auf die Situation an."
"w0115","de.lex.es-geht-nicht-ums-gewinnen","This is not about winning.","Es geht nicht ums Gewinnen.","","","Es geht mir nicht darum, recht zu haben.|Ich will keinen Kampf daraus machen."
"w0116","de.lex.wir-stehen-auf-derselben-seite","We are on the same side.","Wir stehen auf derselben Seite.","","","Wir sind nicht gegeneinander.|Ich will, dass wir zusammen daran arbeiten."
"w0117","de.lex.ich-sehe-das-anders.i-see-this-differently","I see this differently.","Ich sehe das anders.","","","Ich habe da eine andere Sicht.|Aus meiner Sicht ist das anders."
"w0118","de.lex.ich-stimme-dir-teilweise-zu","I partly agree.","Ich stimme dir teilweise zu.","","","Da bin ich teilweise bei dir.|Ein Stück weit verstehe ich das."
"w0119","de.lex.ich-bin-noch-nicht-ueberzeugt","I am not convinced yet.","Ich bin noch nicht überzeugt.","","","Das überzeugt mich noch nicht ganz.|Ich bin da noch unsicher."
"w0120","de.lex.das-ist-wahrscheinlich-die-sauberere-loesung","This is probably the cleaner solution.","Das ist wahrscheinlich die sauberere Lösung.","","","Das ist vermutlich der robustere Weg.|Das wäre aus meiner Sicht die stabilere Lösung."
"w0121","de.lex.lass-es-uns-nicht-verkomplizieren","Let us not overcomplicate it.","Lass es uns nicht verkomplizieren.","","","Lass uns das nicht unnötig kompliziert machen.|Wir sollten es einfach halten."
"w0122","de.lex.das-braucht-eine-robuste-loesung","This needs a robust solution.","Das braucht eine robuste Lösung.","","","Wir brauchen hier eine stabile Lösung.|Das sollte sauber gelöst werden."
"w0123","de.lex.ich-wuerde-mit-der-struktur-anfangen","I would start with the structure.","Ich würde mit der Struktur anfangen.","","","Ich würde zuerst die Struktur klären.|Aus meiner Sicht sollten wir zuerst die Struktur definieren."
"w0124","de.lex.das-ist-nicht-die-eigentliche-ursache","That is not the root cause.","Das ist nicht die eigentliche Ursache.","","","Das ist wahrscheinlich nur ein Symptom.|Die Ursache liegt vermutlich woanders."
"w0125","de.lex.das-sollte-die-bestehende-version-nicht-kaputtmachen","This should not break the existing version.","Das sollte die bestehende Version nicht kaputtmachen.","","","Das darf die bestehende Version nicht beschädigen.|Die bestehende Funktionalität muss erhalten bleiben."
"w0126","de.lex.wir-sollten-es-abwaertskompatibel-halten","We should keep it backward-compatible.","Wir sollten es abwärtskompatibel halten.","","","Die alte Struktur sollte weiterhin funktionieren.|Die bestehende CSV-Struktur muss weiterhin unterstützt werden."
"w0127","de.lex.guten-tag","hello / good day","Guten Tag","","","Hallo|Guten Morgen|Guten Abend"
"w0128","de.lex.auf-wiedersehen","goodbye","Auf Wiedersehen","","","Tschüss|Bis später"
"w0129","de.lex.bitte","please","bitte","","",""
"w0130","de.lex.danke","thank you","danke","","","Vielen Dank|Danke schön"
"w0131","de.lex.gern-geschehen","you are welcome","gern geschehen","","","Bitte schön|Kein Problem"
"w0132","de.lex.entschuldigung","excuse me / sorry","Entschuldigung","","","Tut mir leid"
"w0133","de.lex.ja","yes","ja","","",""
"w0134","de.lex.nein","no","nein","","",""
"w0135","de.lex.vielleicht","maybe","vielleicht","","",""
"w0136","de.lex.ich-verstehe-nicht.i-do-not-understand","I do not understand.","Ich verstehe nicht.","","",""
"w0137","de.lex.koennten-sie-das-bitte-wiederholen","Could you repeat that, please?","Könnten Sie das bitte wiederholen?","","","Kannst du das bitte wiederholen?"
"w0138","de.lex.sprechen-sie-englisch","Do you speak English?","Sprechen Sie Englisch?","","","Sprichst du Englisch?"
"w0139","de.lex.ich-spreche-ein-bisschen-deutsch","I speak a little German.","Ich spreche ein bisschen Deutsch.","","",""
"w0140","de.lex.ich-lerne-deutsch","I am learning German.","Ich lerne Deutsch.","","",""
"w0141","de.lex.ich-komme-aus-ungarn.i-am-from-hungary","I am from Hungary.","Ich komme aus Ungarn.","","",""
"w0142","de.lex.ich-heisse-oliver","My name is Oliver.","Ich heiße Oliver.","","",""
"w0143","de.lex.freut-mich","Nice to meet you.","Freut mich.","","","Sehr erfreut"
"w0144","de.lex.wie-geht-es-ihnen","How are you?","Wie geht es Ihnen?","","","Wie geht es dir?"
"w0145","de.lex.mir-geht-es-gut-danke.i-am-fine","I am fine, thanks.","Mir geht es gut, danke.","","",""
"w0146","de.lex.wo-ist-der-bahnhof","Where is the station?","Wo ist der Bahnhof?","","",""
"w0147","de.lex.wo-ist-die-toilette","Where is the toilet?","Wo ist die Toilette?","","",""
"w0148","de.lex.wo-ist-der-ausgang","Where is the exit?","Wo ist der Ausgang?","","",""
"w0149","de.lex.wo-ist-der-eingang","Where is the entrance?","Wo ist der Eingang?","","",""
"w0150","de.lex.ich-suche-diese-adresse","I am looking for this address.","Ich suche diese Adresse.","","",""
"w0151","de.lex.koennen-sie-mir-helfen","Can you help me?","Können Sie mir helfen?","","","Kannst du mir helfen?"
"w0152","de.lex.wie-viel-kostet-das","How much does it cost?","Wie viel kostet das?","","",""
"w0153","de.lex.kann-ich-mit-karte-zahlen","Can I pay by card?","Kann ich mit Karte zahlen?","","",""
"w0154","de.lex.kann-ich-bar-zahlen","Can I pay in cash?","Kann ich bar zahlen?","","",""
"w0155","de.lex.ich-haette-gern-einen-kaffee","I would like a coffee.","Ich hätte gern einen Kaffee.","","","Ich möchte einen Kaffee."
"w0156","de.lex.ich-haette-gern-ein-bier","I would like a beer.","Ich hätte gern ein Bier.","","",""
"w0157","de.lex.einen-tisch-fuer-zwei-bitte","A table for two, please.","Einen Tisch für zwei, bitte.","","",""
"w0158","de.lex.die-rechnung-bitte","The bill, please.","Die Rechnung, bitte.","","",""
"w0159","de.lex.ist-das-frei","Is this free?","Ist das frei?","","",""
"w0160","de.lex.ich-habe-eine-reservierung","I have a reservation.","Ich habe eine Reservierung.","","",""
"w0161","de.lex.ich-brauche-eine-fahrkarte","I need a ticket.","Ich brauche eine Fahrkarte.","","",""
"w0162","de.lex.eine-fahrkarte-nach-berlin-bitte","One ticket to Berlin, please.","Eine Fahrkarte nach Berlin, bitte.","","",""
"w0163","de.lex.wann-faehrt-der-zug-ab","When does the train leave?","Wann fährt der Zug ab?","","",""
"w0164","de.lex.wann-kommt-er-an","When does it arrive?","Wann kommt er an?","","",""
"w0165","de.lex.ich-habe-mich-verlaufen","I am lost.","Ich habe mich verlaufen.","","",""
"w0166","de.lex.ich-brauche-einen-arzt","I need a doctor.","Ich brauche einen Arzt.","","","Ich brauche eine Ärztin."
"w0167","de.lex.mir-geht-es-nicht-gut","I do not feel well.","Mir geht es nicht gut.","","",""
"w0168","de.lex.es-tut-hier-weh","It hurts here.","Es tut hier weh.","","",""
"w0169","de.lex.ich-bin-dagegen-allergisch","I am allergic to this.","Ich bin dagegen allergisch.","","",""
"w0170","de.lex.ich-brauche-wasser","I need water.","Ich brauche Wasser.","","",""
"w0171","de.lex.links","left","links","","",""
"w0172","de.lex.rechts","right","rechts","","",""
"w0173","de.lex.geradeaus","straight ahead","geradeaus","","",""
"w0174","de.lex.in-der-naehe","nearby","in der Nähe","","",""
"w0175","de.lex.heute","today","heute","","",""
"w0176","de.lex.morgen.tomorrow","tomorrow","morgen","","",""
"w0177","de.lex.gestern","yesterday","gestern","","",""
"w0178","de.lex.jetzt","now","jetzt","","",""
"w0179","de.lex.spaeter","later","später","","",""
"w0180","de.lex.ich-habe-es-eilig.i-am-in-a-hurry","I am in a hurry.","Ich habe es eilig.","","",""
"w0181","de.lex.ich-habe-zeit","I have time.","Ich habe Zeit.","","",""
"w0182","de.lex.kein-problem","No problem.","Kein Problem.","","",""
"w0183","de.lex.das-ist-in-ordnung","That is okay.","Das ist in Ordnung.","","",""
"w0184","de.lex.es-tut-mir-leid.i-am-sorry","I am sorry.","Es tut mir leid.","","",""
"w0185","de.lex.sein","to be","sein","","e.g. I am tired. → Ich bin müde.",""
"w0186","de.lex.haben","to have","haben","","e.g. I have time. → Ich habe Zeit.",""
"w0187","de.lex.werden","to become / to get","werden","","e.g. It is getting better. → Es wird besser.",""
"w0188","de.lex.gehen.go","to go","gehen","","e.g. I am going home. → Ich gehe nach Hause.",""
"w0189","de.lex.kommen","to come","kommen","","e.g. Are you coming with me? → Kommst du mit?",""
"w0190","de.lex.machen","to do / to make","machen","","e.g. What are you doing? → Was machst du?",""
"w0191","de.lex.sagen","to say","sagen","","e.g. What did you say? → Was hast du gesagt?",""
"w0192","de.lex.sprechen","to speak","sprechen","","e.g. We need to talk. → Wir müssen sprechen.",""
"w0193","de.lex.fragen","to ask","fragen","","e.g. Can I ask you something? → Kann ich dich etwas fragen?",""
"w0194","de.lex.antworten","to answer","antworten","","e.g. I will answer later. → Ich antworte später.",""
"w0195","de.lex.denken","to think","denken","","e.g. I think about it. → Ich denke darüber nach.",""
"w0196","de.lex.wissen.know","to know","wissen","","e.g. I do not know. → Ich weiß es nicht.",""
"w0197","de.lex.kennen.know-a-person","to know a person / place","kennen","","e.g. I know him. → Ich kenne ihn.",""
"w0198","de.lex.verstehen","to understand","verstehen","","e.g. I understand you. → Ich verstehe dich.",""
"w0199","de.lex.meinen","to mean","meinen","","e.g. What do you mean? → Was meinst du?",""
"w0200","de.lex.wollen","to want","wollen","","e.g. I do not want to force anything. → Ich will nichts erzwingen.",""
"w0201","de.lex.moechten","would like","möchten","","e.g. I would like to understand it. → Ich möchte es verstehen.",""
"w0202","de.lex.koennen","can / to be able to","können","","e.g. I can do it. → Ich kann das machen.",""
"w0203","de.lex.muessen","must / have to","müssen","","e.g. We have to clarify this. → Wir müssen das klären.",""
"w0204","de.lex.sollen.should","should / supposed to","sollen","","e.g. What should I do? → Was soll ich tun?",""
"w0205","de.lex.duerfen","may / to be allowed to","dürfen","","e.g. May I ask? → Darf ich fragen?",""
"w0206","de.lex.brauchen","to need","brauchen","","e.g. I need clarity. → Ich brauche Klarheit.",""
"w0207","de.lex.bleiben","to stay / remain","bleiben","","e.g. Stay here. → Bleib hier.",""
"w0208","de.lex.lassen","to let / leave","lassen","","e.g. Let it be for now. → Lass es erst mal.",""
"w0209","de.lex.geben","to give","geben","","e.g. Give me a moment. → Gib mir einen Moment.",""
"w0210","de.lex.nehmen","to take","nehmen","","e.g. I will take this one. → Ich nehme das.",""
"w0211","de.lex.finden","to find","finden","","e.g. I find it difficult. → Ich finde es schwierig.",""
"w0212","de.lex.fuehlen","to feel","fühlen","","e.g. I feel safe. → Ich fühle mich sicher.",""
"w0213","de.lex.merken","to notice","merken","","e.g. I notice that something is wrong. → Ich merke, dass etwas nicht stimmt.",""
"w0214","de.lex.sehen","to see","sehen","","e.g. I see what you mean. → Ich sehe, was du meinst.",""
"w0215","de.lex.hoeren","to hear","hören","","e.g. I heard that differently. → Ich habe das anders gehört.",""
"w0216","de.lex.glauben","to believe / think","glauben","","e.g. I believe you. → Ich glaube dir.",""
"w0217","de.lex.hoffen","to hope","hoffen","","e.g. I hope so. → Ich hoffe es.",""
"w0218","de.lex.sich-fuerchten","to fear / be afraid","sich fürchten","","e.g. I am not afraid of you. → Ich fürchte mich nicht vor dir.",""
"w0219","de.lex.angst-haben-vor.be-afraid","to be afraid","Angst haben vor","","vor + dative e.g. I am afraid of losing this. → Ich habe Angst davor, das zu verlieren.",""
"w0220","de.lex.warten-auf","to wait for","warten auf","","auf + accusative e.g. I am waiting for you. → Ich warte auf dich.",""
"w0221","de.lex.nachdenken-ueber","to think about","nachdenken über","","über + accusative e.g. I am thinking about it. → Ich denke darüber nach.",""
"w0222","de.lex.sprechen-ueber","to talk about","sprechen über","","über + accusative e.g. We should talk about it. → Wir sollten darüber sprechen.",""
"w0223","de.lex.entscheiden","to decide","entscheiden","","e.g. I do not want to decide now. → Ich möchte jetzt nicht entscheiden.",""
"w0224","de.lex.klaeren","to clarify","klären","","e.g. Let us clarify this calmly. → Lass uns das in Ruhe klären.",""
"w0225","de.lex.erklaeren","to explain","erklären","","e.g. Can you explain it to me? → Kannst du mir das erklären?",""
"w0226","de.lex.versuchen","to try","versuchen","","e.g. I am trying to understand it. → Ich versuche, es zu verstehen.",""
"w0227","de.lex.aendern","to change","ändern","","e.g. That changes the situation. → Das ändert die Situation.",""
"w0228","de.lex.passieren","to happen","passieren","","e.g. What happened? → Was ist passiert?",""
"w0229","de.lex.funktionieren","to work / function","funktionieren","","e.g. This does not work like this. → Das funktioniert so nicht.",""
"w0230","de.lex.muessen-sein","to need to be","müssen sein","","e.g. It has to be clear. → Es muss klar sein.",""
"w0231","de.lex.sinn-ergeben","to make sense","Sinn ergeben","","e.g. That makes sense. → Das ergibt Sinn.",""
"w0232","de.lex.zurueckfallen-in","to fall back into","zurückfallen in","","in + accusative e.g. I do not want to fall back into the same dynamic. → Ich möchte nicht i…",""
"w0233","de.lex.das-kommt-darauf-an.that-depends","That depends.","Das kommt darauf an.","","",""
"w0234","de.lex.mal-sehen","Let’s see.","Mal sehen.","","",""
"w0235","de.lex.keine-ahnung","No idea.","Keine Ahnung.","","",""
"w0236","de.lex.das-ergibt-sinn","That makes sense.","Das ergibt Sinn.","","",""
"w0237","de.lex.das-ergibt-keinen-sinn","That does not make sense.","Das ergibt keinen Sinn.","","",""
"w0238","de.lex.ich-verstehe-was-du-meinst","I see what you mean.","Ich verstehe, was du meinst.","","",""
"w0239","de.lex.ich-sehe-das-anders.i-see-it-differently","I see it differently.","Ich sehe das anders.","","",""
"w0240","de.lex.das-klingt-gut","That sounds good.","Das klingt gut.","","",""
"w0241","de.lex.das-klingt-schwierig","That sounds difficult.","Das klingt schwierig.","","",""
"w0242","de.lex.genau","Exactly.","Genau.","","",""
"w0243","de.lex.nicht-ganz","Not exactly.","Nicht ganz.","","",""
"w0244","de.lex.mehr-oder-weniger","More or less.","Mehr oder weniger.","","",""
"w0245","de.lex.auf-jeden-fall.in-any-case","In any case.","Auf jeden Fall.","","",""
"w0246","de.lex.jedenfalls","Anyway.","Jedenfalls.","","",""
"w0247","de.lex.uebrigens","By the way.","Übrigens.","","",""
"w0248","de.lex.eigentlich","Actually...","Eigentlich ...","","",""
"w0249","de.lex.ehrlich-gesagt","To be honest...","Ehrlich gesagt ...","","",""
"w0250","de.lex.ganz-ehrlich","Honestly?","Ganz ehrlich?","","",""
"w0251","de.lex.ich-meine","I mean...","Ich meine ...","","",""
"w0252","de.lex.wie-soll-ich-sagen","How should I put it?","Wie soll ich sagen?","","",""
"w0253","de.lex.das-ist-schwer-zu-sagen","It is hard to say.","Das ist schwer zu sagen.","","",""
"w0254","de.lex.so-einfach-ist-das-nicht","It is not that simple.","So einfach ist das nicht.","","",""
"w0255","de.lex.darum-geht-es","That is the point.","Darum geht es.","","",""
"w0256","de.lex.darum-geht-es-nicht","That is not the point.","Darum geht es nicht.","","",""
"w0257","de.lex.das-ist-das-problem","That is the problem.","Das ist das Problem.","","",""
"w0258","de.lex.nicht-unbedingt","Not necessarily.","Nicht unbedingt.","","",""
"w0259","de.lex.wahrscheinlich","Probably.","Wahrscheinlich.","","",""
"w0260","de.lex.anscheinend","Apparently.","Anscheinend.","","",""
"w0261","de.lex.natuerlich","Of course.","Natürlich.","","",""
"w0262","de.lex.leider","Unfortunately.","Leider.","","",""
"w0263","de.lex.zum-glueck","Luckily.","Zum Glück.","","",""
"w0264","de.lex.mach-dir-keine-sorgen","No worries.","Mach dir keine Sorgen.","","",""
"w0265","de.lex.lass-dir-zeit","Take your time.","Lass dir Zeit.","","",""
"w0266","de.lex.einen-moment","One moment.","Einen Moment.","","",""
"w0267","de.lex.warte-kurz","Wait a second.","Warte kurz.","","",""
"w0268","de.lex.ich-bin-gleich-zurueck","I will be right back.","Ich bin gleich zurück.","","",""
"w0269","de.lex.ich-will-mir-da-nicht-zu-viele-gedanken-machen.i-do-not-want-to-overthink-it","I do not want to overthink it.","Ich will mir da nicht zu viele Gedanken machen.","","","Ich möchte das nicht zerdenken."
"w0270","de.lex.versteh-mich-nicht-falsch.do-not-get-me-wrong","Do not get me wrong.","Versteh mich nicht falsch.","","",""
"w0271","de.lex.das-kam-falsch-rueber.that-came-across-wrong","That came across wrong.","Das kam falsch rüber.","","",""
"w0272","de.lex.so-habe-ich-das-nicht-gemeint","I did not mean it like that.","So habe ich das nicht gemeint.","","",""
"w0273","de.lex.ich-muss-darueber-nachdenken","I need to think about it.","Ich muss darüber nachdenken.","","",""
"w0274","de.lex.lass-es-uns-nicht-zu-kompliziert-machen","Let us not make it too complicated.","Lass es uns nicht zu kompliziert machen.","","",""
"w0275","de.lex.fuer-den-moment-ist-es-okay","It is fine for now.","Für den Moment ist es okay.","","",""
"w0276","de.lex.wir-kriegen-das-schon-hin","We will manage somehow.","Wir kriegen das schon hin.","","","Wir schaffen das schon."
"w0277","de.lex.das-wird-schon","It will be alright.","Das wird schon.","","",""
"w0278","de.lex.ich-habe-gerade-keine-lust","I am not in the mood.","Ich habe gerade keine Lust.","","",""
"w0279","de.lex.ich-bin-muede.i-am-tired","I am tired.","Ich bin müde.","","",""
"w0280","de.lex.ich-bin-erschoepft","I am exhausted.","Ich bin erschöpft.","","",""
"w0281","de.lex.ich-brauche-kurz-frische-luft","I need some air.","Ich brauche kurz frische Luft.","","",""
"w0282","de.lex.lass-uns-eine-pause-machen","Let’s take a break.","Lass uns eine Pause machen.","","",""
"w0283","de.lex.weil-ich-es-nicht-weiss","because I do not know","weil ich es nicht weiß","","Verb goes to end after weil.",""
"w0284","de.lex.weil-es-wichtig-ist","because it is important","weil es wichtig ist","","",""
"w0285","de.lex.weil-ich-klarheit-brauche","because I need clarity","weil ich Klarheit brauche","","Related noun article: die.",""
"w0286","de.lex.dass-ich-es-nicht-verstehe","that I do not understand it","dass ich es nicht verstehe","","Verb goes to end after dass.",""
"w0287","de.lex.dass-wir-sprechen-sollten","that we should talk","dass wir sprechen sollten","","",""
"w0288","de.lex.wenn-du-zeit-hast","if you have time","wenn du Zeit hast","","Related noun article: die.",""
"w0289","de.lex.wenn-etwas-nicht-stimmt","if something is wrong","wenn etwas nicht stimmt","","",""
"w0290","de.lex.obwohl-ich-es-verstehe","although I understand it","obwohl ich es verstehe","","",""
"w0291","de.lex.obwohl-es-weh-tut","although it hurts","obwohl es weh tut","","",""
"w0292","de.lex.bevor-ich-antworte","before I answer","bevor ich antworte","","",""
"w0293","de.lex.nachdem-wir-sprechen","after we talk","nachdem wir sprechen","","",""
"w0294","de.lex.damit-es-klar-ist","so that it is clear","damit es klar ist","","",""
"w0295","de.lex.ob-es-funktioniert","whether it works","ob es funktioniert","","",""
"w0296","de.lex.was-passiert-ist","what happened","was passiert ist","","",""
"w0297","de.lex.warum-es-weh-tut","why it hurts","warum es weh tut","","",""
"w0298","de.lex.wie-ich-es-sagen-soll","how I should say it","wie ich es sagen soll","","",""
"w0299","de.lex.ich-muss-gehen","I have to go.","Ich muss gehen.","","",""
"w0300","de.lex.ich-kann-bleiben","I can stay.","Ich kann bleiben.","","",""
"w0301","de.lex.ich-will-es-verstehen","I want to understand it.","Ich will es verstehen.","","",""
"w0302","de.lex.ich-moechte-etwas-fragen","I would like to ask something.","Ich möchte etwas fragen.","","",""
"w0303","de.lex.ich-sollte-jetzt-nicht-reagieren","I should not react now.","Ich sollte jetzt nicht reagieren.","","",""
"w0304","de.lex.darf-ich-dich-etwas-fragen","May I ask you something?","Darf ich dich etwas fragen?","","",""
"w0305","de.lex.ich-denke-darueber-nach","I am thinking about it.","Ich denke darüber nach.","","über + accusative; da-compound darüber",""
