"lexeme_id","english","target","article","pos","level"
"de.verb.erklaeren","explain","erklären","","verb","B1"
"de.verb.gefallen","please/appeal","gefallen","","verb","B1"
"de.adj.albern","silly","albern","","adjective","A2"
"de.adj.solch","such","solch","","adjective","A2"
"de.noun.kleidung","clothing","Kleidung","die","noun","A2"
"de.noun.strasse","street","Straße","die","noun","A2"
"de.prepositionparticle.auf","on/up","auf","","preposition/particle","A2"
"de.verb.werden","become/will","werden","","verb","A2"
"de.verb.wirken","seem","wirken","","verb","B1"
"de.adj.normal","normal","normal","","adjective","A2"
"de.adj.voellig","complete","völlig","","adjective","A2"
"de.adverb.dagegen","by contrast","dagegen","","adverb","B1"
"de.pronoun.sie","she/her/they/them","sie","","pronoun","A2"
"de.determiner.dieser","this","dieser","","determiner","A2"
"de.noun.gangsterfilm","gangster film","Gangsterfilm","","noun","B1"
"de.noun.regel","rule","Regel","die","noun","A2"
"de.preposition.mit","with","mit","","preposition","A2"
"de.verb.vergleichen","compare","vergleichen","","verb","B1"
"de.adverb.oft","oft","oft","","adverb","A2"
"de.conjunction.bevor","before","bevor","","conjunction","A2"
"de.noun.gangster","gangster","Gangster","der","noun","B1"
"de.verb.antworten","answer","antworten","","verb","A2"
"de.verb.schweigen","remain silent","schweigen","","verb","B1"
"de.noun.leben","life","Leben","das","noun","A2"
"de.noun.verhalten","Verhalten","Verhalten","","noun","B1"
"de.adj.irgendwie","somehow","irgendwie","","adjective","A2"
"de.noun.welt","world","Welt","die","noun","A2"
"de.preposition.in","in/into","in","","preposition","A2"
"de.pronoun.es","it","es","","pronoun","A2"
"de.verb.passen","fit","passen","","verb","A2"
"de.name.hanna","Hanna","Hanna","","name","A2"
"de.noun.lieblingskrankenschwester","favorite nurse","Lieblingskrankenschwester","die","noun","B1"
"de.verb.heissen","be called","heißen","","verb","B1"
"de.adj.kurz","short","kurz","","adjective","A2"
"de.adj.schwarz","black","schwarz","","adjective","A2"
"de.conjunction.und","and","und","","conjunction","A2"
"de.name.libanon","Lebanon","Libanon","der","name","A2"
"de.noun.haar","hair","Haar","das","noun","A2"
"de.prepositionparticle.aus","from/out","aus","","preposition/particle","A2"
"de.verb.haben","have","haben","","verb","A2"
"de.adverb.ganz","quite/whole","ganz","","adverb","A2"
"de.verb.tragen","wear/carry","tragen","","verb","A2"
"de.adj.besonders","special","besonders","","adjective","A2"
"de.adj.auffaellig","noticeable","auffällig","","adjective","A2"
"de.adj.traurig","sad","traurig","","adjective","A2"
"de.noun.waesche","laundry/underwear","Wäsche","die","noun","B1"
"de.adj.scherzhaft","joking","scherzhaft","","adjective","A2"
"de.adj.seltsam","strange","seltsam","","adjective","A2"
"de.adverb.sich","sich","sich","","adverb","A2"
"de.conjunction.ob","whether","ob","","conjunction","B1"
"de.verb.fragen","ask","fragen","","verb","A2"
"de.adverb.noch","still/yet","noch","","adverb","A2"
"de.noun.ausbildung","training","Ausbildung","die","noun","A2"
"de.adverb.um","um","um","","adverb","A2"
"de.adverb.zuerst","first","zuerst","","adverb","A2"
"de.conjunction.wenn","when/if","wenn","","conjunction","A2"
"de.noun.ecke","corner","Ecke","die","noun","A2"
"de.verb.schauen","look","schauen","","verb","B1"
"de.adj.hoeflich","polite","höflich","","adjective","A2"
"de.noun.tuerrahmen","doorframe","Türrahmen","der","noun","B1"
"de.prepositionparticle.an","at/on","an","","preposition/particle","A2"
"de.verb.klopfen","knock","klopfen","","verb","B1"
"de.adj.neu","new","neu","","adjective","A2"
"de.adverb.jeden","every","jeden","","adverb","A2"
"de.article.ein","a/an","ein","","article","A2"
"de.noun.name","name","Name","der","noun","A2"
"de.preposition.fuer","for","fuer","","preposition","A2"
"de.verb.erfinden","invent","erfinden","","verb","B1"
"de.noun.maiki","Maiki","Maiki","","noun","B1"
"de.verb.nennen","call","nennen","","verb","B1"
"de.adj.verrueckt","crazy","verrückt","","adjective","A2"
"de.adverb.spaeter","later","spaeter","","adverb","A2"
"de.name.michael_schumacher","Michael Schumacher","Michael Schumacher","","name","A2"
"de.adverb.auch","also","auch","","adverb","A2"
"de.name.attila_der_hunnenkoenig","Attila the Hun king","Attila der Hunnenkönig","","name","A2"
"de.adj.ander","other","ander","","adjective","A2"
"de.noun.schweinemoerder","pig killer","Schweinemörder","der","noun","B1"
"de.phrase.kranker_hase","sick rabbit","kranker Hase","","phrase","A2"
"de.verb.bedeuten","mean","bedeuten","","verb","B1"
"de.adj.lang","long","lang","","adjective","A2"
"de.noun.witz","jokes","Witz","der","noun","A2"
"de.preposition.wegen","because of","wegen","","preposition","B1"
"de.verb.bleiben","stay","bleiben","","verb","A2"
"de.verb.moegen","like","mögen","","verb","A2"
"de.noun.verband","bandage","Verband","der","noun","B1"
"de.verb.wechseln","change","wechseln","","verb","A2"
"de.adverb.sehr","very","sehr","","adverb","A2"
"de.noun.behandlung","treatment/procedure","Behandlung","die","noun","B1"
"de.verb.wehtun","hurt","wehtun","","verb","A2"
"de.noun.gesicht","face","Gesicht","das","noun","A2"
"de.verb.leiden","suffer","leiden","","verb","B1"
"de.verb.zeigen","show/point","zeigen","","verb","A2"
"de.adverb.danach","afterwards","danach","","adverb","A2"
"de.noun.spass","fun","Spaß","der","noun","A2"
"de.verb.scherzen","joke","scherzen","","verb","B1"
"de.verb.heiraten","marry","heiraten","","verb","A2"
"de.adj.fest","steady","fest","","adjective","A2"
"de.adverb.leider","unfortunately","leider","","adverb","A2"
"de.noun.partner","partner","Partner","der","noun","A2"
"de.adj.medizinisch","medical","medizinisch","","adjective","A2"
"de.adverb.manchmal","sometimes","manchmal","","adverb","A2"
"de.noun.grund","reason","Grund","der","noun","A2"
"de.prepositionconjunction.ohne","without","ohne","","preposition/conjunction","A2"
"de.verb.besuchen","visit","besuchen","","verb","A2"
"de.noun.bett","bed","Bett","das","noun","A2"
"de.possessive.sein","his/its","sein","","possessive","A2"
"de.verb.setzen","set/sit down","setzen","","verb","B1"
"de.adverb.sonst","otherwise","sonst","","adverb","A2"
"de.determiner.kein","no/not a","kein","","determiner","A2"
"de.noun.besuch","visit/visitor","Besuch","der","noun","A2"
"de.verb.bekommen","get","bekommen","","verb","B1"
"de.adj.gut","good","gut","","adjective","A2"
"de.adj.wirklich","real","wirklich","","adjective","A2"
"de.noun.gespraech","conversations","Gespräch","das","noun","A2"
"de.verb.fuehren","lead/have","führen","","verb","B1"
"de.noun.erwachsene","adults","Erwachsene","der/die","noun","A2"
"de.adj.erstaunlich","surprising","erstaunlich","","adjective","A2"
"de.adj.leicht","easy","leicht","","adjective","A2"
"de.particlepreposition.zu","to","zu","","particle/preposition","A2"
"de.verb.reden","talk","reden","","verb","A2"
"de.adj.schwierig","difficult","schwierig","","adjective","A2"
"de.noun.alter","age","Alter","das","noun","A2"
"de.noun.maedchen","girl","Mädchen","das","noun","A2"
"de.noun.unterschied","difference","Unterschied","der","noun","A2"
