sentence_id,english,target,level,tags,hint
s062,"I see her blurred reflection on the gym floor, the glitter pants that the girls always wear now, the tops.","Ich sehe ihr verschwommenes Spiegelbild auf dem Hallenboden, die Glitzerhosen, die die Mädchen jetzt immer tragen, die Oberteile.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s063,"And that lately half of them do gymnastics in thick wool sweaters, and at least three always have a doctor’s note.","Und dass neuerdings die Hälfte von ihnen in dicken Wollpullovern turnt, und mindestens drei haben immer ein Attest vom Arzt.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s064,"Hagecius High School Berlin, eighth grade.","Hagecius-Gymnasium Berlin, achte Klasse.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s065,"I thought fifteen, I say, and the police officer shakes his head.","«Ich dachte, fünfzehn?», sage ich, und der Polizist schüttelt den Kopf.",B1,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s066,"No, fourteen. Fourteen. What about the coffee, Horst?","«Nee, vierzehn. Vierzehn. Was ist mit dem Kaffee, Horst?»",A2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s067,"The coffee is broken, says Horst.","«Kaffee ist kaputt», sagt Horst.",A1,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s068,I would like to speak to my lawyer.,Ich möchte meinen Anwalt sprechen.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s069,That would probably be the sentence I would have to say now.,"Das wäre der Satz, den ich jetzt wahrscheinlich sagen müsste.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s070,"That is the right sentence in the right situation, as everyone knows from television.","Das ist der richtige Satz in der richtigen Situation, wie jeder aus dem Fernsehen weiß.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s071,But it is so easy to say: I would like to speak to my lawyer.,Aber das sagt sich so leicht: Ich möchte meinen Anwalt sprechen.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s072,They would probably laugh themselves to death.,Würden die sich wahrscheinlich totlachen.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s073,The problem is: I have no idea what this sentence means.,"Das Problem ist: Ich habe keine Ahnung, was dieser Satz bedeutet.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s074,"If I say I want to speak to my lawyer, and they ask, Who do you want to speak to? Your lawyer? what am I supposed to answer?","Wenn ich sage, ich möchte meinen Anwalt sprechen, und sie fragen: «Wen möchtest du sprechen? Deinen Anwalt?» – was soll ich dann antworten?",B2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s075,"I have never seen a lawyer in my life, and I also do not know what I need one for.","Ich hab in meinem Leben noch keinen Anwalt gesehen, und ich weiß auch nicht, wozu ich einen brauche.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s076,I do not even know whether Rechtsanwalt is the same as Anwalt.,"Ich weiß nicht mal, ob Rechtsanwalt dasselbe ist wie Anwalt.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s077,Or prosecutor.,Oder Staatsanwalt.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s078,"Something like a judge, I assume, except that he is on my side and knows more about laws than I do.","So was Ähnliches wie ein Richter, nehme ich an, nur dass er auf meiner Seite steht und mehr Ahnung von Gesetzen hat als ich.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s079,But practically everyone in the room knows more about laws than I do.,"Aber mehr Ahnung von Gesetzen als ich hat hier praktisch jeder, der im Raum ist.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s080,Every police officer above all.,Jeder Polizist vor allem.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s081,And of course I could ask them.,Und die könnte ich natürlich fragen.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s082,"But I bet that if I ask the younger one whether I might need some kind of lawyer now, he will turn to his colleague and shout: Hey, Horst! Horschti! Come here! Our hero here wants to know whether he needs a lawyer! Look at this. Bleeding all over the floor, peeing his pants like a world champion and wants to speak to his lawyer!","Aber ich wette, wenn ich den Jüngeren frage, ob ich jetzt so eine Art Anwalt brauchen könnte, dann dreht der sich zu seinem Kollegen um und ruft: «Hey, Horst! Horschti! Komm mal her! Unser Held hier will wissen, ob er einen Anwalt braucht! Guck dir das an. Blutet den ganzen Boden voll, pisst sich in die Hosen wie ein Weltmeister und – will seinen Anwalt sprechen!»",C1,literature;dialogue;colloquial,Long sentence; identify the main verb first.
s083,Hahaha.,Hahaha.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s084,Of course they would crack up laughing.,Da lachen die sich natürlich kaputt.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s085,And I think I feel bad enough; I do not also have to make a fool of myself.,"Und ich finde, es geht mir schlecht genug, ich muss mich nicht auch noch zum Obst machen.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s086,What has happened has happened.,"Was passiert ist, ist passiert.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s087,Nothing more is coming now.,Mehr kommt jetzt nicht.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s088,Even the lawyer cannot change anything about that now.,Da kann auch der Anwalt nichts mehr ändern.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s089,Because only a lunatic could try to deny that we made a mess of things.,"Weil, dass wir Mist gebaut haben, könnte nur ein Geisteskranker abzustreiten versuchen.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s090,What should I say?,Was soll ich sagen?,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s091,That I spent the whole week at home by the pool; ask the cleaning lady?,"Dass ich die ganze Woche zu Hause am Pool gelegen hab, fragen Sie die Putzfrau?",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s092,That the halves of pigs fell from the sky like rain?,Dass die Schweinehälften wie Regen vom Himmel gefallen sind?,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s093,There is really not much I can still do now.,Viel kann ich jetzt wirklich nicht mehr tun.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s094,I could still pray toward Mecca and crap my pants; otherwise there are not many options left.,"Ich könnte noch gen Mekka beten und mir in die Hosen kacken, sonst sind nicht mehr viele Optionen offen.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s095,"The younger one, who actually looks quite nice, shakes his head and repeats: Fifteen is nonsense. Fourteen. At fourteen you are criminally responsible.","Der Jüngere, der eigentlich ganz nett aussieht, schüttelt den Kopf und wiederholt: «Fünfzehn ist Quatsch. Vierzehn. Mit vierzehn bist du strafmündig.»",B2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s096,"I should probably be feeling guilt and remorse and everything now, but honestly, I feel nothing at all.","Wahrscheinlich sollte ich jetzt Schuldgefühle haben und Reue und alles, aber, ehrlich gesagt, ich fühle überhaupt nichts.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s097,I am simply incredibly dizzy.,Mir ist einfach nur wahnsinnig schwindlig.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s098,I scratch the lower part of my calf.,Ich kratze mich unten an meiner Wade.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s099,"Only there where my calf used to be, there is nothing anymore.","Nur da, wo früher meine Wade war, ist jetzt nichts mehr.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s100,A violet streak of slime sticks to my hand.,Ein violetter Streifen Schleim bleibt an meiner Hand kleben.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s101,"That is not my blood, I had said earlier when they had asked me.","Das ist nicht mein Blut, hatte ich vorhin gesagt, als sie mich gefragt hatten.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s102,"There was enough other slime on the road to take care of, and I really thought that it was not my blood.","Lag ja genug anderer Schleim auf der Straße, um den man sich kümmern konnte, und ich dachte wirklich, dass das nicht mein Blut ist.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s103,"But if that is not my blood, where is my calf now, I ask myself?","Aber wenn das nicht mein Blut ist, wo ist denn jetzt meine Wade, frage ich mich?",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s104,I pull up the pant leg and look underneath.,Ich ziehe das Hosenbein hoch und gucke drunter.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s105,Then I have exactly one more second to be amazed.,"Dann habe ich noch genau eine Sekunde, um mich zu wundern.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s106,"If I had to see that in a film, I would definitely feel sick, I think, and in fact now I do feel sick, in this highway police station, which is also somehow reassuring.","Wenn ich das im Film sehen müsste, würde mir mit Sicherheit übel, denke ich, und tatsächlich wird mir jetzt übel, auf dieser Station der Autobahnpolizei, was ja auch irgendwie beruhigend ist.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s107,"For a brief moment I still see my reflection coming toward me on the linoleum, and then there is a bang, and I am gone.","Für einen kurzen Moment sehe ich noch mein Spiegelbild auf dem Linoleum auf mich zukommen, und dann knallt es, und ich bin weg.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s108,The doctor opens and closes his mouth like a carp.,Der Arzt macht den Mund auf und zu wie ein Karpfen.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s109,It takes a few seconds until words come out.,"Es dauert ein paar Sekunden, bis Worte rauskommen.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s110,The doctor screams.,Der Arzt schreit.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s111,Why is the doctor screaming now?,Warum schreit denn jetzt der Arzt?,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s112,He screams at the little woman.,Er schreit die kleine Frau an.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s113,"Then the uniformed man joins in, a blue uniform.","Dann mischt sich der Uniformierte ein, eine blaue Uniform.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s114,A police officer I do not know yet.,"Ein Polizist, den ich noch nicht kenne.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s115,He reprimands the doctor.,Er weist den Arzt zurecht.,B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s116,How do I even know that he is a doctor?,"Woher weiß ich überhaupt, dass das ein Arzt ist?",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s117,He is wearing a white coat.,Er trägt einen weißen Kittel.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s118,So he could also be a baker.,Könnte also auch ein Bäcker sein.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s119,But in the coat pocket he has a metal flashlight and one of those listening things.,Aber in der Kitteltasche hat er eine Metalltaschenlampe und so ein Horchding.,B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s120,"What would a baker do with the listening thing, listen to rolls?","Was soll ein Bäcker mit dem Horchding, Brötchen abhorchen?",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s121,He is probably a doctor.,Wird schon ein Arzt sein.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s122,And this doctor is now pointing at my head and roaring.,Und dieser Arzt zeigt jetzt auf meinen Kopf und brüllt.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s123,I feel around under the blanket where my legs are.,"Ich taste unter der Bettdecke herum, wo meine Beine sind.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s124,They are naked.,Sie sind nackt.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s125,They also no longer feel peed on or bloody.,Fühlen sich auch nicht mehr bepisst an oder blutig.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s126,Where am I here?,Wo bin ich denn hier?,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s127,I am lying on my back.,Ich liege auf dem Rücken.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s128,Above me everything is yellow.,Oben ist alles gelb.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s129,"A glance to the side: large, dark windows.","Blick zur Seite: große, dunkle Fenster.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s130,The other side: a white plastic curtain.,Andere Seite: weißer Plastikvorhang.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s131,"A hospital, I would say.","Krankenhaus, würde ich sagen.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s132,That fits with the doctor too.,Das passt ja auch zum Arzt.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s133,"And of course, the little woman is also wearing a coat and carrying a notepad.","Und klar, die kleine Frau trägt auch einen Kittel und einen Schreibblock.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s134,"And which hospital, maybe the Charité?","Und welches Krankenhaus, vielleicht die Charité?",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s135,"No, no idea.","Nee, keine Ahnung.",A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s136,"After all, I am not in Berlin.",Ich bin ja nicht in Berlin.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s137,"I think I should ask, but nobody pays attention to me.","Mal fragen, denke ich, aber niemand beachtet mich.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s138,"Because the police officer does not like being shouted at by the doctor, and he shouts back, but then the doctor shouts even louder, and then you notice, interestingly, who is in charge here.","Weil, dem Polizisten gefällt das nämlich nicht, wie er da von dem Arzt angeschrien wird, und er schreit zurück, aber da schreit dann der Arzt noch lauter – und da merkt man interessanterweise, wer hier das Sagen hat.",C1,literature;narration;colloquial,Long sentence; identify the main verb first.
s139,"Clearly the doctor is in charge, not the police officer, and I am so exhausted and somehow happy and tired; inside I am padded with happiness, and I fall asleep again without saying a word.","Das Sagen hat nämlich eindeutig der Arzt und nicht der Polizist, und ich bin so erschöpft und auch irgendwie glücklich und müde, ich bin von innen wie mit Glück ausgepolstert und schlafe wieder ein, ohne ein Wort zu sagen.",C1,literature;narration;colloquial,Long sentence; identify the main verb first.
s140,"The happiness, it turns out later, is called Valium.","Das Glück, stellt sich später raus, heißt Valium.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s141,It is distributed with big syringes.,Es wird mit großen Spritzen verteilt.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s142,"The next time I wake up, everything is bright.","Als ich das nächste Mal aufwache, ist alles hell.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s143,The sun stands in the large windows.,In den großen Fenstern steht die Sonne.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s144,Someone is scraping around on the soles of my feet.,An meinen Fußsohlen wird herumgekratzt.,B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s145,"Aha, another doctor again, a different one this time, and he has also brought a nurse again.","Aha, schon wieder ein Arzt, ein anderer diesmal, und eine Krankenschwester hat er auch wieder dabei.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s146,No police officers.,Keine Polizisten.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s147,Only the way the doctor is scratching at my feet is not pleasant.,"Nur dass der Arzt so an meinen Füßen kratzt, ist nicht angenehm.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s148,Why is he scratching like that?,Warum kratzt der denn so?,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s149,"He has woken up, the nurse remarks.","«Er ist aufgewacht», bemerkt die Krankenschwester.",B1,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s150,Not very clever.,Nicht sehr geistreich.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s151,"Ah, aha. The doctor looks at me. How are you?","«Ah, aha.» Der Arzt schaut mich an. «Wie geht es dir?»",A2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s152,"I want to say something, but from my mouth comes only: Pfff.","Ich will etwas sagen, aber aus meinem Mund kommt nur: «Pfff.»",A2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s153,How are you? Do you know what your name is?,"«Wie geht es dir? Weißt du, wie du heißt?»",A2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
